"idCamion","lonBase","latBase"
A101602A,-8.51288,42.23751
A101602B,-8.51287,42.23751
A101602D,-8.52233,42.14666
A102879A,-8.74558,41.98744
A102879B,-8.74558,41.98744
A102966A,-9.02148,42.68749
A102978A,-8.47871,42.39692
A103296A,-7.99496,43.62384
A103304A,-8.77787,43.276
A103328A,-7.342,43.47875
A103451A,-7.48333,43.36666
A103451B,-7.29789,43.4711
A103451C,-7.29789,43.4711
A103451D,-7.29789,43.4711
A103451E,-7.29789,43.4711
A103451F,-7.29789,43.4711
A103451G,-7.29789,43.4711
A103628A,-8.76626,42.45673
A103652A,-7.19459,43.44833
A103698A,-7.13229,43.41395
A103761A,-9.0083,43.03159
A103761D,-9.0083,43.03159
A103811A,-8.86787,42.00626
A103811B,-8.47858,42.31353
A103811C,-8.40544,42.2088
A103811D,-8.86787,42.00626
A103958A,-8.81381,42.51785
A104096A,-8.56441,42.3221
A104161B,-7.34579,43.63678
A104161C,-7.13229,43.41395
A104403D,-7.75942,43.65702
A104715A,-7.51242,43.68557
A104715B,-7.51242,43.68557
A104715C,-7.44769,43.68209
A104715D,-7.51242,43.68557
A104715E,-7.51242,43.68557
A104877A,-7.6361,43.55678
A104877C,-7.48777,43.61793
A104887A,-7.59453,43.66143
A104967A,-8.21132,43.2811
A104967B,-8.18694,43.21533
A104967C,-8.18694,43.21533
A105422A,-7.92434,43.53605
A106022A,-6.86451,43.46003
A106058D,-8.61849,42.99506
A106058E,-8.44685,42.85761
A106626A,-7.13229,43.41395
A106626B,-7.13229,43.41395
A107070A,-7.22111,43.52599
A108122A,-5.46179,43.46028
A109742A,-8.08606,42.95463
A109742B,-8.01211,42.88524
A110372A,-8.67268,42.05416
A110372B,-8.55795,42.24525
A110385A,-8.05547,43.66142
A111002A,-7.48333,43.36666
A112522A,-7.59453,43.66143
A113290A,-8.4462,42.63361
A113734C,-7.59453,43.66143
A114833A,-7.29789,43.4711
A115178B,-7.84944,43.44582
A115178C,-5.83184,43.47721
A115178D,-8.45745,43.26895
A115901A,-8.7696,42.0413
A116776A,-8.95088,42.61987
A118173B,-6.41049,43.3472
A119269A,-5.46179,43.46028
A120540A,-7.25444,43.35972
A120540B,-7.13229,43.41395
A121152A,-8.6818,42.8816
A121152B,-8.55373,42.92484
A121152D,-8.6818,42.8816
A121485A,-7.31874,43.48129
A121837A,-8.01666,43.23333
A121837B,-8.01666,43.23333
A121944A,-8.78186,42.77534
A122190B,-8.18694,43.21533
A123070A,-7.38961,43.10216
A123070B,-7.38961,43.10216
A124517A,-8.7,42.51667
A125695A,-7.93606,43.16627
A125695B,-7.35085,43.56021
A125695C,-7.93606,43.16627
A125990A,-5.46179,43.46028
A126065A,-8.62059,42.37398
A127343A,-8.62059,42.37398
A127796A,-6.41049,43.3472
A127810A,-9.02148,42.68749
A127898A,-8.14706,43.24616
A127958B,-8.56946,42.64041
A128208A,-7.83961,43.63215
A129527A,-7.23333,43.53333
A129527B,-7.23333,43.53333
A129757A,-7.99122,43.55053
A129921A,-8.5463,42.88045
A130458A,-8.64376,42.04621
A130974A,-9.02148,42.68749
A139955A,-8.91715,43.21475
A140758A,-7.85194,43.68634
AA9001A,-7.59453,43.66143
AA9001B,-7.59453,43.66143
AA9001C,-7.59453,43.66143
AA9001D,-7.59453,43.66143
AA9001E,-7.59453,43.66143
AA9001F,-7.59453,43.66143
AA9001G,-7.59453,43.66143
AA9001H,-7.59453,43.66143
