"idPedido","idCamion"
"2116AR059-005",A102879A
"2116AR059-005",A102879B
"2116AR059-005",A102966A
"2116AR059-005",A103296A
"2116AR059-005",A103958A
"2116AR059-005",A104403D
"2116AR059-005",A104877A
"2116AR059-005",A104887A
"2116AR059-005",A105422A
"2116AR059-005",A110385A
"2116AR059-005",A115901A
"2116AR059-005",A118173B
"2116AR059-005",A121152B
"2116AR059-005",A122190B
"2116AR059-005",A125990A
"2116AR059-005",A126065A
"2116AR059-005",A127343A
"2116AR059-005",A127796A
"2116AR059-005",A127810A
"2116AR059-005",A127958B
"2116AR059-005",A129527A
"2116AR059-005",A130458A
"2116AR059-005",A130974A
"2116AR059-005",A140758A
"2116AR059-003",A102879A
"2116AR059-003",A102879B
"2116AR059-003",A102966A
"2116AR059-003",A103296A
"2116AR059-003",A103958A
"2116AR059-003",A104403D
"2116AR059-003",A104877A
"2116AR059-003",A104887A
"2116AR059-003",A105422A
"2116AR059-003",A110385A
"2116AR059-003",A115901A
"2116AR059-003",A118173B
"2116AR059-003",A121152B
"2116AR059-003",A122190B
"2116AR059-003",A125990A
"2116AR059-003",A126065A
"2116AR059-003",A127343A
"2116AR059-003",A127796A
"2116AR059-003",A127810A
"2116AR059-003",A127958B
"2116AR059-003",A129527A
"2116AR059-003",A130458A
"2116AR059-003",A130974A
"2116AR059-003",A140758A
"2116AR059-001",A102879A
"2116AR059-001",A102879B
"2116AR059-001",A102966A
"2116AR059-001",A103296A
"2116AR059-001",A103958A
"2116AR059-001",A104403D
"2116AR059-001",A104877A
"2116AR059-001",A104887A
"2116AR059-001",A105422A
"2116AR059-001",A110385A
"2116AR059-001",A115901A
"2116AR059-001",A118173B
"2116AR059-001",A121152B
"2116AR059-001",A122190B
"2116AR059-001",A125990A
"2116AR059-001",A126065A
"2116AR059-001",A127343A
"2116AR059-001",A127796A
"2116AR059-001",A127810A
"2116AR059-001",A127958B
"2116AR059-001",A129527A
"2116AR059-001",A130458A
"2116AR059-001",A130974A
"2116AR059-001",A140758A
"2116AR049-007",A102879A
"2116AR049-007",A102879B
"2116AR049-007",A102966A
"2116AR049-007",A103296A
"2116AR049-007",A103958A
"2116AR049-007",A104403D
"2116AR049-007",A104877A
"2116AR049-007",A104887A
"2116AR049-007",A105422A
"2116AR049-007",A110385A
"2116AR049-007",A115901A
"2116AR049-007",A118173B
"2116AR049-007",A121152B
"2116AR049-007",A122190B
"2116AR049-007",A125990A
"2116AR049-007",A126065A
"2116AR049-007",A127343A
"2116AR049-007",A127796A
"2116AR049-007",A127810A
"2116AR049-007",A127958B
"2116AR049-007",A129527A
"2116AR049-007",A130458A
"2116AR049-007",A130974A
"2116AR049-007",A140758A
"2116AR049-008",A102879A
"2116AR049-008",A102879B
"2116AR049-008",A102966A
"2116AR049-008",A103296A
"2116AR049-008",A103958A
"2116AR049-008",A104403D
"2116AR049-008",A104877A
"2116AR049-008",A104887A
"2116AR049-008",A105422A
"2116AR049-008",A110385A
"2116AR049-008",A115901A
"2116AR049-008",A118173B
"2116AR049-008",A121152B
"2116AR049-008",A122190B
"2116AR049-008",A125990A
"2116AR049-008",A126065A
"2116AR049-008",A127343A
"2116AR049-008",A127796A
"2116AR049-008",A127810A
"2116AR049-008",A127958B
"2116AR049-008",A129527A
"2116AR049-008",A130458A
"2116AR049-008",A130974A
"2116AR049-008",A140758A
"2116AR049-005",A102879A
"2116AR049-005",A102879B
"2116AR049-005",A102966A
"2116AR049-005",A103296A
"2116AR049-005",A103958A
"2116AR049-005",A104403D
"2116AR049-005",A104877A
"2116AR049-005",A104887A
"2116AR049-005",A105422A
"2116AR049-005",A110385A
"2116AR049-005",A115901A
"2116AR049-005",A118173B
"2116AR049-005",A121152B
"2116AR049-005",A122190B
"2116AR049-005",A125990A
"2116AR049-005",A126065A
"2116AR049-005",A127343A
"2116AR049-005",A127796A
"2116AR049-005",A127810A
"2116AR049-005",A127958B
"2116AR049-005",A129527A
"2116AR049-005",A130458A
"2116AR049-005",A130974A
"2116AR049-005",A140758A
"2116AR049-006",A102879A
"2116AR049-006",A102879B
"2116AR049-006",A102966A
"2116AR049-006",A103296A
"2116AR049-006",A103958A
"2116AR049-006",A104403D
"2116AR049-006",A104877A
"2116AR049-006",A104887A
"2116AR049-006",A105422A
"2116AR049-006",A110385A
"2116AR049-006",A115901A
"2116AR049-006",A118173B
"2116AR049-006",A121152B
"2116AR049-006",A122190B
"2116AR049-006",A125990A
"2116AR049-006",A126065A
"2116AR049-006",A127343A
"2116AR049-006",A127796A
"2116AR049-006",A127810A
"2116AR049-006",A127958B
"2116AR049-006",A129527A
"2116AR049-006",A130458A
"2116AR049-006",A130974A
"2116AR049-006",A140758A
"2116AR049-002",A102879A
"2116AR049-002",A102879B
"2116AR049-002",A102966A
"2116AR049-002",A103296A
"2116AR049-002",A103958A
"2116AR049-002",A104403D
"2116AR049-002",A104877A
"2116AR049-002",A104887A
"2116AR049-002",A105422A
"2116AR049-002",A110385A
"2116AR049-002",A115901A
"2116AR049-002",A118173B
"2116AR049-002",A121152B
"2116AR049-002",A122190B
"2116AR049-002",A125990A
"2116AR049-002",A126065A
"2116AR049-002",A127343A
"2116AR049-002",A127796A
"2116AR049-002",A127810A
"2116AR049-002",A127958B
"2116AR049-002",A129527A
"2116AR049-002",A130458A
"2116AR049-002",A130974A
"2116AR049-002",A140758A
"2116AR049-001",A102879A
"2116AR049-001",A102879B
"2116AR049-001",A102966A
"2116AR049-001",A103296A
"2116AR049-001",A103958A
"2116AR049-001",A104403D
"2116AR049-001",A104877A
"2116AR049-001",A104887A
"2116AR049-001",A105422A
"2116AR049-001",A110385A
"2116AR049-001",A115901A
"2116AR049-001",A118173B
"2116AR049-001",A121152B
"2116AR049-001",A122190B
"2116AR049-001",A125990A
"2116AR049-001",A126065A
"2116AR049-001",A127343A
"2116AR049-001",A127796A
"2116AR049-001",A127810A
"2116AR049-001",A127958B
"2116AR049-001",A129527A
"2116AR049-001",A130458A
"2116AR049-001",A130974A
