idCamion,idPedido,start_date,end_date,late
A121485A,2116AR059-005,2022-08-01 07:00:00,2022-08-01 09:59:10.664737,0
A120540B,2212AR063-001,2022-08-01 07:00:00,2022-08-01 10:06:24.507600,0
A104715C,2203AZ013-002,2022-08-01 07:00:00,2022-08-01 10:04:31.505192,0
A106626B,2117AR145-005,2022-08-01 07:00:00,2022-08-01 11:34:05.083008,0
A106058E,2006AP002-001,2022-08-01 07:00:00,2022-08-01 11:20:39.144855,0
A106058E,2108AR145-001,2022-08-01 11:20:39.144855,2022-08-01 13:54:02.581165,0
A106626A,2103AR031-001,2022-08-01 07:00:00,2022-08-01 11:20:44.940142,0
A104161C,1607AR221-004,2022-08-01 07:00:00,2022-08-01 10:20:37.448102,0
A103451G,2203AP002-005,2022-08-01 07:00:00,2022-08-01 09:26:12.658051,0
A110385A,1905AR164-003,2022-08-01 07:00:00,2022-08-01 10:42:27.433393,0
A139955A,2005AR130-001,2022-08-01 07:00:00,2022-08-01 11:46:09.265312,0
AA9001G,2212AR050-002,2022-08-01 07:00:00,2022-08-01 09:48:06.998447,0
A103451D,2114AR021-002,2022-08-01 07:00:00,2022-08-01 10:13:15.021205,0
A103811B,1908AR072-001,2022-08-01 07:00:00,2022-08-01 10:38:11.238644,0
A127796A,2202AP001-004,2022-08-02 07:00:00,2022-08-02 11:02:36.567463,0
A106058E,2014AP010-009,2022-08-01 13:54:02.581165,2022-08-01 16:38:27.648229,0
A105422A,2103AR088-001,2022-08-02 07:00:00,2022-08-02 11:49:50.166592,0
A127958B,2104AR048-003,2022-08-02 07:00:00,2022-08-02 10:52:25.647502,0
A108122A,2107AR100-012,2022-08-01 07:00:00,2022-08-01 10:22:24.117063,0
A126065A,2108AR126-002,2022-08-01 07:00:00,2022-08-01 09:30:51.223657,0
A103958A,1913AP001-002,2022-08-01 07:00:00,2022-08-01 08:29:24.385159,0
A128208A,2110AR008-007,2022-08-01 07:00:00,2022-08-01 09:11:20.724547,0
A101602D,2115AR051-001,2022-08-01 07:00:00,2022-08-01 08:35:00.462416,0
A139955A,2017AP002-002,2022-08-01 11:46:09.265312,2022-08-01 14:33:41.929307,0
A106626B,2102AR074-001,2022-08-01 11:34:05.083008,2022-08-01 16:00:41.969452,0
A128208A,2108AR199-003,2022-08-01 09:11:20.724547,2022-08-01 10:46:45.290477,0
A115178C,2001AP001-007,2022-08-02 07:00:00,2022-08-02 12:16:01.305682,0
A104877A,2016AR017-001,2022-08-01 07:00:00,2022-08-01 10:03:47.425855,0
A139955A,2118AR025-002,2022-08-01 14:33:41.929307,2022-08-01 17:46:56.687102,0
A128208A,1808AR188-022,2022-08-01 10:46:45.290477,2022-08-04 08:00:00,0
A103296A,2104AR042-014,2022-08-01 07:00:00,2022-08-01 10:05:39.344454,0
A109742B,2206AP006-001,2022-08-01 07:00:00,2022-08-01 11:19:34.422656,0
A119269A,2104AR035-009,2022-08-01 07:00:00,2022-08-01 11:03:37.049448,0
A128208A,2208AR120-001,2022-08-04 08:00:00,2022-08-04 11:48:33.128821,0
A103451E,2105AP002-017,2022-08-01 07:00:00,2022-08-01 08:44:39.145275,0
A104715A,2102AR074-011,2022-08-01 07:00:00,2022-08-01 10:51:19.896522,0
A104161B,2117AR145-013,2022-08-02 07:00:00,2022-08-02 11:53:17.014342,0
A129527A,2104AR039-003,2022-08-01 07:00:00,2022-08-01 09:58:19.244486,0
A102879B,2108AR110-009,2022-08-01 07:00:00,2022-08-01 10:11:47.746890,0
A125695A,1803AR007-012,2022-08-01 07:00:00,2022-08-01 10:43:36.790279,0
A104715A,2209AR040-001,2022-08-01 10:51:19.896522,2022-08-04 08:00:00,0
A104967B,2113AP010-001,2022-08-01 07:00:00,2022-08-01 09:18:15.536312,0
A125695B,2002AP004-002,2022-08-01 07:00:00,2022-08-01 11:25:39.569062,0
A104161B,2112AP002-016,2022-08-02 11:53:17.014342,2022-08-04 08:00:00,2
A103811D,1907AR441-024,2022-08-01 07:00:00,2022-08-01 11:45:15.905972,0
A121152B,2104AR050-008,2022-08-02 07:00:00,2022-08-02 10:49:48.133625,0
AA9001C,2008AR015-002,2022-08-01 07:00:00,2022-08-01 09:55:47.550942,0
A104967C,2107AR100-015,2022-08-01 07:00:00,2022-08-01 09:01:16.780663,0
A102879A,1905AR021-004,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A121152B,2104AR036-002,2022-08-02 10:49:48.133625,2022-08-02 15:22:01.312352,0
A130974A,2212AR063-002,2022-08-01 07:00:00,2022-08-01 09:13:03.343086,0
A109742A,2105AP003-007,2022-08-01 07:00:00,2022-08-01 10:06:40.786540,0
AA9001F,2014AP010-008,2022-08-01 07:00:00,2022-08-01 10:12:52.462583,0
A109742A,2108AR115-001,2022-08-01 10:06:40.786540,2022-08-01 11:33:42.889314,0
A103451A,2111AR063-001,2022-08-01 07:00:00,2022-08-01 10:33:45.501175,0
A125695C,2204AR020-014,2022-08-01 07:00:00,2022-08-01 08:42:57.961658,0
A103451A,2105AR089-001,2022-08-01 10:33:45.501175,2022-08-01 13:37:26.982292,0
A128208A,2108AR161-003,2022-08-05 07:00:00.128821,2022-08-05 09:56:32.478871,0
A125695C,1908AR110-001,2022-08-01 08:42:57.961658,2022-08-01 11:34:01.054055,0
A115901A,2104AR044-002,2022-08-01 07:00:00,2022-08-01 12:02:16.894798,0
AA9001B,1917AR144-007,2022-08-01 07:00:00,2022-08-01 10:38:08.119329,0
A127810A,2203AP002-004,2022-08-01 07:00:00,2022-08-01 11:24:28.179121,0
AA9001D,2105AP002-007,2022-08-01 07:00:00,2022-08-01 09:06:51.929372,0
A140758A,2205AR041-001,2022-08-02 07:00:00,2022-08-02 10:08:19.318870,0
A128208A,2208AP008-010,2022-08-05 09:56:32.478871,2022-08-05 13:22:45.072023,4
A106626B,2104AR035-005,2022-08-02 07:00:00.969452,2022-08-02 10:26:27.671010,0
A125990A,2104AP001-002,2022-08-02 07:00:00,2022-08-02 09:51:01.249455,0
A103451G,2005AR133-003,2022-08-01 09:26:12.658051,2022-08-01 13:24:10.157470,0
A103811C,2108AR008-001,2022-08-01 07:00:00,2022-08-01 10:03:56.675628,0
A121944A,2108AR054-006,2022-08-01 07:00:00,2022-08-01 09:36:54.355711,0
A123070A,1707AR187-009,2022-08-02 07:00:00,2022-08-02 10:02:56.249092,1
A103451C,2008AR059-002,2022-08-01 07:00:00,2022-08-01 09:20:01.147738,0
A104715E,2200AR023-001,2022-08-01 07:00:00,2022-08-01 16:19:57.932271,0
A125990A,2212AR063-008,2022-08-02 09:51:01.249455,2022-08-02 12:18:58.255417,0
A119269A,2107AR130-002,2022-08-01 11:03:37.049448,2022-08-01 14:24:35.716485,0
A106022A,2203AR005-002,2022-08-01 07:00:00,2022-08-01 09:46:03.801492,0
A127796A,2204AR043-002,2022-08-02 11:02:36.567463,2022-08-02 13:33:07.896672,0
A129757A,1908AR260-018,2022-08-01 07:00:00,2022-08-01 09:39:38.492717,0
A119269A,2014AP001-013,2022-08-01 14:24:35.716485,2022-08-01 16:50:32.098510,0
A103698A,2200AR024-012,2022-08-01 07:00:00,2022-08-01 15:28:09.528156,0
A129527A,1902AR006-007,2022-08-01 09:58:19.244486,2022-08-03 08:00:00,0
A121152D,2103AR077-002,2022-08-01 07:00:00,2022-08-01 13:04:29.024286,0
A108122A,1908AR260-002,2022-08-01 10:22:24.117063,2022-08-01 13:35:17.565159,0
A123070A,2021AR022-005,2022-08-02 10:02:56.249092,2022-08-02 14:14:13.297006,0
A103811A,2200AR034-002,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A110372B,1808AR154-001,2022-08-01 07:00:00,2022-08-01 10:47:17.687478,0
A104967C,2202AP001-016,2022-08-01 09:01:16.780663,2022-08-01 14:31:28.034567,0
A121485A,2209AR030-001,2022-08-01 09:59:10.664737,2022-08-03 08:00:00,0
A118173B,2115AR138-001,2022-08-01 07:00:00,2022-08-01 10:20:25.021967,0
AA9001H,2107AR164-055,2022-08-01 07:00:00,2022-08-01 08:20:39.915501,0
A104715B,2117AP033-006,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A103652A,2005AR131-002,2022-08-01 07:00:00,2022-08-01 10:03:23.471583,0
A102978A,2115AR114-001,2022-08-02 07:00:00,2022-08-02 08:17:21.192043,0
A120540A,2113AR062-002,2022-08-01 07:00:00,2022-08-01 09:42:31.121901,0
A127343A,2108AR236-001,2022-08-01 07:00:00,2022-08-01 10:09:24.794102,0
A104887A,2112AR082-005,2022-08-01 07:00:00,2022-08-01 10:12:34.917066,0
A127898A,2107AR149-002,2022-08-01 07:00:00,2022-08-01 09:10:29.052139,0
A121152B,2112AR081-001,2022-08-03 07:00:00.312352,2022-08-03 13:29:01.123475,0
A127343A,2116AR049-012,2022-08-01 10:09:24.794102,2022-08-01 13:27:35.620641,0
A113734C,1702AR046-001,2022-08-01 07:00:00,2022-08-01 11:46:18.286455,0
A121944A,2201AR004-002,2022-08-01 09:36:54.355711,2022-08-03 08:00:00,0
A106626B,2204AR020-006,2022-08-02 10:26:27.671010,2022-08-02 15:40:54.153491,0
A112522A,2014AR096-006,2022-08-02 07:00:00,2022-08-02 10:06:41.176591,0
A104715C,1913AP001-004,2022-08-01 10:04:31.505192,2022-08-01 12:41:51.919214,0
A121944A,2109AR077-001,2022-08-03 08:00:00,2022-08-03 09:53:18.839202,0
A103451E,2009AR054-004,2022-08-01 08:44:39.145275,2022-08-01 11:44:40.475047,0
A121837B,2108AR110-004,2022-08-01 07:00:00,2022-08-01 08:20:56.503494,0
AA9001C,2115AR121-002,2022-08-01 09:55:47.550942,2022-08-01 11:39:39.783616,0
A104887A,1917AR144-001,2022-08-01 10:12:34.917066,2022-08-03 08:00:00,0
A104715B,1808AR366-004,2022-08-04 08:00:00,2022-08-04 09:36:26.800566,0
A110385A,2107AR169-004,2022-08-01 10:42:27.433393,2022-08-01 13:40:05.270978,0
A113734C,2204AR048-003,2022-08-01 11:46:18.286455,2022-08-01 14:24:23.295189,0
A125695A,2115AR063-001,2022-08-01 10:43:36.790279,2022-08-01 13:24:22.840916,0
A113734C,1908AR138-003,2022-08-01 14:24:23.295189,2022-08-01 17:15:38.486465,0
A129921A,2115AR117-008,2022-08-01 07:00:00,2022-08-01 08:39:26.493909,0
AA9001A,2116AP006-004,2022-08-01 07:00:00,2022-08-01 11:35:10.188769,0
A112522A,2210AZ033-001,2022-08-02 10:06:41.176591,2022-08-04 08:00:00,0
A111002A,2108AR199-002,2022-08-01 07:00:00,2022-08-01 08:48:23.132081,0
A129921A,2108AR111-001,2022-08-01 08:39:26.493909,2022-08-01 11:15:40.037958,0
A103628A,2117AP033-004,2022-08-01 07:00:00,2022-08-01 10:20:59.364376,0
A103811D,2108AR132-002,2022-08-01 11:45:15.905972,2022-08-01 14:15:03.116729,0
A104161B,2103AR038-001,2022-08-05 07:00:00,2022-08-05 10:51:08.899081,0
A103811B,1907AR341-010,2022-08-01 10:38:11.238644,2022-08-01 14:25:43.052167,0
