"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","startSlot","endSlot","lastDate"
"2116AR059-005",-8.64428,42.37662,-8.59482,42.16949,M3,0,"08:00","12:00","2022-08-16"
"2116AR059-003",-8.6432,42.37462,-8.53465,42.1258,M3,0,"08:00","12:00","2022-08-20"
"2115AR117-001",-8.53337,42.55926,-8.72097,42.21311,M3,0,"08:00","12:00","2022-09-10"
"2115AR117-007",-8.52653,42.57512,-8.47199,42.26666,M3,0,"08:00","12:00","2022-08-25"
"2115AR114-001",-8.65055,42.41578,-8.27886,42.1849,M3,0,"08:00","12:00","2022-08-20"
"2115AR082-003",-8.41756,42.59907,-8.26759,42.16919,M3,0,"08:00","12:00","2022-08-01"
"2115AR082-001",-8.40597,42.58576,-8.78702,42.06068,M3,0,"08:00","12:00","2022-09-01"
"2115AR053-001",-8.44983,42.4676,-8.27236,42.22994,M3,0,"08:00","12:00","2022-09-14"
"2114AR093-003",-8.72353,42.92286,-8.27026,42.22823,M3,0,"08:00","12:00","2022-08-23"
"2114AR093-002",-8.72307,42.92319,-8.27022,42.22807,M3,0,"08:00","12:00","2022-08-09"
"2114AR089-004",-8.84608,42.86881,-8.53336,42.12254,M3,0,"08:00","12:00","2022-09-05"
"2114AR089-003",-8.84648,42.86646,-8.53336,42.12254,M3,0,"08:00","12:00","2022-08-02"
"2114AR021-002",-8.84472,42.76854,-7.91436,42.38322,M3,0,"08:00","12:00","2022-08-06"
"2113AR069-002",-8.51535,42.77729,-7.87782,42.80797,M3,0,"08:00","12:00","2022-09-12"
"2103AR030-001",-6.09923,43.47422,-7.83776,43.56125,M2,0,"08:00","12:00","2022-08-22"
"2008AR059-002",-7.79379,43.70341,-8.12702,43.05096,M2,0,"08:00","12:00","2022-08-12"
"2008AR042-003",-8.00542,43.50797,-8.14467,43.05153,M2,0,"08:00","12:00","2022-09-07"
"2007AR177-006",-7.57403,43.69823,-8.20099,43.02552,M2,0,"08:00","12:00","2022-08-08"
"2007AR177-005",-7.57457,43.69829,-8.19868,43.02471,M2,0,"08:00","12:00","2022-08-01"
"2007AR177-007",-7.57444,43.69768,-8.13642,43.05127,M2,0,"08:00","12:00","2022-08-20"
"2006AP002-002",-7.37977,43.6074,-8.69521,42.80116,M2,0,"08:00","12:00","2022-08-10"
"2001AP001-003",-4.94658,43.43565,-8.59443,42.68151,M2,0,"08:00","12:00","2022-08-22"
"1921AR089-006",-7.23288,43.24525,-8.59736,42.68088,M2,0,"08:00","12:00","2022-09-08"
"1921AR077-003",-7.1897,43.24357,-8.59709,42.68085,M2,0,"08:00","12:00","2022-09-07"
"2208AR164-003",-7.82928,43.64426,-8.54485,42.40647,M1,0,"08:00","12:00","2022-08-28"
"1905AP004-005",-7.2014,43.35376,-8.53778,42.2304,M2,0,"08:00","12:00","2022-09-14"
"2121AP010-001",-7.46686,43.34079,-7.70629,43.35724,M1,0,"08:00","12:00","2022-08-08"
"2121AP010-002",-7.46739,43.34129,-7.71152,43.35588,M1,0,"08:00","12:00","2022-08-18"
"2121AP010-003",-7.46713,43.34127,-7.74047,43.37167,M1,0,"08:00","12:00","2022-08-03"
"2120AP006-002",-7.7579,43.3817,-7.72961,43.34899,M1,0,"08:00","12:00","2022-08-14"
"2120AP005-002",-7.70892,43.36141,-7.76614,43.37026,M1,0,"08:00","12:00","2022-08-03"
"2105AP002-016",-7.20736,43.37111,-7.4795,43.34095,M1,0,"08:00","12:00","2022-08-08"
"1607AR221-007",-7.59752,43.57607,-8.68739,42.79264,M2,0,"08:00","12:00","2022-09-13"
"2212AR049-001",-8.74928,43.02438,-8.86074,43.03215,M1,0,"08:00","12:00","2022-08-01"
"1905AR202-001",-7.05566,43.50248,-8.51738,42.63927,M2,0,"08:00","12:00","2022-08-27"
"2108AR188-001",-7.91436,43.62139,-7.33765,43.59884,M3,0,"08:00","12:00","2022-09-08"
"2016AR017-002",-8.58659,42.39357,-8.21145,43.19484,M2,0,"08:00","12:00","2022-08-11"
"1918AR015-001",-8.17621,42.54966,-8.04117,42.41022,M3,0,"08:00","12:00","2022-08-12"
"2014AP001-001",-8.75236,42.69136,-8.53311,43.10235,M2,0,"08:00","12:00","2022-08-16"
"2212AP007-003",-9.15068,42.9826,-8.56967,42.99087,M1,0,"08:00","12:00","2022-09-04"
"2112AR026-003",-8.97629,42.94733,-7.93312,43.61281,M2,0,"08:00","12:00","2022-09-06"
"2121AP022-003",-7.41339,43.3507,-7.74166,42.96242,M1,0,"08:00","12:00","2022-09-03"
"2108AR233-003",-8.03577,43.6205,-7.16064,43.48698,M3,0,"08:00","12:00","2022-09-02"
"2007AR244-002",-7.69005,43.54549,-8.04684,42.51448,M0,0,"08:00","12:00","2022-09-04"
"2003AR131-002",-6.096,43.47516,-8.60799,42.20409,M3,0,"08:00","12:00","2022-09-05"
"1707AR187-009",-7.62277,43.66171,-8.67516,42.79522,M2,0,"08:00","12:00","2022-08-01"
"2108AR059-001",-8.04583,43.63404,-8.1545,43.4908,M3,0,"08:00","12:00","2022-08-06"
"2014AP001-011",-8.75573,42.69099,-8.40091,43.23988,M2,0,"08:00","12:00","2022-08-28"
"2105AR089-004",-7.21419,43.42052,-8.80505,43.16899,M3,0,"08:00","12:00","2022-08-09"
