"idPedido","lonCarga","latCarga","lonDescarga","latDescarga","categoria","prioridad","replanificacion","camiones","replan_time","lastDate","idCamion","startSlot","endSlot"
"2112AR106-001",-8.85539,43.10336,-8.85529,43.10284,M3,0,23,,2022-08-12 14:00:00.000,"2022-08-18",,"08:00","12:00"
"2111AR130-004",-8.6805,43.13393,-9.02659,42.66997,M3,0,48,,2022-08-25 08:00:00.000,"2022-08-31",,"08:00","12:00"
"2111AR130-003",-8.68143,43.13395,-9.02796,42.66983,M3,0,27,,2022-08-14 14:00:00.000,"2022-08-20",,"08:00","12:00"
"2107AR159-005",-7.50918,43.66624,-8.50061,42.25535,M3,0,7,,2022-08-04 14:00:00.000,"2022-08-13",,"08:00","12:00"
"2107AR141-035",-7.56628,43.60746,-8.73606,42.15301,M3,0,9,,2022-08-05 14:00:00.000,"2022-08-08",,"08:00","12:00"
"2107AR141-001",-7.59814,43.55628,-8.56054,42.08261,M3,0,31,,2022-08-16 14:00:00.000,"2022-08-22",,"08:00","12:00"
"2107AR141-004",-7.56251,43.60846,-8.34427,42.10094,M3,0,34,,2022-08-18 08:00:00.000,"2022-08-25",,"08:00","12:00"
"2107AR089-004",-7.51481,43.69011,-7.43987,43.31522,M3,0,16,,2022-08-09 08:00:00.000,"2022-08-12",,"08:00","12:00"
"1807AR090-001",-7.41404,43.67644,-8.44985,42.37029,M2,0,31,,2022-08-16 14:00:00.000,"2022-08-21",,"08:00","12:00"
"1806AR233-002",-7.31945,43.46576,-8.44928,42.37114,M2,0,7,,2022-08-04 14:00:00.000,"2022-08-12",,"08:00","12:00"
"1905AR122-001",-7.229,43.40815,-7.50091,43.70512,M2,0,47,,2022-08-24 14:00:00.000,"2022-08-29",,"08:00","12:00"
"1921AR024-001",-7.21543,43.19728,-7.31311,43.49867,M2,0,12,,2022-08-07 08:00:00.000,"2022-08-10",,"08:00","12:00"
"2005AR044-004",-7.27446,43.50577,-7.21695,43.417,M2,0,24,,2022-08-13 08:00:00.000,"2022-08-22",,"08:00","12:00"
"2005AR040-002",-7.2657,43.48017,-7.21823,43.41638,M2,0,0,,2022-08-01 08:00:00.000,"2022-08-06",,"08:00","12:00"
"1806AR233-001",-7.31844,43.46503,-8.48406,42.2562,M2,0,40,,2022-08-21 08:00:00.000,"2022-08-26",,"08:00","12:00"
"2005AR066-001",-7.09448,43.47078,-7.22114,43.40922,M2,0,45,,2022-08-23 14:00:00.000,"2022-08-29",,"08:00","12:00"
"2005AR045-001",-7.22178,43.40052,-7.21601,43.41744,M2,0,44,,2022-08-23 08:00:00.000,"2022-08-31",,"08:00","12:00"
"2105AR107-001",-7.26888,43.4809,-7.12235,43.43619,M3,0,39,,2022-08-20 14:00:00.000,"2022-08-27",,"08:00","12:00"
"1905AR149-006",-7.20665,43.40939,-7.45731,43.68539,M2,0,9,,2022-08-05 14:00:00.000,"2022-08-11",,"08:00","12:00"
"1905AR122-003",-7.21,43.41708,-7.52528,43.66932,M2,0,22,,2022-08-12 08:00:00.000,"2022-08-17",,"08:00","12:00"
"2206AR064-004",-7.33757,43.60045,-8.49693,42.25406,M1,0,27,,2022-08-14 14:00:00.000,"2022-08-18",,"08:00","12:00"
"1906AR072-001",-7.36356,43.45242,-8.50456,42.26478,M3,0,17,,2022-08-09 14:00:00.000,"2022-08-12",,"08:00","12:00"
"2016AR036-013",-8.53915,42.39014,-8.0603,43.64297,M3,0,14,,2022-08-08 08:00:00.000,"2022-08-15",,"08:00","12:00"
"2003AZ124-001",-6.02943,43.49967,-9.04979,42.60627,M3,0,16,,2022-08-09 08:00:00.000,"2022-08-14",,"08:00","12:00"
"2107AR200-011",-7.54719,43.60035,-8.38069,42.759,M3,0,17,,2022-08-09 14:00:00.000,"2022-08-15",,"08:00","12:00"
"1821AR032-001",-7.44322,43.29586,-8.74194,43.1191,M2,0,13,,2022-08-07 14:00:00.000,"2022-08-12",,"08:00","12:00"
"1906AR116-003",-7.36634,43.65561,-8.48073,42.2607,M3,0,18,,2022-08-10 08:00:00.000,"2022-08-14",,"08:00","12:00"
"1905AR104-004",-7.23132,43.48143,-8.50404,42.26652,M3,0,47,,2022-08-24 14:00:00.000,"2022-08-29",,"08:00","12:00"
"2106AR080-005",-7.2532,43.42404,-7.32431,43.27566,M3,0,36,,2022-08-19 08:00:00.000,"2022-08-23",,"08:00","12:00"
"1606AR172-001",-7.36836,43.44767,-7.30979,43.4427,M2,0,31,,2022-08-16 14:00:00.000,"2022-08-22",,"08:00","12:00"
"2204AR014-020",-7.11294,43.41022,-7.11347,43.40999,M2,0,31,,2022-08-16 14:00:00.000,"2022-08-19",,"08:00","12:00"
"2204AR014-016",-7.11259,43.41022,-7.11393,43.40988,M2,0,3,,2022-08-02 14:00:00.000,"2022-08-10",,"08:00","12:00"
"2212AR095-002",-8.73462,43.11299,-8.74207,42.55563,M1,0,14,,2022-08-08 08:00:00.000,"2022-08-17",,"08:00","12:00"
"1905AR066-009",-7.19402,43.3043,-7.55735,43.61534,M2,0,48,,2022-08-25 08:00:00.000,"2022-09-01",,"08:00","12:00"
"1606AR171-001",-7.33521,43.40436,-7.31369,43.44103,M2,0,10,,2022-08-06 08:00:00.000,"2022-08-12",,"08:00","12:00"
"1606AR170-002",-7.31401,43.45832,-7.28465,43.46182,M2,0,47,,2022-08-24 14:00:00.000,"2022-09-02",,"08:00","12:00"
"1606AR170-001",-7.31433,43.45917,-7.32194,43.44374,M2,0,29,,2022-08-15 14:00:00.000,"2022-08-19",,"08:00","12:00"
"1606AR142-006",-7.31065,43.49135,-7.44098,43.30851,M2,0,34,,2022-08-18 08:00:00.000,"2022-08-22",,"08:00","12:00"
"1606AR171-003",-7.36222,43.45617,-7.31107,43.44176,M2,0,20,,2022-08-11 08:00:00.000,"2022-08-16",,"08:00","12:00"
"2105AR117-035",-7.31857,43.51158,-7.09016,43.42539,M2,0,41,,2022-08-21 14:00:00.000,"2022-08-30",,"08:00","12:00"
"1721AR032-004",-7.23327,43.24014,-8.69676,42.03928,M2,0,39,,2022-08-20 14:00:00.000,"2022-08-24",,"08:00","12:00"
"2004AR105-002",-7.13452,43.42123,-9.04811,42.60672,M3,0,39,,2022-08-20 14:00:00.000,"2022-08-23",,"08:00","12:00"
"1607AR202-001",-7.54645,43.70363,-7.6468,43.02538,M2,0,25,,2022-08-13 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2210AR035-001",-8.2567,43.28572,-8.71994,42.56209,M1,0,49,,2022-08-25 14:00:00.000,"2022-08-29",,"08:00","12:00"
"1807AR650-015",-7.59514,43.58831,-8.1685,42.71365,M2,0,31,,2022-08-16 14:00:00.000,"2022-08-20",,"08:00","12:00"
"1905AR086-002",-7.20602,43.41236,-7.47918,43.67531,M2,0,1,,2022-08-01 14:00:00.000,"2022-08-04",,"08:00","12:00"
"2213AR029-001",-8.52305,42.80888,-8.64747,43.01543,M1,0,45,,2022-08-23 14:00:00.000,"2022-08-30",,"08:00","12:00"
"1721AR032-001",-7.24312,43.23104,-8.87398,42.09619,M2,0,32,,2022-08-17 08:00:00.000,"2022-08-21",,"08:00","12:00"
"1708AR283-010",-7.94526,43.51339,-8.75071,42.12372,M2,0,28,,2022-08-15 08:00:00.000,"2022-08-19",,"08:00","12:00"
"1607AR104-001",-7.61077,43.63821,-7.24509,43.51726,M2,0,13,,2022-08-07 14:00:00.000,"2022-08-16",,"08:00","12:00"
"2006AR102-003",-7.33864,43.40854,-9.04323,42.60778,M3,0,39,,2022-08-20 14:00:00.000,"2022-08-26",,"08:00","12:00"
"2213AR022-002",-8.62843,42.949,-8.64257,42.91196,M1,0,32,,2022-08-17 08:00:00.000,"2022-08-26",,"08:00","12:00"
"2213AR022-001",-8.62045,42.94935,-8.64585,42.91414,M1,0,25,,2022-08-13 14:00:00.000,"2022-08-19",,"08:00","12:00"
"2107AR141-013",-7.56155,43.6061,-8.29737,42.18662,M3,0,25,,2022-08-13 14:00:00.000,"2022-08-17",,"08:00","12:00"
"1907AR387-004",-7.40913,43.67936,-8.77938,42.57629,M3,0,34,,2022-08-18 08:00:00.000,"2022-08-24",,"08:00","12:00"
"2005AR009-001",-7.24331,43.33375,-7.25727,43.33369,M2,0,4,,2022-08-03 08:00:00.000,"2022-08-10",,"08:00","12:00"
"2004AR089-010",-7.14607,43.39655,-7.17598,43.4192,M2,0,1,,2022-08-01 14:00:00.000,"2022-08-08",,"08:00","12:00"
