"idCamion","lonBase","latBase"
"A103296A",-7.99496,43.62384
"A103328A",-7.342,43.47875
"A103451B",-7.29789,43.4711
"A103451E",-7.29789,43.4711
"A103698A",-7.13229,43.41395
"A104096A",-8.56441,42.3221
"A104161B",-7.34579,43.63678
"A104403D",-7.75942,43.65702
"A104715D",-7.51242,43.68557
"A104715E",-7.51242,43.68557
"A104877A",-7.6361,43.55678
"A105422A",-7.92434,43.53605
"A106022A",-6.86451,43.46003
"A106058D",-8.61849,42.99506
"A107070A",-7.22111,43.52599
"A109742B",-8.01211,42.88524
"A110372B",-8.55795,42.24525
"A111002A",-7.48333,43.36666
"A112522A",-7.59453,43.66143
"A113290A",-8.4462,42.63361
"A114833A",-7.29789,43.4711
"A115178B",-7.84944,43.44582
"A115178C",-5.83184,43.47721
"A120540A",-7.25444,43.35972
"A121152B",-8.55373,42.92484
"A124517A",-8.7,42.51667
"A125695A",-7.93606,43.16627
"A125695C",-7.93606,43.16627
"A129527A",-7.23333,43.53333
"A129921A",-8.5463,42.88045
"A130458A",-8.64376,42.04621
"A140758A",-7.85194,43.68634
"AA9001E",-7.59453,43.66143
"AA9001F",-7.59453,43.66143
"AA9001G",-7.59453,43.66143
