"idPedido","idCamion"
"2116AR059-003","A103296A"
"2116AR059-003","A104403D"
"2116AR059-003","A104877A"
"2116AR059-003","A105422A"
"2116AR059-003","A121152B"
"2116AR059-003","A129527A"
"2116AR059-003","A130458A"
"2116AR059-003","A140758A"
"2116AR059-001","A103296A"
"2116AR059-001","A104403D"
"2116AR059-001","A104877A"
"2116AR059-001","A105422A"
"2116AR059-001","A121152B"
"2116AR059-001","A129527A"
"2116AR059-001","A130458A"
"2116AR059-001","A140758A"
"2116AR049-008","A103296A"
"2116AR049-008","A104403D"
"2116AR049-008","A104877A"
"2116AR049-008","A105422A"
"2116AR049-008","A121152B"
"2116AR049-008","A129527A"
"2116AR049-008","A130458A"
"2116AR049-008","A140758A"
"2116AR049-005","A103296A"
"2116AR049-005","A104403D"
"2116AR049-005","A104877A"
"2116AR049-005","A105422A"
"2116AR049-005","A121152B"
"2116AR049-005","A129527A"
"2116AR049-005","A130458A"
"2116AR049-005","A140758A"
"2116AR049-002","A103296A"
"2116AR049-002","A104403D"
"2116AR049-002","A104877A"
"2116AR049-002","A105422A"
"2116AR049-002","A121152B"
"2116AR049-002","A129527A"
"2116AR049-002","A130458A"
"2116AR049-002","A140758A"
"2116AR049-004","A103296A"
"2116AR049-004","A104403D"
"2116AR049-004","A104877A"
"2116AR049-004","A105422A"
"2116AR049-004","A121152B"
"2116AR049-004","A129527A"
"2116AR049-004","A130458A"
"2116AR049-004","A140758A"
"2116AR014-002","A103296A"
"2116AR014-002","A104403D"
"2116AR014-002","A104877A"
"2116AR014-002","A105422A"
"2116AR014-002","A121152B"
"2116AR014-002","A129527A"
"2116AR014-002","A130458A"
"2116AR014-002","A140758A"
"2115AR117-019","A103296A"
"2115AR117-019","A104403D"
"2115AR117-019","A104877A"
"2115AR117-019","A105422A"
"2115AR117-019","A121152B"
"2115AR117-019","A129527A"
"2115AR117-019","A130458A"
"2115AR117-019","A140758A"
"2115AR120-001","A103296A"
"2115AR120-001","A104403D"
"2115AR120-001","A104877A"
"2115AR120-001","A105422A"
"2115AR120-001","A121152B"
"2115AR120-001","A129527A"
"2115AR120-001","A130458A"
"2115AR120-001","A140758A"
"2115AR117-015","A103296A"
"2115AR117-015","A104403D"
"2115AR117-015","A104877A"
"2115AR117-015","A105422A"
"2115AR117-015","A121152B"
"2115AR117-015","A129527A"
"2115AR117-015","A130458A"
"2115AR117-015","A140758A"
"2115AR117-008","A103296A"
"2115AR117-008","A104403D"
"2115AR117-008","A104877A"
"2115AR117-008","A105422A"
"2115AR117-008","A121152B"
"2115AR117-008","A129527A"
"2115AR117-008","A130458A"
"2115AR117-008","A140758A"
"2114AR093-004","A103296A"
"2114AR093-004","A104403D"
"2114AR093-004","A104877A"
"2114AR093-004","A105422A"
"2114AR093-004","A121152B"
"2114AR093-004","A129527A"
"2114AR093-004","A130458A"
"2114AR093-004","A140758A"
"2115AR052-002","A103296A"
"2115AR052-002","A104403D"
"2115AR052-002","A104877A"
"2115AR052-002","A105422A"
"2115AR052-002","A121152B"
"2115AR052-002","A129527A"
"2115AR052-002","A130458A"
"2115AR052-002","A140758A"
"2115AR052-001","A103296A"
"2115AR052-001","A104403D"
"2115AR052-001","A104877A"
"2115AR052-001","A105422A"
"2115AR052-001","A121152B"
"2115AR052-001","A129527A"
"2115AR052-001","A130458A"
"2115AR052-001","A140758A"
"2114AR090-005","A103296A"
"2114AR090-005","A104403D"
"2114AR090-005","A104877A"
"2114AR090-005","A105422A"
"2114AR090-005","A121152B"
"2114AR090-005","A129527A"
"2114AR090-005","A130458A"
"2114AR090-005","A140758A"
"2114AR021-002","A103296A"
"2114AR021-002","A104403D"
"2114AR021-002","A104877A"
"2114AR021-002","A105422A"
"2114AR021-002","A121152B"
"2114AR021-002","A129527A"
"2114AR021-002","A130458A"
"2114AR021-002","A140758A"
"2113AR069-002","A103296A"
"2113AR069-002","A104403D"
"2113AR069-002","A104877A"
"2113AR069-002","A105422A"
"2113AR069-002","A121152B"
"2113AR069-002","A129527A"
"2113AR069-002","A130458A"
"2113AR069-002","A140758A"
"2112AR082-006","A103296A"
"2112AR082-006","A104403D"
"2112AR082-006","A104877A"
"2112AR082-006","A105422A"
"2112AR082-006","A121152B"
"2112AR082-006","A129527A"
"2112AR082-006","A130458A"
"2112AR082-006","A140758A"
"2204AR007-006","A103328A"
"2204AR007-006","A103451B"
"2204AR007-006","A103451E"
"2204AR007-006","A103698A"
"2204AR007-006","A104096A"
"2204AR007-006","A104161B"
"2204AR007-006","A104715D"
"2204AR007-006","A104715E"
"2204AR007-006","A104877A"
"2204AR007-006","A106022A"
