idCamion,idPedido,start_date,end_date,late
A113290A,2114AR021-002,2022-08-01 07:00:00,2022-08-01 09:53:39.642117,0
A140758A,2014AP001-001,2022-08-02 07:00:00,2022-08-02 10:50:18.550703,0
A103328A,2105AP002-015,2022-08-01 07:00:00,2022-08-01 09:06:08.206334,0
A129921A,1906AR067-009,2022-08-01 07:00:00,2022-08-01 11:40:30.970603,0
A105422A,2107AR164-048,2022-08-02 07:00:00,2022-08-02 09:10:44.144572,0
A107070A,2212AR044-005,2022-08-01 07:00:00,2022-08-01 10:12:35.318552,0
A110372B,2112AP002-005,2022-08-01 07:00:00,2022-08-01 10:34:20.766266,0
A104715D,2200AR037-002,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A125695C,1702AR046-001,2022-08-01 07:00:00,2022-08-01 13:01:26.361750,0
A130458A,2212AR063-009,2022-08-01 07:00:00,2022-08-01 09:46:18.352646,0
A103451E,2203AR016-014,2022-08-01 07:00:00,2022-08-01 10:36:50.409436,0
A104161B,2106AR039-002,2022-08-02 07:00:00,2022-08-02 10:16:39.517403,0
A112522A,2107AR164-051,2022-08-02 07:00:00,2022-08-02 09:12:57.676899,0
A113290A,2003AR043-001,2022-08-01 09:53:39.642117,2022-08-01 16:04:52.146841,0
A140758A,2104AR050-002,2022-08-02 10:50:18.550703,2022-08-02 14:31:18.167639,0
A104161B,2111AR017-001,2022-08-02 10:16:39.517403,2022-08-04 08:00:00,0
A103328A,1921AR077-003,2022-08-01 09:06:08.206334,2022-08-03 08:00:00,0
A129921A,2204AR021-005,2022-08-01 11:40:30.970603,2022-08-01 16:01:31.971413,0
A120540A,2108AR199-003,2022-08-01 07:00:00,2022-08-01 09:47:18.842801,0
A104403D,2002AP001-002,2022-08-02 07:00:00,2022-08-02 12:47:41.658016,0
A130458A,2210AR004-003,2022-08-01 09:46:18.352646,2022-08-01 13:13:53.992639,0
A111002A,2208AR164-002,2022-08-01 07:00:00,2022-08-01 11:01:45.679330,0
A104715D,2108AR110-007,2022-08-05 07:00:00,2022-08-05 10:07:04.363168,0
A104403D,2202AP001-017,2022-08-03 07:00:00.658016,2022-08-03 13:37:40.602733,0
A129527A,2017AR043-002,2022-08-01 07:00:00,2022-08-01 11:59:18.121643,0
A106022A,2208AP008-008,2022-08-01 07:00:00,2022-08-01 11:24:34.797536,0
A140758A,2014AP002-001,2022-08-02 14:31:18.167639,2022-08-02 18:38:27.751308,0
AA9001E,2006AP002-004,2022-08-01 07:00:00,2022-08-01 10:32:26.076023,0
A103296A,2108AR253-001,2022-08-01 07:00:00,2022-08-01 09:24:49.225696,0
A104161B,2212AR060-003,2022-08-04 08:00:00,2022-08-04 10:52:07.790882,0
A104715E,2210AR052-002,2022-08-01 07:00:00,2022-08-01 10:33:33.421161,0
A120540A,2105AP003-007,2022-08-01 09:47:18.842801,2022-08-03 08:00:00,0
A104715D,2112AP002-002,2022-08-05 10:07:04.363168,2022-08-05 13:44:36.626399,0
A104877A,1808AR366-001,2022-08-01 07:00:00,2022-08-01 09:33:16.159812,0
A121152B,1908AR107-002,2022-08-02 07:00:00,2022-08-02 11:08:19.695776,0
A112522A,2104AR035-024,2022-08-02 09:12:57.676899,2022-08-02 13:44:53.025365,0
A111002A,1908AR129-002,2022-08-01 11:01:45.679330,2022-08-01 15:30:53.995656,0
A125695A,2200AZ005-002,2022-08-01 07:00:00,2022-08-01 16:03:25.466815,0
A103698A,2014AP010-001,2022-08-01 07:00:00,2022-08-01 11:07:03.033400,0
A124517A,2121AP010-003,2022-08-01 07:00:00,2022-08-01 10:34:19.877438,0
A115178B,1908AR213-001,2022-08-01 07:00:00,2022-08-01 10:51:51.548400,0
A120540A,2112AR082-005,2022-08-03 08:00:00,2022-08-03 11:35:04.137461,0
A104877A,2014AP001-006,2022-08-01 09:33:16.159812,2022-08-03 08:00:00,0
A113290A,2108AR051-001,2022-08-01 16:04:52.146841,2022-08-01 19:02:25.700773,0
A115178B,2108AR252-018,2022-08-01 10:51:51.548400,2022-08-01 14:49:17.506911,0
A129921A,2116AP006-004,2022-08-02 07:00:00.971413,2022-08-02 11:50:12.969523,0
A115178B,2202AP001-004,2022-08-01 14:49:17.506911,2022-08-01 19:46:37.546739,0
A103296A,2206AP006-002,2022-08-01 09:24:49.225696,2022-08-01 13:35:20.859348,0
A109742B,2112AR048-001,2022-08-01 07:00:00,2022-08-01 14:16:22.877402,0
A103328A,2108AR060-002,2022-08-03 08:00:00,2022-08-03 11:01:48.729341,0
A104877A,2107AR110-002,2022-08-03 08:00:00,2022-08-03 11:11:37.585349,0
A124517A,2106AR065-016,2022-08-01 10:34:19.877438,2022-08-03 08:00:00,0
A112522A,2104AR035-025,2022-08-02 13:44:53.025365,2022-08-04 14:00:00,0
A106022A,2108AR126-001,2022-08-01 11:24:34.797536,2022-08-01 15:07:11.491825,0
A111002A,1921AR011-002,2022-08-01 15:30:53.995656,2022-08-01 19:38:38.735213,0
A111002A,2018AR016-004,2022-08-02 07:00:00.735213,2022-08-02 09:57:42.377126,0
A114833A,2003AR010-002,2022-08-01 07:00:00,2022-08-01 12:26:53.493524,0
A121152B,2202AP001-013,2022-08-02 11:08:19.695776,2022-08-02 17:43:37.636252,0
A104877A,1907AR256-042,2022-08-03 11:11:37.585349,2022-08-03 14:58:54.375416,0
A124517A,2107AR100-003,2022-08-03 08:00:00,2022-08-03 11:11:43.604971,0
A104877A,2212AP009-005,2022-08-03 14:58:54.375416,2022-08-05 14:00:00,0
A104877A,2208AZ150-002,2022-08-06 07:00:00,2022-08-06 10:57:01.265653,0
A124517A,2105AP002-003,2022-08-03 11:11:43.604971,2022-08-03 14:11:52.011285,0
A106058D,2208AR128-002,2022-08-01 07:00:00,2022-08-01 11:44:52.162693,0
A114833A,2208AR176-001,2022-08-01 12:26:53.493524,2022-08-01 15:58:38.813996,0
AA9001E,2104AR039-002,2022-08-01 10:32:26.076023,2022-08-01 16:01:43.015258,0
A104715E,2116AR049-005,2022-08-01 10:33:33.421161,2022-08-01 13:14:31.474625,0
A109742B,2002AP004-002,2022-08-03 07:00:00.877402,2022-08-03 12:53:04.771085,0
A140758A,2003AR127-003,2022-08-03 07:00:00.751308,2022-08-03 13:15:08.712216,0
A103698A,2107AR164-050,2022-08-01 11:07:03.033400,2022-08-01 13:56:33.384909,0
A109742B,2005AR133-002,2022-08-03 12:53:04.771085,2022-08-05 14:00:00,0
A103698A,2108AR123-002,2022-08-01 13:56:33.384909,2022-08-01 15:50:04.360281,0
A104715D,2200AR024-008,2022-08-06 07:00:00.626399,2022-08-06 16:55:16.163987,0
A115178B,2212AP008-004,2022-08-03 07:00:00.546739,2022-08-03 10:14:41.968611,0
A120540A,2116AR049-009,2022-08-03 11:35:04.137461,2022-08-05 08:00:00,0
A110372B,2108AR252-004,2022-08-01 10:34:20.766266,2022-08-01 12:54:45.000639,0
A121152B,2002AP004-001,2022-08-03 07:00:00.636252,2022-08-05 08:00:00,0
A103698A,1921AR077-001,2022-08-01 15:50:04.360281,2022-08-01 19:50:32.708416,0
A125695A,2204AR020-003,2022-08-02 07:00:00.466815,2022-08-02 11:28:47.211493,0
A104161B,2021AR116-004,2022-08-04 10:52:07.790882,2022-08-04 15:46:19.930151,0
A140758A,2112AP002-013,2022-08-03 13:15:08.712216,2022-08-03 17:06:03.725676,0
A104715D,2205AR010-004,2022-08-08 07:00:00.163987,2022-08-08 09:26:12.671448,0
A129921A,2010AR086-004,2022-08-02 11:50:12.969523,2022-08-02 15:28:08.549053,0
A115178B,2117AR145-010,2022-08-03 10:14:41.968611,2022-08-03 14:27:57.709515,0
A106022A,2106AR008-006,2022-08-01 15:07:11.491825,2022-08-01 18:01:50.702745,0
A106058D,2103AR077-002,2022-08-02 07:00:00.162693,2022-08-02 14:35:43.692859,0
A104096A,2107AR110-006,2022-08-02 07:00:00,2022-08-02 11:10:48.682771,0
A104877A,1918AR015-002,2022-08-06 10:57:01.265653,2022-08-06 13:42:07.056876,0
A105422A,2208AR102-005,2022-08-02 09:10:44.144572,2022-08-04 08:00:00,0
A103451B,1707AR187-001,2022-08-01 07:00:00,2022-08-01 10:39:38.856865,0
A115178C,2204AR007-006,2022-08-02 07:00:00,2022-08-02 10:01:02.289057,0
A104096A,2017AR043-001,2022-08-02 11:10:48.682771,2022-08-02 15:29:10.053746,0
A104403D,1808AR188-020,2022-08-03 13:37:40.602733,2022-08-03 17:25:27.007784,2
A104096A,2117AP011-003,2022-08-02 15:29:10.053746,2022-08-04 14:00:00,0
A103328A,2008AR104-001,2022-08-03 11:01:48.729341,2022-08-03 14:57:31.571262,0
