"idCamion","lonBase","latBase"
"A101602A",-8.51288,42.23751
"A102879B",-8.74558,41.98744
"A102966A",-9.02148,42.68749
"A103296A",-7.99496,43.62384
"A103304A",-8.77787,43.276
"A103451E",-7.29789,43.4711
"A103451F",-7.29789,43.4711
"A103628A",-8.76626,42.45673
"A103652A",-7.19459,43.44833
"A103698A",-7.13229,43.41395
"A103761A",-9.0083,43.03159
"A103761D",-9.0083,43.03159
"A103811A",-8.86787,42.00626
"A104096A",-8.56441,42.3221
"A104403D",-7.75942,43.65702
"A104715B",-7.51242,43.68557
"A104715D",-7.51242,43.68557
"A104877A",-7.6361,43.55678
"A104877C",-7.48777,43.61793
"A104887A",-7.59453,43.66143
"A104967A",-8.21132,43.2811
"A104967B",-8.18694,43.21533
"A104967C",-8.18694,43.21533
"A106022A",-6.86451,43.46003
"A106058E",-8.44685,42.85761
"A108122A",-5.46179,43.46028
"A109742A",-8.08606,42.95463
"A109742B",-8.01211,42.88524
"A113290A",-8.4462,42.63361
"A114833A",-7.29789,43.4711
"A115178C",-5.83184,43.47721
"A115178D",-8.45745,43.26895
"A115901A",-8.7696,42.0413
"A116776A",-8.95088,42.61987
"A118173B",-6.41049,43.3472
"A121152B",-8.55373,42.92484
"A121485A",-7.31874,43.48129
"A121837A",-8.01666,43.23333
"A121837B",-8.01666,43.23333
"A123070A",-7.38961,43.10216
"A123070B",-7.38961,43.10216
"A127810A",-9.02148,42.68749
"A127898A",-8.14706,43.24616
"A128208A",-7.83961,43.63215
"A129921A",-8.5463,42.88045
"A130974A",-9.02148,42.68749
"AA9001C",-7.59453,43.66143
"AA9001D",-7.59453,43.66143
"AA9001E",-7.59453,43.66143
"AA9001F",-7.59453,43.66143
