"idPedido","idCamion"
"2116AR059-003","A102879B"
"2116AR059-003","A102966A"
"2116AR059-003","A103296A"
"2116AR059-003","A104403D"
"2116AR059-003","A104877A"
"2116AR059-003","A104887A"
"2116AR059-003","A115901A"
"2116AR059-003","A118173B"
"2116AR059-003","A121152B"
"2116AR059-003","A127810A"
"2116AR059-003","A130974A"
"2116AR059-001","A102879B"
"2116AR059-001","A102966A"
"2116AR059-001","A103296A"
"2116AR059-001","A104403D"
"2116AR059-001","A104877A"
"2116AR059-001","A104887A"
"2116AR059-001","A115901A"
"2116AR059-001","A118173B"
"2116AR059-001","A121152B"
"2116AR059-001","A127810A"
"2116AR059-001","A130974A"
"2116AR049-008","A102879B"
"2116AR049-008","A102966A"
"2116AR049-008","A103296A"
"2116AR049-008","A104403D"
"2116AR049-008","A104877A"
"2116AR049-008","A104887A"
"2116AR049-008","A115901A"
"2116AR049-008","A118173B"
"2116AR049-008","A121152B"
"2116AR049-008","A127810A"
"2116AR049-008","A130974A"
"2116AR049-005","A102879B"
"2116AR049-005","A102966A"
"2116AR049-005","A103296A"
"2116AR049-005","A104403D"
"2116AR049-005","A104877A"
"2116AR049-005","A104887A"
"2116AR049-005","A115901A"
"2116AR049-005","A118173B"
"2116AR049-005","A121152B"
"2116AR049-005","A127810A"
"2116AR049-005","A130974A"
"2116AR049-002","A102879B"
"2116AR049-002","A102966A"
"2116AR049-002","A103296A"
"2116AR049-002","A104403D"
"2116AR049-002","A104877A"
"2116AR049-002","A104887A"
"2116AR049-002","A115901A"
"2116AR049-002","A118173B"
"2116AR049-002","A121152B"
"2116AR049-002","A127810A"
"2116AR049-002","A130974A"
"2116AR049-004","A102879B"
"2116AR049-004","A102966A"
"2116AR049-004","A103296A"
"2116AR049-004","A104403D"
"2116AR049-004","A104877A"
"2116AR049-004","A104887A"
"2116AR049-004","A115901A"
"2116AR049-004","A118173B"
"2116AR049-004","A121152B"
"2116AR049-004","A127810A"
"2116AR049-004","A130974A"
"2116AR014-002","A102879B"
"2116AR014-002","A102966A"
"2116AR014-002","A103296A"
"2116AR014-002","A104403D"
"2116AR014-002","A104877A"
"2116AR014-002","A104887A"
"2116AR014-002","A115901A"
"2116AR014-002","A118173B"
"2116AR014-002","A121152B"
"2116AR014-002","A127810A"
"2116AR014-002","A130974A"
"2115AR117-019","A102879B"
"2115AR117-019","A102966A"
"2115AR117-019","A103296A"
"2115AR117-019","A104403D"
"2115AR117-019","A104877A"
"2115AR117-019","A104887A"
"2115AR117-019","A115901A"
"2115AR117-019","A118173B"
"2115AR117-019","A121152B"
"2115AR117-019","A127810A"
"2115AR117-019","A130974A"
"2115AR120-001","A102879B"
"2115AR120-001","A102966A"
"2115AR120-001","A103296A"
"2115AR120-001","A104403D"
"2115AR120-001","A104877A"
"2115AR120-001","A104887A"
"2115AR120-001","A115901A"
"2115AR120-001","A118173B"
"2115AR120-001","A121152B"
"2115AR120-001","A127810A"
"2115AR120-001","A130974A"
"2115AR117-015","A102879B"
"2115AR117-015","A102966A"
"2115AR117-015","A103296A"
"2115AR117-015","A104403D"
"2115AR117-015","A104877A"
"2115AR117-015","A104887A"
"2115AR117-015","A115901A"
"2115AR117-015","A118173B"
"2115AR117-015","A121152B"
"2115AR117-015","A127810A"
"2115AR117-015","A130974A"
"2115AR117-008","A102879B"
"2115AR117-008","A102966A"
"2115AR117-008","A103296A"
"2115AR117-008","A104403D"
"2115AR117-008","A104877A"
"2115AR117-008","A104887A"
"2115AR117-008","A115901A"
"2115AR117-008","A118173B"
"2115AR117-008","A121152B"
"2115AR117-008","A127810A"
"2115AR117-008","A130974A"
"2114AR093-004","A102879B"
"2114AR093-004","A102966A"
