idCamion,idPedido,start_date,end_date,late
A116776A,2108AR126-001,2022-08-01 07:00:00,2022-08-01 10:22:54.201089,0
A104967B,2212AR050-003,2022-08-01 07:00:00,2022-08-01 09:16:16.474444,0
A116776A,2014AP001-006,2022-08-01 10:22:54.201089,2022-08-04 08:00:00,0
AA9001F,2014AR107-001,2022-08-01 07:00:00,2022-08-01 11:23:20.327994,0
A106058E,2108AR132-003,2022-08-01 07:00:00,2022-08-01 10:42:19.957926,0
A103811A,2108AP001-006,2022-08-02 07:00:00,2022-08-02 11:28:39.260121,0
A109742A,2104AR042-012,2022-08-01 07:00:00,2022-08-01 11:18:22.573898,0
A127898A,2107AR164-045,2022-08-01 07:00:00,2022-08-01 09:51:20.116414,0
A121837B,2212AR044-002,2022-08-01 07:00:00,2022-08-01 09:24:40.879272,0
A114833A,2116AR014-001,2022-08-01 07:00:00,2022-08-01 11:16:39.098844,0
A104967C,2204AR044-001,2022-08-01 07:00:00,2022-08-01 09:51:45.558956,0
A121152B,2018AZ078-002,2022-08-02 07:00:00,2022-08-02 09:58:49.609219,0
A106022A,1803AR007-008,2022-08-01 07:00:00,2022-08-01 10:31:41.285198,0
A104967B,2202AR006-001,2022-08-01 09:16:16.474444,2022-08-01 15:20:17.192790,0
A113290A,2109AR032-006,2022-08-01 07:00:00,2022-08-01 10:24:27.689599,0
A121485A,2212AR063-006,2022-08-01 07:00:00,2022-08-01 10:21:01.388238,0
A113290A,2115AR117-008,2022-08-01 10:24:27.689599,2022-08-01 14:24:54.005478,0
AA9001E,2107AR164-070,2022-08-01 07:00:00,2022-08-01 09:10:46.432942,0
A114833A,2107AR169-003,2022-08-01 11:16:39.098844,2022-08-01 15:23:37.395185,0
AA9001D,1908AR107-005,2022-08-01 07:00:00,2022-08-01 10:25:24.011327,0
A103652A,2102AR072-002,2022-08-01 07:00:00,2022-08-01 13:27:07.988761,0
A103296A,2114AR089-001,2022-08-01 07:00:00,2022-08-01 10:48:41.984076,0
A104096A,1908AR129-002,2022-08-02 07:00:00,2022-08-02 11:36:09.635933,0
A108122A,2117AP024-001,2022-08-01 07:00:00,2022-08-01 14:09:51.568721,0
A102966A,2208AR163-011,2022-08-01 07:00:00,2022-08-01 12:12:04.487329,0
A103304A,2108AR252-003,2022-08-02 07:00:00,2022-08-02 10:08:44.972178,0
A123070A,2106AR039-002,2022-08-02 07:00:00,2022-08-02 10:38:56.191004,0
A104877C,2200AR024-001,2022-08-01 07:00:00,2022-08-01 16:23:14.266556,0
AA9001C,2202AP001-006,2022-08-01 07:00:00,2022-08-01 12:12:59.929890,0
A103628A,2210AR049-007,2022-08-01 07:00:00,2022-08-01 10:44:40.076186,0
A130974A,2203AR016-013,2022-08-01 07:00:00,2022-08-01 12:42:05.239678,0
A104967C,2210AR049-003,2022-08-01 09:51:45.558956,2022-08-03 08:00:00,0
A104096A,2204AR004-001,2022-08-02 11:36:09.635933,2022-08-02 15:18:56.255050,0
A115901A,2005AR130-003,2022-08-01 07:00:00,2022-08-01 13:33:31.275416,0
A103761A,2212AP008-006,2022-08-01 07:00:00,2022-08-01 09:34:12.126810,0
A106058E,2207AP006-001,2022-08-01 10:42:19.957926,2022-08-01 14:42:31.143868,0
A103451F,2002AP005-008,2022-08-02 07:00:00,2022-08-02 12:15:49.532480,0
AA9001E,2105AP003-003,2022-08-01 09:10:46.432942,2022-08-03 08:00:00,0
A102966A,2110AR005-003,2022-08-01 12:12:04.487329,2022-08-01 15:56:31.065999,0
A128208A,2009AR054-003,2022-08-01 07:00:00,2022-08-01 10:51:25.376528,0
A104877C,2107AR164-015,2022-08-01 16:23:14.266556,2022-08-01 18:25:16.936225,0
A103811A,2209AR028-013,2022-08-02 11:28:39.260121,2022-08-02 14:48:20.508124,0
A104967C,2205AR010-004,2022-08-03 08:00:00,2022-08-03 11:40:37.789042,0
A115901A,2112AR048-002,2022-08-02 07:00:00.275416,2022-08-02 14:46:47.274122,0
A104715D,2205AR068-001,2022-08-02 07:00:00,2022-08-02 09:54:36.200355,0
A127810A,2200AZ019-001,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A104877A,2120AP006-001,2022-08-01 07:00:00,2022-08-01 08:58:41.889402,0
A104877A,2107AR164-101,2022-08-01 08:58:41.889402,2022-08-01 11:09:16.689964,0
A104715B,2108AR060-002,2022-08-02 07:00:00,2022-08-02 09:15:47.715236,0
A103451F,2107AR100-009,2022-08-02 12:15:49.532480,2022-08-04 08:00:00,0
A106022A,2117AP011-003,2022-08-01 10:31:41.285198,2022-08-01 15:42:31.612775,0
AA9001C,2014AP010-003,2022-08-01 12:12:59.929890,2022-08-01 15:07:42.709045,0
A127810A,1901AR002-013,2022-08-06 07:00:00,2022-08-08 08:00:00,0
A103304A,2208AP008-005,2022-08-02 10:08:44.972178,2022-08-02 14:22:34.401345,0
A104096A,2021AR022-002,2022-08-02 15:18:56.255050,2022-08-04 14:00:00,0
A115901A,2121AP007-001,2022-08-04 07:00:00.274122,2022-08-04 12:36:57.642865,0
A104877C,1917AR144-010,2022-08-02 07:00:00.936225,2022-08-02 11:05:09.322692,0
AA9001C,2110AR056-002,2022-08-01 15:07:42.709045,2022-08-03 08:00:00,0
A115178C,1901AR002-012,2022-08-02 07:00:00,2022-08-02 11:33:35.122642,0
A129921A,2104AR050-003,2022-08-01 07:00:00,2022-08-01 10:51:51.776877,0
A127810A,2212AP008-014,2022-08-08 08:00:00,2022-08-08 11:13:47.637878,0
A104403D,2121AP014-002,2022-08-02 07:00:00,2022-08-02 10:00:29.814115,0
A102966A,2202AP001-011,2022-08-02 07:00:00.065999,2022-08-04 08:00:00,0
A103652A,2103AR034-001,2022-08-02 07:00:00.988761,2022-08-02 14:35:20.295962,0
A113290A,2115AR054-002,2022-08-01 14:24:54.005478,2022-08-01 17:07:18.027271,0
A113290A,2014AR077-005,2022-08-01 17:07:18.027271,2022-08-01 20:30:29.955853,0
A123070B,2021AR079-001,2022-08-02 07:00:00,2022-08-02 09:45:22.765670,0
A104715B,1906AR145-010,2022-08-02 09:15:47.715236,2022-08-02 13:05:40.298820,0
