idCamion,idPedido,start_date,end_date,late
A109742B,2212AP009-006,2022-08-01 07:00:00,2022-08-01 09:59:10.804238,0
A103761D,2206AP006-001,2022-08-02 07:00:00,2022-08-02 12:12:51.645768,0
A115178D,2212AR063-002,2022-08-01 07:00:00,2022-08-01 09:24:13.074810,0
A127898A,2121AP010-003,2022-08-01 07:00:00,2022-08-01 09:29:15.790009,0
AA9001E,2212AP009-005,2022-08-01 07:00:00,2022-08-01 10:33:38.638471,0
AA9001D,2203AR016-004,2022-08-01 07:00:00,2022-08-01 12:14:03.548652,0
A102879B,2116AR059-003,2022-08-01 07:00:00,2022-08-01 09:44:55.193061,0
A104967C,2212AP008-014,2022-08-01 07:00:00,2022-08-01 09:47:31.289816,0
AA9001D,2200AZ005-002,2022-08-02 07:00:00.548652,2022-08-02 16:24:56.537182,0
A103451F,2104AR038-002,2022-08-02 07:00:00,2022-08-02 10:47:49.114925,0
A113290A,1902AR031-002,2022-08-01 07:00:00,2022-08-01 14:49:45.346333,0
A118173B,2204AR020-006,2022-08-01 07:00:00,2022-08-01 10:57:51.330427,0
A123070B,2109AR033-002,2022-08-02 07:00:00,2022-08-02 10:11:08.671134,0
A104967A,2021AR116-004,2022-08-02 07:00:00,2022-08-02 11:18:45.670888,0
A121837B,1901AR002-013,2022-08-01 07:00:00,2022-08-04 08:00:00,0
A113290A,1907AR442-006,2022-08-02 07:00:00.346333,2022-08-02 12:27:55.621713,0
A104967A,2011AR111-001,2022-08-02 11:18:45.670888,2022-08-04 08:00:00,0
A104715B,2116AR063-002,2022-08-02 07:00:00,2022-08-02 11:01:10.831346,0
A103296A,2108AR046-002,2022-08-01 07:00:00,2022-08-01 09:21:48.084090,0
A103698A,1808AR188-021,2022-08-01 07:00:00,2022-08-01 09:59:30.431476,0
A115178D,1803AR007-012,2022-08-01 09:24:13.074810,2022-08-03 08:00:00,0
A101602A,2002AP005-002,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A102966A,1907AR256-042,2022-08-01 07:00:00,2022-08-01 11:59:10.997870,0
A104715B,2200AZ018-001,2022-08-03 07:00:00.831346,2022-08-03 17:20:42.147213,0
A109742B,2212AR063-006,2022-08-01 09:59:10.804238,2022-08-03 08:00:00,0
A103761A,2107AR164-051,2022-08-01 07:00:00,2022-08-01 10:18:13.873084,0
A121837A,2103AR034-001,2022-08-01 07:00:00,2022-08-01 13:10:45.398599,0
A113290A,2115AR117-019,2022-08-02 12:27:55.621713,2022-08-02 14:49:46.346238,0
A103296A,2112AP002-016,2022-08-01 09:21:48.084090,2022-08-03 08:00:00,1
A115178D,2210AR032-007,2022-08-03 08:00:00,2022-08-03 11:21:36.458667,0
A104715B,2108AR252-004,2022-08-04 07:00:00.147213,2022-08-04 09:38:07.397842,0
A103451F,2211AZ086-002,2022-08-02 10:47:49.114925,2022-08-02 13:34:06.102930,0
A104967B,2201AP001-003,2022-08-01 07:00:00,2022-08-01 13:09:56.350954,0
A103652A,1803AR007-001,2022-08-01 07:00:00,2022-08-01 10:42:52.875260,0
A108122A,1905AP004-003,2022-08-01 07:00:00,2022-08-01 12:14:01.075705,0
A104877A,2102AR048-001,2022-08-01 07:00:00,2022-08-01 13:16:32.074779,0
A102966A,1907AR309-003,2022-08-01 11:59:10.997870,2022-08-03 08:00:00,0
A121837A,2206AP005-001,2022-08-01 13:10:45.398599,2022-08-03 14:00:00,0
A104715B,2105AP002-006,2022-08-04 09:38:07.397842,2022-08-04 11:39:12.056725,0
A123070B,2108AP001-011,2022-08-02 10:11:08.671134,2022-08-02 12:52:06.182785,0
A103628A,2112AP002-005,2022-08-01 07:00:00,2022-08-01 10:19:24.787357,0
A101602A,2208AP009-001,2022-08-04 07:00:00,2022-08-04 12:01:21.658751,0
A103698A,2210AR049-004,2022-08-01 09:59:30.431476,2022-08-01 13:17:15.642327,0
A104967B,2212AP009-011,2022-08-01 13:09:56.350954,2022-08-01 16:31:52.246845,0
A104877C,2210AR049-007,2022-08-01 07:00:00,2022-08-01 10:31:22.438459,0
A109742B,2113AR069-002,2022-08-03 08:00:00,2022-08-03 11:04:53.782408,0
A118173B,2115AP015-003,2022-08-01 10:57:51.330427,2022-08-01 14:58:18.314815,0
A127898A,2005AR125-001,2022-08-01 09:29:15.790009,2022-08-01 13:58:40.484451,0
A103304A,2102AR074-002,2022-08-02 07:00:00,2022-08-02 12:56:52.902612,0
AA9001E,2112AR048-002,2022-08-01 10:33:38.638471,2022-08-01 18:16:30.232293,0
A113290A,2117AR039-001,2022-08-02 14:49:46.346238,2022-08-02 19:40:18.691229,0
A104967B,1907AR340-004,2022-08-02 07:00:00.246845,2022-08-02 11:16:49.669788,0
A128208A,1907AR309-002,2022-08-01 07:00:00,2022-08-01 10:30:02.316721,0
A115901A,2116AR049-004,2022-08-01 07:00:00,2022-08-01 09:26:18.393544,0
A104403D,2108AR126-001,2022-08-02 07:00:00,2022-08-02 08:59:43.448572,0
A104403D,2014AP008-001,2022-08-02 08:59:43.448572,2022-08-02 12:36:21.578039,0
A121485A,2204AR007-006,2022-08-01 07:00:00,2022-08-01 09:22:50.490386,0
A115178C,2108AR178-001,2022-08-02 07:00:00,2022-08-02 11:15:07.751452,0
A104715D,2112AP002-018,2022-08-02 07:00:00,2022-08-02 11:14:27.942619,0
A113290A,1908AR107-005,2022-08-04 07:00:00.691229,2022-08-04 10:09:54.769371,0
A103698A,2109AR032-011,2022-08-01 13:17:15.642327,2022-08-03 08:00:00,0
A104967A,2201AP002-003,2022-08-05 07:00:00,2022-08-05 13:53:49.958269,0
A121837B,2107AR100-009,2022-08-04 08:00:00,2022-08-04 11:55:15.083909,0
A109742B,2008AR074-001,2022-08-03 11:04:53.782408,2022-08-03 14:49:53.112470,0
A127898A,2115AR117-009,2022-08-01 13:58:40.484451,2022-08-01 16:37:18.614777,0
AA9001C,2014AP010-008,2022-08-01 07:00:00,2022-08-01 11:02:53.709111,0
AA9001E,2014AP010-003,2022-08-02 07:00:00.232293,2022-08-02 14:22:12.238408,0
A106058E,2201AP005-002,2022-08-01 07:00:00,2022-08-01 14:56:46.203138,0
AA9001E,2115AR054-003,2022-08-02 14:22:12.238408,2022-08-02 17:37:56.186143,0
A104887A,2208AP009-002,2022-08-01 07:00:00,2022-08-01 10:55:43.591699,0
A129921A,2208AZ150-002,2022-08-01 07:00:00,2022-08-01 11:02:30.580983,0
A104877A,2113AR062-002,2022-08-01 13:16:32.074779,2022-08-03 08:00:00,0
A103304A,2008AR016-001,2022-08-02 12:56:52.902612,2022-08-02 17:16:09.738643,0
AA9001F,2006AP005-002,2022-08-01 07:00:00,2022-08-01 10:11:34.835347,0
A104096A,2114AP012-001,2022-08-02 07:00:00,2022-08-02 10:37:18.226237,0
A128208A,2206AP006-002,2022-08-01 10:30:02.316721,2022-08-01 15:46:30.058674,0
A108122A,2103AR026-002,2022-08-02 07:00:00.075705,2022-08-02 14:39:20.288965,0
A103761A,2212AP008-007,2022-08-01 10:18:13.873084,2022-08-01 13:27:10.442938,0
A102966A,2107AR100-018,2022-08-04 07:00:00,2022-08-04 10:46:53.855394,0
A104877C,2202AR006-001,2022-08-01 10:31:22.438459,2022-08-01 16:43:49.770456,0
A121837A,1905AR021-001,2022-08-04 07:00:00,2022-08-04 13:00:40.682078,0
A115901A,2014AR107-001,2022-08-01 09:26:18.393544,2022-08-04 08:00:00,0
A121152B,2107AR164-069,2022-08-02 07:00:00,2022-08-02 10:08:12.296470,0
A109742A,1901AR002-006,2022-08-01 07:00:00,2022-08-01 13:43:42.698489,0
A108122A,2118AP002-005,2022-08-02 14:39:20.288965,2022-08-04 08:00:00,0
A115178D,2002AP005-001,2022-08-04 07:00:00.458667,2022-08-04 13:55:07.959993,0
A104967C,2111AR121-004,2022-08-01 09:47:31.289816,2022-08-01 14:32:17.310132,0
A102966A,2006AP005-001,2022-08-04 10:46:53.855394,2022-08-06 08:00:00,0
