"idPedido","prioridad","lonCarga","latCarga","categoria","lonDescarga","latDescarga","startSlot","endSlot","lastDate"
"2116AR059-003",0,-8.6432,42.37462,"M3",-8.53465,42.1258,"08:00","12:00","2022-08-20"
"2114AR021-002",0,-8.84472,42.76854,"M3",-7.91436,42.38322,"08:00","12:00","2022-08-06"
"2113AR069-002",0,-8.51535,42.77729,"M3",-7.87782,42.80797,"08:00","12:00","2022-09-12"
"2103AR030-001",0,-6.09923,43.47422,"M2",-7.83776,43.56125,"08:00","12:00","2022-08-22"
"2007AR177-005",0,-7.57457,43.69829,"M2",-8.19868,43.02471,"08:00","12:00","2022-08-01"
"2007AR177-007",0,-7.57444,43.69768,"M2",-8.13642,43.05127,"08:00","12:00","2022-08-20"
"2001AP001-003",0,-4.94658,43.43565,"M2",-8.59443,42.68151,"08:00","12:00","2022-08-22"
"1921AR089-006",0,-7.23288,43.24525,"M2",-8.59736,42.68088,"08:00","12:00","2022-09-08"
"1921AR077-003",0,-7.1897,43.24357,"M2",-8.59709,42.68085,"08:00","12:00","2022-09-07"
"2121AP010-002",0,-7.46739,43.34129,"M1",-7.71152,43.35588,"08:00","12:00","2022-08-18"
"2121AP010-003",0,-7.46713,43.34127,"M1",-7.74047,43.37167,"08:00","12:00","2022-08-03"
"2120AP006-002",0,-7.7579,43.3817,"M1",-7.72961,43.34899,"08:00","12:00","2022-08-14"
"2105AP002-016",0,-7.20736,43.37111,"M1",-7.4795,43.34095,"08:00","12:00","2022-08-08"
"2108AR188-001",0,-7.91436,43.62139,"M3",-7.33765,43.59884,"08:00","12:00","2022-09-08"
"2014AP001-001",0,-8.75236,42.69136,"M2",-8.53311,43.10235,"08:00","12:00","2022-08-16"
"2112AR026-003",0,-8.97629,42.94733,"M2",-7.93312,43.61281,"08:00","12:00","2022-09-06"
"1907AR441-027",0,-7.68935,43.54578,"M2",-8.59014,42.67728,"08:00","12:00","2022-08-08"
"2202AP001-011",0,-5.95018,43.3358,"M1",-8.24129,42.4599,"08:00","12:00","2022-09-04"
"2117AR013-006",0,-8.53632,42.12827,"M2",-7.79058,43.63333,"08:00","12:00","2022-08-13"
"2104AR035-020",0,-7.01341,43.4914,"M3",-8.65462,42.49177,"08:00","12:00","2022-09-02"
"2104AR035-015",0,-7.01933,43.49106,"M3",-8.65946,42.49783,"08:00","12:00","2022-08-25"
"2108AR008-001",0,-7.90912,43.67848,"M2",-7.97265,43.54639,"08:00","12:00","2022-08-25"
"1905AP005-001",0,-7.21493,43.35535,"M2",-8.41143,42.32954,"08:00","12:00","2022-08-19"
"2003AP002-008",0,-6.16268,43.47461,"M2",-8.87595,42.92494,"08:00","12:00","2022-08-12"
"1802AR008-001",0,-5.95936,43.49343,"M2",-7.38009,43.16103,"08:00","12:00","2022-08-29"
"2002AR056-001",0,-5.79491,43.60241,"M2",-8.87518,42.92576,"08:00","12:00","2022-08-06"
"1906AR062-005",0,-7.37901,43.57094,"M2",-8.55764,42.56454,"08:00","12:00","2022-09-08"
"2014AR077-002",0,-8.83073,42.83939,"M2",-8.2929,43.27206,"08:00","12:00","2022-09-08"
"2110AR056-002",0,-8.05562,43.23911,"M0",-8.04376,42.51616,"08:00","12:00","2022-09-03"
"2105AR101-012",0,-7.1301,43.48684,"M3",-8.82519,43.29497,"08:00","12:00","2022-09-09"
"2014AP010-007",0,-8.68423,42.78012,"M2",-8.18374,43.27536,"08:00","12:00","2022-09-07"
