"idCamion","lonBase","latBase"
"A103296A",-7.99496,43.62384
"A103328A",-7.342,43.47875
"A103451B",-7.29789,43.4711
"A103451F",-7.29789,43.4711
"A103652A",-7.19459,43.44833
"A103698A",-7.13229,43.41395
"A103761A",-9.0083,43.03159
"A103811C",-8.40544,42.2088
"A104715A",-7.51242,43.68557
"A104715C",-7.44769,43.68209
"A106058D",-8.61849,42.99506
"A113290A",-8.4462,42.63361
"A115178B",-7.84944,43.44582
"A119269A",-5.46179,43.46028
"A121944A",-8.78186,42.77534
"A125695C",-7.93606,43.16627
"A127810A",-9.02148,42.68749
"A127958B",-8.56946,42.64041
"A129527A",-7.23333,43.53333
"A129757A",-7.99122,43.55053
