"idPedido","idCamion"
"2115AR117-019","A103296A"
"2115AR117-019","A127810A"
"2115AR117-019","A127958B"
"2115AR117-019","A129527A"
"2115AR120-001","A103296A"
"2115AR120-001","A127810A"
"2115AR120-001","A127958B"
"2115AR120-001","A129527A"
"2115AR117-015","A103296A"
"2115AR117-015","A127810A"
"2115AR117-015","A127958B"
"2115AR117-015","A129527A"
"2115AR117-008","A103296A"
"2115AR117-008","A127810A"
"2115AR117-008","A127958B"
"2115AR117-008","A129527A"
"2115AR117-007","A103296A"
"2115AR117-007","A127810A"
"2115AR117-007","A127958B"
"2115AR117-007","A129527A"
"2114AR093-004","A103296A"
"2114AR093-004","A127810A"
"2114AR093-004","A127958B"
"2114AR093-004","A129527A"
"2114AR093-001","A103296A"
"2114AR093-001","A127810A"
"2114AR093-001","A127958B"
"2114AR093-001","A129527A"
"2114AR021-003","A103296A"
"2114AR021-003","A127810A"
"2114AR021-003","A127958B"
"2114AR021-003","A129527A"
"2114AR021-002","A103296A"
"2114AR021-002","A127810A"
"2114AR021-002","A127958B"
"2114AR021-002","A129527A"
"2113AR036-006","A103296A"
"2113AR036-006","A127810A"
"2113AR036-006","A127958B"
"2113AR036-006","A129527A"
"2112AR082-006","A103296A"
"2112AR082-006","A127810A"
"2112AR082-006","A127958B"
"2112AR082-006","A129527A"
"2204AR007-005","A103328A"
"2204AR007-005","A103451B"
"2204AR007-005","A103451F"
"2204AR007-005","A103652A"
"2204AR007-005","A103698A"
"2204AR007-005","A103761A"
"2204AR007-005","A103811C"
"2204AR007-005","A104715A"
"2204AR007-005","A104715C"
"2204AR007-005","A106058D"
"2204AR007-005","A113290A"
"2204AR007-005","A115178B"
"2204AR007-005","A121944A"
"2204AR007-005","A129757A"
"2204AR007-006","A103328A"
"2204AR007-006","A103451B"
"2204AR007-006","A103451F"
"2204AR007-006","A103652A"
"2204AR007-006","A103698A"
"2204AR007-006","A103761A"
"2204AR007-006","A103811C"
"2204AR007-006","A104715A"
"2204AR007-006","A104715C"
"2204AR007-006","A106058D"
"2204AR007-006","A113290A"
"2204AR007-006","A115178B"
"2204AR007-006","A121944A"
"2204AR007-006","A129757A"
"2202AR010-002","A103328A"
"2202AR010-002","A103451B"
"2202AR010-002","A103451F"
"2202AR010-002","A103652A"
"2202AR010-002","A103698A"
"2202AR010-002","A103761A"
"2202AR010-002","A103811C"
"2202AR010-002","A104715A"
"2202AR010-002","A104715C"
"2202AR010-002","A106058D"
"2202AR010-002","A113290A"
"2202AR010-002","A115178B"
"2202AR010-002","A121944A"
"2202AR010-002","A129757A"
"2103AR089-002","A103328A"
"2103AR089-002","A103451B"
"2103AR089-002","A103451F"
"2103AR089-002","A103652A"
"2103AR089-002","A103698A"
"2103AR089-002","A103761A"
"2103AR089-002","A103811C"
"2103AR089-002","A104715A"
"2103AR089-002","A104715C"
"2103AR089-002","A106058D"
"2103AR089-002","A113290A"
"2103AR089-002","A115178B"
"2103AR089-002","A121944A"
"2103AR089-002","A129757A"
"2008AR042-003","A103328A"
"2008AR042-003","A103451B"
"2008AR042-003","A103451F"
"2008AR042-003","A103652A"
"2008AR042-003","A103698A"
"2008AR042-003","A103761A"
"2008AR042-003","A103811C"
"2008AR042-003","A104715A"
"2008AR042-003","A104715C"
"2008AR042-003","A106058D"
"2008AR042-003","A113290A"
"2008AR042-003","A115178B"
"2008AR042-003","A121944A"
"2008AR042-003","A129757A"
"2006AP002-006","A103328A"
"2006AP002-006","A103451B"
"2006AP002-006","A103451F"
"2006AP002-006","A103652A"
"2006AP002-006","A103698A"
"2006AP002-006","A103761A"
"2006AP002-006","A103811C"
"2006AP002-006","A104715A"
"2006AP002-006","A104715C"
"2006AP002-006","A106058D"
"2006AP002-006","A113290A"
"2006AP002-006","A115178B"
"2006AP002-006","A121944A"
"2006AP002-006","A129757A"
"2006AP002-005","A103328A"
"2006AP002-005","A103451B"
"2006AP002-005","A103451F"
"2006AP002-005","A103652A"
"2006AP002-005","A103698A"
"2006AP002-005","A103761A"
"2006AP002-005","A103811C"
"2006AP002-005","A104715A"
"2006AP002-005","A104715C"
"2006AP002-005","A106058D"
"2006AP002-005","A113290A"
"2006AP002-005","A115178B"
"2006AP002-005","A121944A"
"2006AP002-005","A129757A"
"2006AP002-004","A103328A"
"2006AP002-004","A103451B"
"2006AP002-004","A103451F"
"2006AP002-004","A103652A"
"2006AP002-004","A103698A"
"2006AP002-004","A103761A"
"2006AP002-004","A103811C"
"2006AP002-004","A104715A"
"2006AP002-004","A104715C"
"2006AP002-004","A106058D"
"2006AP002-004","A113290A"
"2006AP002-004","A115178B"
"2006AP002-004","A121944A"
"2006AP002-004","A129757A"
"2210AZ033-004","A103328A"
"2210AZ033-004","A103451B"
"2210AZ033-004","A103451F"
"2210AZ033-004","A103761A"
"2210AZ033-004","A103811C"
"2210AZ033-004","A104715A"
"2210AZ033-004","A104715C"
"2210AZ033-004","A106058D"
"2210AZ033-004","A113290A"
"2210AZ033-004","A119269A"
"2210AZ033-004","A121944A"
"2210AZ033-004","A125695C"
"2001AP001-003","A103328A"
"2001AP001-003","A103451B"
"2001AP001-003","A103451F"
"2001AP001-003","A103652A"
"2001AP001-003","A103698A"
"2001AP001-003","A103761A"
"2001AP001-003","A103811C"
"2001AP001-003","A104715A"
"2001AP001-003","A104715C"
"2001AP001-003","A106058D"
"2001AP001-003","A113290A"
"2001AP001-003","A115178B"
"2001AP001-003","A121944A"
"2001AP001-003","A129757A"
"1921AR077-003","A103328A"
"1921AR077-003","A103451B"
"1921AR077-003","A103451F"
"1921AR077-003","A103652A"
"1921AR077-003","A103698A"
"1921AR077-003","A103761A"
"1921AR077-003","A103811C"
"1921AR077-003","A104715A"
"1921AR077-003","A104715C"
"1921AR077-003","A106058D"
"1921AR077-003","A113290A"
"1921AR077-003","A115178B"
"1921AR077-003","A121944A"
"1921AR077-003","A129757A"
"1921AR011-002","A103328A"
"1921AR011-002","A103451B"
"1921AR011-002","A103451F"
"1921AR011-002","A103652A"
"1921AR011-002","A103698A"
"1921AR011-002","A103761A"
"1921AR011-002","A103811C"
"1921AR011-002","A104715A"
"1921AR011-002","A104715C"
"1921AR011-002","A106058D"
"1921AR011-002","A113290A"
"1921AR011-002","A115178B"
"1921AR011-002","A121944A"
"1921AR011-002","A129757A"
"2208AR164-001","A103328A"
"2208AR164-001","A103451B"
"2208AR164-001","A103451F"
"2208AR164-001","A103761A"
"2208AR164-001","A103811C"
"2208AR164-001","A104715A"
"2208AR164-001","A104715C"
"2208AR164-001","A106058D"
"2208AR164-001","A113290A"
"2208AR164-001","A119269A"
"2208AR164-001","A121944A"
"2208AR164-001","A125695C"
"1905AP004-007","A103328A"
"1905AP004-007","A103451B"
"1905AP004-007","A103451F"
"1905AP004-007","A103652A"
"1905AP004-007","A103698A"
"1905AP004-007","A103761A"
"1905AP004-007","A103811C"
"1905AP004-007","A104715A"
"1905AP004-007","A104715C"
"1905AP004-007","A106058D"
"1905AP004-007","A113290A"
"1905AP004-007","A115178B"
"1905AP004-007","A121944A"
"1905AP004-007","A129757A"
"2118AP002-010","A103328A"
"2118AP002-010","A103451B"
"2118AP002-010","A103451F"
"2118AP002-010","A103761A"
"2118AP002-010","A103811C"
"2118AP002-010","A104715A"
"2118AP002-010","A104715C"
"2118AP002-010","A106058D"
"2118AP002-010","A113290A"
"2118AP002-010","A119269A"
"2118AP002-010","A121944A"
"2118AP002-010","A125695C"
"2105AP002-015","A103328A"
"2105AP002-015","A103451B"
"2105AP002-015","A103451F"
"2105AP002-015","A103761A"
"2105AP002-015","A103811C"
"2105AP002-015","A104715A"
"2105AP002-015","A104715C"
"2105AP002-015","A106058D"
"2105AP002-015","A113290A"
"2105AP002-015","A119269A"
"2105AP002-015","A121944A"
"2105AP002-015","A125695C"
"2105AP002-022","A103328A"
"2105AP002-022","A103451B"
"2105AP002-022","A103451F"
"2105AP002-022","A103761A"
"2105AP002-022","A103811C"
"2105AP002-022","A104715A"
"2105AP002-022","A104715C"
"2105AP002-022","A106058D"
"2105AP002-022","A113290A"
"2105AP002-022","A119269A"
"2105AP002-022","A121944A"
"2105AP002-022","A125695C"
"1607AR221-001","A103328A"
"1607AR221-001","A103451B"
"1607AR221-001","A103451F"
"1607AR221-001","A103652A"
"1607AR221-001","A103698A"
"1607AR221-001","A103761A"
"1607AR221-001","A103811C"
"1607AR221-001","A104715A"
"1607AR221-001","A104715C"
"1607AR221-001","A106058D"
"1607AR221-001","A113290A"
"1607AR221-001","A115178B"
"1607AR221-001","A121944A"
"1607AR221-001","A129757A"
"2212AR049-001","A103328A"
"2212AR049-001","A103451B"
"2212AR049-001","A103451F"
"2212AR049-001","A103761A"
"2212AR049-001","A103811C"
"2212AR049-001","A104715A"
"2212AR049-001","A104715C"
"2212AR049-001","A106058D"
"2212AR049-001","A113290A"
"2212AR049-001","A119269A"
"2212AR049-001","A121944A"
"2212AR049-001","A125695C"
"2108AR188-001","A103296A"
"2108AR188-001","A127810A"
"2108AR188-001","A127958B"
"2108AR188-001","A129527A"
"2108AR182-002","A103296A"
"2108AR182-002","A127810A"
"2108AR182-002","A127958B"
"2108AR182-002","A129527A"
"1908AR208-006","A103328A"
"1908AR208-006","A103451B"
"1908AR208-006","A103451F"
"1908AR208-006","A103652A"
"1908AR208-006","A103698A"
"1908AR208-006","A103761A"
"1908AR208-006","A103811C"
"1908AR208-006","A104715A"
"1908AR208-006","A104715C"
"1908AR208-006","A106058D"
"1908AR208-006","A113290A"
"1908AR208-006","A115178B"
"1908AR208-006","A121944A"
"1908AR208-006","A129757A"
"2112AP005-002","A103328A"
"2112AP005-002","A103451B"
"2112AP005-002","A103451F"
"2112AP005-002","A103652A"
"2112AP005-002","A103698A"
"2112AP005-002","A103761A"
