idCamion,idPedido,start_date,end_date,late
A129527A,1906AR145-009,2022-08-01 07:00:00,2022-08-01 10:35:58.547826,0
A127810A,2105AP002-024,2022-08-01 07:00:00,2022-08-01 11:20:04.595012,0
A103296A,2208AR164-001,2022-08-01 07:00:00,2022-08-01 10:37:56.737720,0
A104715C,1901AR002-010,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A121944A,2212AP009-005,2022-08-01 07:00:00,2022-08-01 09:44:54.909580,0
A103451B,2203AR016-006,2022-08-01 07:00:00,2022-08-01 10:50:11.273864,0
A113290A,2003AR127-003,2022-08-01 07:00:00,2022-08-01 13:48:03.324247,0
A113290A,2105AR113-001,2022-08-01 13:48:03.324247,2022-08-01 18:21:51.052786,0
A119269A,1906AR154-001,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A103761A,2108AR193-001,2022-08-01 07:00:00,2022-08-01 10:41:16.424787,0
A129757A,2107AR164-050,2022-08-01 07:00:00,2022-08-01 09:12:19.348764,0
A104715A,2208AR102-005,2022-08-01 07:00:00,2022-08-01 11:15:33.134851,0
A103328A,2121AP026-001,2022-08-01 07:00:00,2022-08-01 09:34:23.102467,0
A113290A,2105AP002-021,2022-08-02 07:00:00.052786,2022-08-02 09:26:00.866978,0
A103811C,2014AP010-005,2022-08-01 07:00:00,2022-08-01 10:07:57.441956,0
A103761A,1902AR067-009,2022-08-01 10:41:16.424787,2022-08-01 16:01:43.628324,0
A103761A,2001AP001-003,2022-08-02 07:00:00.628324,2022-08-05 08:00:00,0
A104715C,2212AP009-006,2022-08-03 08:00:00,2022-08-03 11:14:03.742531,0
A103652A,2108AR110-010,2022-08-01 07:00:00,2022-08-01 09:32:28.630434,0
A106058D,2105AR100-003,2022-08-01 07:00:00,2022-08-01 11:58:36.006680,0
A103698A,2107AR100-015,2022-08-01 07:00:00,2022-08-01 10:01:15.937499,0
A127958B,2212AR063-009,2022-08-02 07:00:00,2022-08-02 09:10:46.622124,0
A103698A,2107AR100-004,2022-08-01 10:01:15.937499,2022-08-01 13:11:16.971170,0
A127958B,2209AR040-008,2022-08-02 09:10:46.622124,2022-08-02 12:54:19.414966,0
A129757A,2013AP004-005,2022-08-01 09:12:19.348764,2022-08-01 12:19:25.203903,0
A103451F,2104AR028-001,2022-08-02 07:00:00,2022-08-02 11:09:01.322581,0
A103296A,1902AR006-007,2022-08-01 10:37:56.737720,2022-08-03 08:00:00,0
A104715A,2108AR126-002,2022-08-01 11:15:33.134851,2022-08-01 14:59:06.363837,0
A127810A,2117AR039-001,2022-08-01 11:20:04.595012,2022-08-01 17:32:49.542599,0
A103451B,2204AR007-005,2022-08-01 10:50:11.273864,2022-08-01 13:35:57.909168,0
A127958B,2108AR043-001,2022-08-02 12:54:19.414966,2022-08-02 16:34:25.556798,0
A113290A,2021AR116-004,2022-08-02 09:26:00.866978,2022-08-02 13:09:42.447139,0
A103451F,1808AR154-001,2022-08-02 11:09:01.322581,2022-08-02 15:45:38.005538,0
A119269A,2108AR177-001,2022-08-03 08:00:00,2022-08-03 11:49:30.711075,0
A127958B,2021AR022-003,2022-08-02 16:34:25.556798,2022-08-04 08:00:00,0
A129527A,2103AR060-001,2022-08-01 10:35:58.547826,2022-08-03 08:00:00,0
A127958B,2208AR187-003,2022-08-05 07:00:00,2022-08-07 08:00:00,0
A127810A,2200AR030-001,2022-08-02 07:00:00.542599,2022-08-02 15:01:35.118951,0
A104715C,1908AR107-001,2022-08-03 11:14:03.742531,2022-08-05 08:00:00,0
A115178B,2102AR029-002,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A113290A,2205AR020-002,2022-08-02 13:09:42.447139,2022-08-04 08:00:00,0
A103451F,2117AR013-011,2022-08-03 07:00:00.005538,2022-08-03 12:31:48.714475,0
A119269A,1902AR067-006,2022-08-05 07:00:00.711075,2022-08-07 08:00:00,0
A103328A,2205AR010-004,2022-08-01 09:34:23.102467,2022-08-01 12:19:12.568241,0
A103328A,2111AR086-001,2022-08-01 12:19:12.568241,2022-08-01 17:26:39.800419,0
A106058D,1906AR062-004,2022-08-01 11:58:36.006680,2022-08-01 17:04:58.746101,0
A103761A,2107AR164-025,2022-08-05 08:00:00,2022-08-05 11:15:18.018317,0
A103698A,2110AR008-007,2022-08-01 13:11:16.971170,2022-08-01 15:42:37.701010,0
A115178B,2210AR049-002,2022-08-03 08:00:00,2022-08-03 11:06:09.786492,0
A103811C,2108AR126-001,2022-08-01 10:07:57.441956,2022-08-01 12:30:55.382551,0
A103328A,2108AR169-001,2022-08-01 17:26:39.800419,2022-08-01 21:00:29.016344,0
A125695C,2107AR125-001,2022-08-01 07:00:00,2022-08-01 10:05:32.718594,0
A104715C,2005AR125-001,2022-08-06 07:00:00,2022-08-06 12:46:05.882391,0
A104715C,2116AP006-002,2022-08-06 12:46:05.882391,2022-08-06 16:23:52.948857,0
A127958B,2204AP003-012,2022-08-07 08:00:00,2022-08-07 12:41:28.831366,0
A103296A,2112AP002-001,2022-08-04 07:00:00,2022-08-04 10:37:58.002749,0
A103698A,2105AR104-007,2022-08-01 15:42:37.701010,2022-08-01 19:34:02.707879,0
A115178B,2010AR086-002,2022-08-03 11:06:09.786492,2022-08-03 15:04:57.215175,0
A115178B,2108AR145-001,2022-08-04 07:00:00.215175,2022-08-04 10:51:23.920765,3
A121944A,2107AR108-005,2022-08-01 09:44:54.909580,2022-08-01 13:11:32.451778,0
A127958B,1907AR256-015,2022-08-09 07:00:00.831366,2022-08-09 10:25:06.056919,2
A103451F,2203AP002-012,2022-08-03 12:31:48.714475,2022-08-03 16:11:56.622909,0
A103451F,2108AR111-002,2022-08-03 16:11:56.622909,2022-08-03 18:25:40.081674,0
A125695C,1810AR095-004,2022-08-01 10:05:32.718594,2022-08-04 08:00:00,0
A121944A,2108AR110-004,2022-08-01 13:11:32.451778,2022-08-01 15:42:26.947221,0
A104715C,1907AR441-028,2022-08-06 16:23:52.948857,2022-08-06 19:40:17.599054,0
A129757A,2204AR004-002,2022-08-01 12:19:25.203903,2022-08-01 15:40:27.164841,0
A106058D,1907AR256-001,2022-08-02 07:00:00.746101,2022-08-02 11:53:50.028423,0
A103698A,2107AR100-002,2022-08-01 19:34:02.707879,2022-08-03 08:00:00,0
A115178B,2201AR006-001,2022-08-04 10:51:23.920765,2022-08-04 17:43:31.665359,0
A113290A,2014AP010-002,2022-08-04 08:00:00,2022-08-04 12:02:48.061196,0
