"idCamion","descanso"
"A103296A","8/5/2022"
"A103328A","8/4/2022"
"A103451B","8/3/2022"
"A103451F","8/1/2022"
"A103652A","8/3/2022"
"A103698A","8/5/2022"
"A103761A","8/4/2022"
"A103811C","8/4/2022"
"A104715A","8/3/2022"
"A104715C","8/2/2022"
"A106058D","8/5/2022"
"A113290A","8/3/2022"
"A115178B","8/2/2022"
"A119269A","8/4/2022"
"A121944A","8/4/2022"
"A125695C","8/3/2022"
"A127810A","8/5/2022"
"A127958B","8/1/2022"
"A129527A","8/4/2022"
"A129757A","8/4/2022"
"A103296A","8/7/2022"
"A103328A","8/8/2022"
"A103451B","8/7/2022"
"A103451F","8/9/2022"
"A103652A","8/9/2022"
"A103698A","8/7/2022"
"A103761A","8/9/2022"
"A103811C","8/9/2022"
"A104715A","8/8/2022"
"A104715C","8/8/2022"
"A106058D","8/7/2022"
"A113290A","8/7/2022"
"A115178B","8/8/2022"
"A119269A","8/9/2022"
"A121944A","8/9/2022"
"A125695C","8/8/2022"
"A127810A","8/9/2022"
"A127958B","8/8/2022"
"A129527A","8/9/2022"
"A129757A","8/9/2022"
"A103296A","8/12/2022"
"A103328A","8/12/2022"
"A103451B","8/11/2022"
"A103451F","8/12/2022"
"A103652A","8/12/2022"
"A103698A","8/11/2022"
"A103761A","8/12/2022"
"A103811C","8/12/2022"
"A104715A","8/11/2022"
"A104715C","8/12/2022"
"A106058D","8/12/2022"
"A113290A","8/12/2022"
"A115178B","8/11/2022"
"A119269A","8/12/2022"
"A121944A","8/11/2022"
"A125695C","8/11/2022"
"A127810A","8/11/2022"
"A127958B","8/12/2022"
"A129527A","8/12/2022"
"A129757A","8/12/2022"
"A103296A","8/16/2022"
"A103328A","8/16/2022"
"A103451B","8/15/2022"
"A103451F","8/16/2022"
"A103652A","8/16/2022"
"A103698A","8/15/2022"
"A103761A","8/14/2022"
"A103811C","8/15/2022"
"A104715A","8/15/2022"
"A104715C","8/16/2022"
"A106058D","8/14/2022"
"A113290A","8/14/2022"
"A115178B","8/15/2022"
"A119269A","8/16/2022"
"A121944A","8/14/2022"
"A125695C","8/14/2022"
"A127810A","8/14/2022"
"A127958B","8/14/2022"
"A129527A","8/14/2022"
"A129757A","8/15/2022"
"A103296A","8/18/2022"
"A103328A","8/19/2022"
"A103451B","8/18/2022"
"A103451F","8/19/2022"
"A103652A","8/18/2022"
"A103698A","8/18/2022"
"A103761A","8/19/2022"
"A103811C","8/19/2022"
"A104715A","8/18/2022"
"A104715C","8/19/2022"
"A106058D","8/19/2022"
"A113290A","8/19/2022"
"A115178B","8/18/2022"
"A119269A","8/18/2022"
"A121944A","8/18/2022"
"A125695C","8/18/2022"
"A127810A","8/18/2022"
"A127958B","8/18/2022"
"A129527A","8/18/2022"
"A129757A","8/18/2022"
"A103296A","8/23/2022"
"A103328A","8/22/2022"
"A103451B","8/21/2022"
"A103451F","8/21/2022"
"A103652A","8/22/2022"
