"idPedido","idCamion"
"2115AR117-019","A102966A"
"2115AR117-019","A103296A"
"2115AR117-019","A103958A"
"2115AR117-019","A104877A"
"2115AR117-019","A118173B"
"2115AR117-019","A127343A"
"2115AR117-019","A127958B"
"2115AR117-019","A129527A"
"2115AR120-001","A102966A"
"2115AR120-001","A103296A"
"2115AR120-001","A103958A"
"2115AR120-001","A104877A"
"2115AR120-001","A118173B"
"2115AR120-001","A127343A"
"2115AR120-001","A127958B"
"2115AR120-001","A129527A"
"2115AR117-015","A102966A"
"2115AR117-015","A103296A"
"2115AR117-015","A103958A"
"2115AR117-015","A104877A"
"2115AR117-015","A118173B"
"2115AR117-015","A127343A"
"2115AR117-015","A127958B"
"2115AR117-015","A129527A"
"2115AR117-008","A102966A"
"2115AR117-008","A103296A"
"2115AR117-008","A103958A"
"2115AR117-008","A104877A"
"2115AR117-008","A118173B"
"2115AR117-008","A127343A"
"2115AR117-008","A127958B"
"2115AR117-008","A129527A"
"2115AR117-007","A102966A"
"2115AR117-007","A103296A"
"2115AR117-007","A103958A"
"2115AR117-007","A104877A"
"2115AR117-007","A118173B"
"2115AR117-007","A127343A"
"2115AR117-007","A127958B"
"2115AR117-007","A129527A"
"2114AR093-004","A102966A"
"2114AR093-004","A103296A"
"2114AR093-004","A103958A"
"2114AR093-004","A104877A"
"2114AR093-004","A118173B"
"2114AR093-004","A127343A"
"2114AR093-004","A127958B"
"2114AR093-004","A129527A"
"2114AR093-001","A102966A"
"2114AR093-001","A103296A"
"2114AR093-001","A103958A"
"2114AR093-001","A104877A"
"2114AR093-001","A118173B"
"2114AR093-001","A127343A"
"2114AR093-001","A127958B"
"2114AR093-001","A129527A"
"2114AR021-003","A102966A"
"2114AR021-003","A103296A"
"2114AR021-003","A103958A"
"2114AR021-003","A104877A"
"2114AR021-003","A118173B"
"2114AR021-003","A127343A"
"2114AR021-003","A127958B"
"2114AR021-003","A129527A"
"2114AR021-002","A102966A"
"2114AR021-002","A103296A"
"2114AR021-002","A103958A"
"2114AR021-002","A104877A"
"2114AR021-002","A118173B"
"2114AR021-002","A127343A"
"2114AR021-002","A127958B"
"2114AR021-002","A129527A"
"2113AR036-006","A102966A"
"2113AR036-006","A103296A"
"2113AR036-006","A103958A"
"2113AR036-006","A104877A"
"2113AR036-006","A118173B"
"2113AR036-006","A127343A"
"2113AR036-006","A127958B"
"2113AR036-006","A129527A"
"2112AR082-006","A102966A"
"2112AR082-006","A103296A"
"2112AR082-006","A103958A"
"2112AR082-006","A104877A"
"2112AR082-006","A118173B"
"2112AR082-006","A127343A"
"2112AR082-006","A127958B"
"2112AR082-006","A129527A"
"2204AR007-005","A101602A"
"2204AR007-005","A101602B"
"2204AR007-005","A103451A"
"2204AR007-005","A103451D"
"2204AR007-005","A103451F"
"2204AR007-005","A103628A"
"2204AR007-005","A103761D"
"2204AR007-005","A104161C"
"2204AR007-005","A104877A"
"2204AR007-005","A104877C"
"2204AR007-005","A106626A"
"2204AR007-005","A110372A"
"2204AR007-005","A110372B"
"2204AR007-005","A112522A"
"2204AR007-005","A114833A"
"2204AR007-005","A115178B"
