idCamion,idPedido,start_date,end_date,late
AA9001D,2200AR012-001,2022-08-01 07:00:00,2022-08-03 08:00:00,2
A112522A,2111AR111-001,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A110372B,2112AP002-012,2022-08-01 07:00:00,2022-08-01 10:50:14.773964,0
AA9001H,1905AP004-008,2022-08-01 07:00:00,2022-08-01 11:09:49.649282,0
A103451A,2115AR117-015,2022-08-01 07:00:00,2022-08-01 10:38:06.008881,0
AA9001H,2209AR040-008,2022-08-01 11:09:49.649282,2022-08-01 15:34:50.933949,0
A103451F,2107AR108-009,2022-08-02 07:00:00,2022-08-02 09:36:28.780491,0
A115178C,2105AR113-002,2022-08-02 07:00:00,2022-08-02 10:20:39.311573,0
A104161C,2108AR110-010,2022-08-01 07:00:00,2022-08-01 09:20:24.385469,0
A129527A,2110AR008-007,2022-08-01 07:00:00,2022-08-01 10:21:38.613578,0
A110372A,1908AR260-009,2022-08-02 07:00:00,2022-08-02 12:36:50.696189,0
A104877C,2110AR040-001,2022-08-01 07:00:00,2022-08-01 10:45:59.942307,0
A106626A,2208AR164-001,2022-08-01 07:00:00,2022-08-01 11:02:34.791748,0
A104877A,2103AR072-002,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A104161C,2104AR035-012,2022-08-01 09:20:24.385469,2022-08-01 13:58:07.761404,0
A127958B,2103AR038-001,2022-08-02 07:00:00,2022-08-02 12:42:47.152412,0
A103628A,2121AP013-004,2022-08-01 07:00:00,2022-08-01 11:10:43.505824,0
A104877C,2105AR113-001,2022-08-01 10:45:59.942307,2022-08-01 13:04:05.058263,0
A109742A,2014AP010-006,2022-08-01 07:00:00,2022-08-01 10:00:27.282489,0
A114833A,2108AR169-001,2022-08-01 07:00:00,2022-08-01 09:31:28.819904,0
A104161C,1905AP004-009,2022-08-01 13:58:07.761404,2022-08-01 19:27:44.459411,0
A103296A,2202AP001-001,2022-08-01 07:00:00,2022-08-01 12:26:15.951916,0
AA9001D,2208AR102-005,2022-08-04 07:00:00,2022-08-04 11:35:37.565400,0
A104877A,2200AR024-002,2022-08-04 07:00:00,2022-08-04 17:53:46.229948,0
A103628A,2105AR101-005,2022-08-01 11:10:43.505824,2022-08-01 15:35:25.177373,0
A124517A,2108AR252-003,2022-08-01 07:00:00,2022-08-01 10:54:37.140224,0
A125695B,2016AR017-002,2022-08-01 07:00:00,2022-08-01 11:48:33.268886,0
A103296A,1905AP005-005,2022-08-01 12:26:15.951916,2022-08-01 17:03:21.465759,0
A127343A,1907AR340-004,2022-08-01 07:00:00,2022-08-01 12:00:01.322018,0
A104877C,2105AP002-001,2022-08-01 13:04:05.058263,2022-08-03 08:00:00,0
A109742A,1907AR341-004,2022-08-01 10:00:27.282489,2022-08-01 13:41:47.390175,0
A109742A,2202AP001-012,2022-08-01 13:41:47.390175,2022-08-03 20:00:00,0
AA9001B,2001AR037-002,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A103451D,2212AR061-008,2022-08-01 07:00:00,2022-08-01 10:35:43.936940,0
AA9001C,2208AR163-003,2022-08-01 07:00:00,2022-08-01 10:52:57.112609,0
A110372A,2111AR104-004,2022-08-02 12:36:50.696189,2022-08-02 17:19:50.412389,0
A110372B,2001AP001-007,2022-08-01 10:50:14.773964,2022-08-01 18:39:48.345171,0
A107070A,2115AR117-008,2022-08-01 07:00:00,2022-08-01 10:59:19.851364,0
A102966A,2112AR157-001,2022-08-01 07:00:00,2022-08-01 10:45:22.260842,0
A107070A,2117AP040-002,2022-08-01 10:59:19.851364,2022-08-01 14:19:22.309464,0
A124517A,1815AR125-007,2022-08-01 10:54:37.140224,2022-08-01 14:56:13.953472,0
AA9001F,1908AR107-002,2022-08-01 07:00:00,2022-08-01 10:25:20.380049,0
AA9001H,2116AR058-001,2022-08-01 15:34:50.933949,2022-08-01 17:48:22.915494,0
A125695B,2115AR117-018,2022-08-01 11:48:33.268886,2022-08-01 14:47:51.711087,0
A104877A,2005AR130-003,2022-08-05 07:00:00.229948,2022-08-05 11:37:28.898158,0
A103451F,2117AR013-006,2022-08-02 09:36:28.780491,2022-08-04 08:00:00,0
A103451A,2208AR176-001,2022-08-01 10:38:06.008881,2022-08-01 14:47:26.177474,0
AA9001B,2114AR021-003,2022-08-03 08:00:00,2022-08-03 11:09:35.203057,0
A103761D,2116AP011-002,2022-08-02 07:00:00,2022-08-02 11:37:35.945971,0
AA9001F,1803AR007-003,2022-08-01 10:25:20.380049,2022-08-03 08:00:00,0
A121837A,2103AR089-001,2022-08-01 07:00:00,2022-08-01 11:43:41.847361,0
A103451A,2108AR110-007,2022-08-01 14:47:26.177474,2022-08-01 16:47:14.177679,0
A104877C,2010AR086-004,2022-08-03 08:00:00,2022-08-03 11:51:35.779055,0
AA9001F,2108AR199-002,2022-08-03 08:00:00,2022-08-03 10:58:59.310993,0
A101602A,2208AR163-006,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A125695B,1913AP001-003,2022-08-01 14:47:51.711087,2022-08-01 17:07:33.459179,0
AA9001F,2102AR029-002,2022-08-04 07:00:00.310993,2022-08-04 11:40:04.579766,0
A104877A,2115AR138-001,2022-08-05 11:37:28.898158,2022-08-05 14:01:19.745832,1
A120540A,2107AR169-001,2022-08-01 07:00:00,2022-08-01 09:21:44.092467,0
A109742A,1918AR015-004,2022-08-04 07:00:00,2022-08-04 08:56:10.893694,0
