idCamion,idPedido,start_date,end_date,late
A115178B,2208AR128-003,2022-08-01 07:00:00,2022-08-01 10:57:48.796107,0
A114833A,1902AR031-001,2022-08-01 07:00:00,2022-08-01 13:22:09.616142,0
A104877C,2003AP002-001,2022-08-01 07:00:00,2022-08-01 12:20:29.225291,0
A104161C,2201AP001-003,2022-08-01 07:00:00,2022-08-01 12:09:22.954784,0
A109742A,2121AP026-001,2022-08-01 07:00:00,2022-08-01 10:08:08.636292,0
A104877C,2200AR024-013,2022-08-02 07:00:00.225291,2022-08-02 17:53:10.613808,0
A129527A,2202AR011-001,2022-08-01 07:00:00,2022-08-01 11:24:13.556519,0
A118173B,2105AR089-002,2022-08-01 07:00:00,2022-08-01 10:48:26.374603,0
A118173B,2211AR074-001,2022-08-01 10:48:26.374603,2022-08-04 08:00:00,0
A103451A,2103AR060-001,2022-08-01 07:00:00,2022-08-03 08:00:00,0
A110372B,2201AP004-002,2022-08-01 07:00:00,2022-08-01 15:46:59.007042,0
A124517A,2015AP002-003,2022-08-01 07:00:00,2022-08-01 09:44:26.873191,0
AA9001D,2111AR091-002,2022-08-01 07:00:00,2022-08-01 11:45:23.027391,0
A125695B,2208AR163-012,2022-08-01 07:00:00,2022-08-01 10:57:44.334827,0
A104161C,2204AR007-005,2022-08-01 12:09:22.954784,2022-08-01 14:50:18.156012,0
A103958A,2106AP002-001,2022-08-01 07:00:00,2022-08-01 11:15:45.341233,0
A104161C,2112AP002-003,2022-08-01 14:50:18.156012,2022-08-03 08:00:00,0
A118173B,1808AR366-006,2022-08-04 08:00:00,2022-08-04 11:51:06.274250,0
AA9001C,2105AR113-002,2022-08-01 07:00:00,2022-08-01 09:51:56.118975,0
A121837A,2016AR017-002,2022-08-01 07:00:00,2022-08-01 11:02:14.167214,0
A103958A,2117AP033-004,2022-08-01 11:15:45.341233,2022-08-01 16:12:00.859082,0
AA9001D,1917AR144-008,2022-08-01 11:45:23.027391,2022-08-01 16:59:56.235302,0
A125695B,2107AR164-015,2022-08-01 10:57:44.334827,2022-08-01 14:26:23.507067,0
A106626A,2102AR029-002,2022-08-01 07:00:00,2022-08-01 11:34:41.708229,0
A103628A,2112AR178-002,2022-08-01 07:00:00,2022-08-01 10:22:08.180071,0
AA9001F,2202AR010-002,2022-08-01 07:00:00,2022-08-01 12:07:14.424062,0
A121837A,2204AR043-003,2022-08-01 11:02:14.167214,2022-08-03 08:00:00,0
A109742A,2005AR125-001,2022-08-01 10:08:08.636292,2022-08-01 15:07:39.440411,0
A103451A,2107AR108-005,2022-08-03 08:00:00,2022-08-03 12:05:48.757391,0
AA9001D,2108AR132-002,2022-08-01 16:59:56.235302,2022-08-03 14:00:00,0
A124517A,2212AR050-006,2022-08-01 09:44:26.873191,2022-08-01 12:05:54.080401,0
A127343A,2202AP001-016,2022-08-01 07:00:00,2022-08-01 13:50:09.677012,0
A103451A,2200AR023-001,2022-08-04 07:00:00.757391,2022-08-04 17:28:34.702982,2
A115178C,1912AP008-004,2022-08-02 07:00:00,2022-08-02 12:20:52.280380,0
A109742A,2021AR022-003,2022-08-01 15:07:39.440411,2022-08-03 08:00:00,0
A103958A,2113AR062-001,2022-08-01 16:12:00.859082,2022-08-01 19:46:31.890472,0
AA9001D,1907AR256-015,2022-08-04 07:00:00,2022-08-04 10:29:07.597366,0
A118173B,2108AR173-001,2022-08-04 11:51:06.274250,2022-08-04 14:45:10.485209,0
A110372B,2212AP008-015,2022-08-01 15:46:59.007042,2022-08-01 18:52:15.614303,0
A106626A,2107AR164-011,2022-08-01 11:34:41.708229,2022-08-01 14:07:48.293355,0
A103628A,2104AP001-001,2022-08-01 10:22:08.180071,2022-08-01 14:16:29.977645,0
A103628A,2006AP002-006,2022-08-01 14:16:29.977645,2022-08-01 18:16:36.101928,0
A115178C,2104AR035-013,2022-08-02 12:20:52.280380,2022-08-04 14:00:00,0
A103451F,2001AR037-002,2022-08-02 07:00:00,2022-08-04 08:00:00,0
A107070A,2013AP004-002,2022-08-01 07:00:00,2022-08-01 10:45:51.223206,0
A103451A,1905AP005-005,2022-08-06 07:00:00.702982,2022-08-06 11:29:17.503552,1
A101602A,2108AR094-001,2022-08-01 07:00:00,2022-08-01 10:33:12.073916,0
A114833A,2014AP010-006,2022-08-01 13:22:09.616142,2022-08-01 16:45:32.126292,0
A127343A,2021AR117-003,2022-08-01 13:50:09.677012,2022-08-01 18:32:40.036084,0
A114833A,2202AR006-001,2022-08-02 07:00:00.126292,2022-08-02 12:20:14.921852,0
A104877C,2002AP003-002,2022-08-03 07:00:00.613808,2022-08-03 12:48:12.910010,0
A118173B,2110AR040-001,2022-08-04 14:45:10.485209,2022-08-06 08:00:00,4
A103761D,1905AR021-001,2022-08-02 07:00:00,2022-08-02 12:40:14.194082,0
A106626A,2102AR065-001,2022-08-02 07:00:00.293355,2022-08-02 13:55:15.035036,0
A102966A,2107AR125-001,2022-08-01 07:00:00,2022-08-01 11:19:27.269495,0
A118173B,2010AR086-005,2022-08-07 07:00:00,2022-08-07 11:01:25.246066,0
A103958A,2209AR040-010,2022-08-02 07:00:00.890472,2022-08-02 10:37:13.386953,0
A110372B,2107AR164-050,2022-08-02 07:00:00.614303,2022-08-02 10:01:30.371075,0
A115178C,2111AR111-001,2022-08-05 07:00:00,2022-08-07 08:00:00,0
A101602A,1902AR067-005,2022-08-01 10:33:12.073916,2022-08-03 08:00:00,0
A101602B,2107AR100-002,2022-08-01 07:00:00,2022-08-01 11:29:10.844236,0
A124517A,2013AP004-003,2022-08-01 12:05:54.080401,2022-08-01 14:22:27.368108,0
A125695B,2212AP009-005,2022-08-01 14:26:23.507067,2022-08-01 17:39:25.972145,0
A127343A,1907AR341-014,2022-08-02 07:00:00.036084,2022-08-02 12:05:12.690828,0
A121837A,2204AP004-005,2022-08-03 08:00:00,2022-08-03 12:45:52.119957,0
A107070A,2003AR131-001,2022-08-01 10:45:51.223206,2022-08-01 17:38:19.557151,0
A103761D,2204AR020-011,2022-08-02 12:40:14.194082,2022-08-02 17:54:48.540671,0
A104877A,1907AR441-016,2022-08-01 07:00:00,2022-08-01 10:08:14.372246,0
A107070A,1907AR441-028,2022-08-02 07:00:00.557151,2022-08-02 12:11:59.881960,0
A129527A,2014AP010-002,2022-08-01 11:24:13.556519,2022-08-01 15:18:54.298714,0
A103761D,2105AP002-024,2022-08-03 07:00:00.540671,2022-08-03 10:48:15.782484,0
A103628A,2003AR044-001,2022-08-02 07:00:00.101928,2022-08-05 08:00:00,0
A102966A,2105AR101-005,2022-08-01 11:19:27.269495,2022-08-01 15:38:47.724813,0
AA9001B,2108AR212-001,2022-08-01 07:00:00,2022-08-01 09:54:20.700452,0
A104877A,2121AP013-003,2022-08-01 10:08:14.372246,2022-08-01 14:00:13.232137,0
A115178B,2105AP002-015,2022-08-01 10:57:48.796107,2022-08-01 15:02:38.878480,0
A101602B,2204AR020-013,2022-08-01 11:29:10.844236,2022-08-03 08:00:00,0
AA9001C,1803AR007-008,2022-08-01 09:51:56.118975,2022-08-03 08:00:00,0
AA9001C,2105AR100-003,2022-08-03 08:00:00,2022-08-03 12:03:48.230910,1
A129527A,2108AR169-001,2022-08-01 15:18:54.298714,2022-08-01 17:56:31.644546,0
A103628A,1913AP001-003,2022-08-05 08:00:00,2022-08-05 09:50:05.593892,0
A103958A,2116AR049-012,2022-08-02 10:37:13.386953,2022-08-02 13:02:24.896779,0
AA9001F,2105AR104-004,2022-08-01 12:07:14.424062,2022-08-01 16:02:27.444105,0
A115178B,1721AR064-001,2022-08-01 15:02:38.878480,2022-08-01 18:28:14.153401,0
A110372A,2106AR008-006,2022-08-02 07:00:00,2022-08-02 11:34:56.635532,1
AA9001C,2107AR108-002,2022-08-04 07:00:00.230910,2022-08-04 10:41:11.043926,0
A127958B,2121AP007-004,2022-08-02 07:00:00,2022-08-02 10:19:22.074879,0
A115178B,2107AR100-004,2022-08-03 07:00:00.153401,2022-08-03 10:36:34.013398,0
A127343A,1907AR340-004,2022-08-02 12:05:12.690828,2022-08-02 16:42:17.734318,0
A103296A,2102AR034-002,2022-08-01 07:00:00,2022-08-01 13:30:04.238686,0
A107070A,2205AR020-002,2022-08-02 12:11:59.881960,2022-08-05 08:00:00,0
AA9001F,2208AR102-003,2022-08-02 07:00:00.444105,2022-08-02 11:29:17.082973,0
A127343A,2012AR069-003,2022-08-02 16:42:17.734318,2022-08-04 08:00:00,0
A110372A,2003AR010-001,2022-08-02 11:34:56.635532,2022-08-04 08:00:00,0
A104877A,2108AR193-001,2022-08-01 14:00:13.232137,2022-08-01 17:22:50.347385,0
A103761D,2200AR015-001,2022-08-04 07:00:00.782484,2022-08-04 16:39:21.281072,1
A103451F,2006AP002-005,2022-08-05 07:00:00,2022-08-05 12:29:24.853838,0
A114833A,2106AR008-006,2022-08-02 12:20:14.921852,2022-08-02 15:08:17.123764,1
A103958A,2209AR040-008,2022-08-02 13:02:24.896779,2022-08-02 17:42:36.379158,0
A127343A,1905AP004-007,2022-08-05 07:00:00,2022-08-05 12:44:15.565939,0
AA9001F,1901AR032-004,2022-08-03 07:00:00.082973,2022-08-03 15:34:15.752630,0
A102966A,2108AR126-002,2022-08-01 15:38:47.724813,2022-08-03 14:00:00,0
AA9001D,1906AR154-001,2022-08-04 10:29:07.597366,2022-08-06 08:00:00,0
A121837A,2121AP010-005,2022-08-04 07:00:00.119957,2022-08-04 11:09:35.434377,0
A102966A,2114AR093-004,2022-08-04 07:00:00,2022-08-04 10:45:39.192928,0
A120540A,2116AR062-001,2022-08-01 07:00:00,2022-08-01 10:28:50.964733,0
A121837A,2104AR027-003,2022-08-04 11:09:35.434377,2022-08-04 14:18:08.067312,0
A101602A,2111AR104-004,2022-08-04 07:00:00,2022-08-04 12:28:46.954578,0
A109742A,1905AP004-009,2022-08-04 07:00:00,2022-08-04 12:32:42.622662,1
AA9001F,2110AR027-002,2022-08-04 07:00:00.752630,2022-08-04 10:58:01.498810,0
A127343A,1902AR067-006,2022-08-06 07:00:00.565939,2022-08-09 08:00:00,0
AA9001H,2208AR164-001,2022-08-01 07:00:00,2022-08-01 10:43:26.880368,0
A129527A,2105AR090-003,2022-08-01 17:56:31.644546,2022-08-03 14:00:00,2
A107070A,1908AR213-001,2022-08-05 08:00:00,2022-08-05 12:21:24.298066,0
A112522A,2105AP002-021,2022-08-02 07:00:00,2022-08-02 09:25:46.942072,0
A104161C,2013AP004-005,2022-08-05 07:00:00,2022-08-05 10:05:42.780005,4
A101602A,1901AR002-009,2022-08-04 12:28:46.954578,2022-08-04 17:05:20.057855,0
A127958B,2211AR067-003,2022-08-02 10:19:22.074879,2022-08-02 13:29:07.288326,0
A103451F,1905AR164-004,2022-08-05 12:29:24.853838,2022-08-05 18:10:22.929684,0
A110372B,2102AR074-002,2022-08-02 10:01:30.371075,2022-08-02 15:10:36.771809,0
A115178B,2204AR048-001,2022-08-03 10:36:34.013398,2022-08-03 13:31:45.131663,0
AA9001B,2108AR251-001,2022-08-01 09:54:20.700452,2022-08-01 12:45:26.300748,0
A127958B,2107AR164-047,2022-08-02 13:29:07.288326,2022-08-02 17:06:56.979185,0
A101602B,1905AR164-003,2022-08-03 08:00:00,2022-08-03 11:47:49.679054,0
A114833A,1921AR011-002,2022-08-02 15:08:17.123764,2022-08-02 18:43:28.301490,0
A101602A,1815AR125-007,2022-08-04 17:05:20.057855,2022-08-04 19:46:14.244509,0
A103628A,2118AP002-009,2022-08-05 09:50:05.593892,2022-08-05 13:15:21.385253,0
A127343A,2014AP010-005,2022-08-09 08:00:00,2022-08-09 11:16:10.997488,0
A104877A,2115AR117-007,2022-08-01 17:22:50.347385,2022-08-03 08:00:00,0
A121837A,2107AR164-024,2022-08-04 14:18:08.067312,2022-08-04 16:25:39.527093,0
A103296A,2211AR062-002,2022-08-01 13:30:04.238686,2022-08-01 17:06:41.647262,0
