"idCamion","descanso"
"A101602A","8/5/2022"
"A101602B","8/2/2022"
"A102966A","8/5/2022"
"A103296A","8/5/2022"
"A103451A","8/5/2022"
"A103451D","8/4/2022"
"A103451F","8/1/2022"
"A103628A","8/4/2022"
"A103761D","8/1/2022"
"A103958A","8/4/2022"
"A104161C","8/4/2022"
"A104877A","8/2/2022"
"A104877C","8/5/2022"
"A106626A","8/5/2022"
"A107070A","8/4/2022"
"A109742A","8/2/2022"
"A110372A","8/1/2022"
"A110372B","8/5/2022"
"A112522A","8/1/2022"
"A114833A","8/4/2022"
"A115178B","8/2/2022"
"A115178C","8/1/2022"
"A118173B","8/3/2022"
"A120540A","8/2/2022"
"A121837A","8/5/2022"
"A124517A","8/4/2022"
"A125695B","8/3/2022"
"A127343A","8/3/2022"
"A127958B","8/1/2022"
"A129527A","8/4/2022"
"AA9001B","8/2/2022"
"AA9001C","8/5/2022"
"AA9001D","8/5/2022"
"AA9001F","8/5/2022"
"AA9001H","8/2/2022"
"A101602A","8/9/2022"
"A101602B","8/9/2022"
"A102966A","8/9/2022"
"A103296A","8/7/2022"
"A103451A","8/8/2022"
"A103451D","8/7/2022"
"A103451F","8/9/2022"
"A103628A","8/9/2022"
"A103761D","8/7/2022"
"A103958A","8/9/2022"
"A104161C","8/8/2022"
"A104877A","8/9/2022"
"A104877C","8/7/2022"
"A106626A","8/8/2022"
"A107070A","8/7/2022"
"A109742A","8/9/2022"
"A110372A","8/8/2022"
"A110372B","8/9/2022"
"A112522A","8/9/2022"
"A114833A","8/7/2022"
"A115178B","8/8/2022"
"A115178C","8/9/2022"
"A118173B","8/9/2022"
"A120540A","8/9/2022"
"A121837A","8/7/2022"
"A124517A","8/8/2022"
"A125695B","8/8/2022"
"A127343A","8/8/2022"
"A127958B","8/8/2022"
"A129527A","8/9/2022"
"AA9001B","8/7/2022"
"AA9001C","8/9/2022"
"AA9001D","8/9/2022"
"AA9001F","8/8/2022"
"AA9001H","8/9/2022"
"A101602A","8/12/2022"
"A101602B","8/11/2022"
"A102966A","8/12/2022"
"A103296A","8/12/2022"
"A103451A","8/12/2022"
"A103451D","8/11/2022"
"A103451F","8/12/2022"
"A103628A","8/12/2022"
"A103761D","8/12/2022"
"A103958A","8/11/2022"
"A104161C","8/12/2022"
"A104877A","8/12/2022"
"A104877C","8/12/2022"
"A106626A","8/12/2022"
"A107070A","8/11/2022"
"A109742A","8/12/2022"
"A110372A","8/12/2022"
"A110372B","8/12/2022"
"A112522A","8/11/2022"
"A114833A","8/11/2022"
"A115178B","8/11/2022"
"A115178C","8/11/2022"
"A118173B","8/11/2022"
"A120540A","8/12/2022"
"A121837A","8/11/2022"
"A124517A","8/12/2022"
"A125695B","8/11/2022"
"A127343A","8/11/2022"
"A127958B","8/12/2022"
"A129527A","8/12/2022"
"AA9001B","8/11/2022"
"AA9001C","8/12/2022"
"AA9001D","8/12/2022"
"AA9001F","8/12/2022"
"AA9001H","8/12/2022"
"A101602A","8/15/2022"
"A101602B","8/14/2022"
"A102966A","8/15/2022"
"A103296A","8/16/2022"
"A103451A","8/16/2022"
"A103451D","8/14/2022"
"A103451F","8/16/2022"
"A103628A","8/14/2022"
"A103761D","8/14/2022"
"A103958A","8/16/2022"
"A104161C","8/15/2022"
"A104877A","8/15/2022"
"A104877C","8/14/2022"
"A106626A","8/14/2022"
"A107070A","8/14/2022"
"A109742A","8/15/2022"
"A110372A","8/15/2022"
"A110372B","8/15/2022"
"A112522A","8/14/2022"
"A114833A","8/15/2022"
"A115178B","8/15/2022"
"A115178C","8/14/2022"
"A118173B","8/15/2022"
"A120540A","8/16/2022"
"A121837A","8/15/2022"
"A124517A","8/14/2022"
"A125695B","8/16/2022"
"A127343A","8/15/2022"
"A127958B","8/14/2022"
