"idPedido","prioridad","lonCarga","latCarga","categoria","lonDescarga","latDescarga","startSlot","endSlot","lastDate"
"2115AR117-007",0,-8.52653,42.57512,"M3",-8.47199,42.26666,"08:00","12:00","2022-08-25"
"2114AR021-002",0,-8.84472,42.76854,"M3",-7.91436,42.38322,"08:00","12:00","2022-08-06"
"2008AR042-003",0,-8.00542,43.50797,"M2",-8.14467,43.05153,"08:00","12:00","2022-09-07"
"2001AP001-003",0,-4.94658,43.43565,"M2",-8.59443,42.68151,"08:00","12:00","2022-08-22"
"1921AR077-003",0,-7.1897,43.24357,"M2",-8.59709,42.68085,"08:00","12:00","2022-09-07"
"2212AR049-001",0,-8.74928,43.02438,"M1",-8.86074,43.03215,"08:00","12:00","2022-08-01"
"2108AR188-001",0,-7.91436,43.62139,"M3",-7.33765,43.59884,"08:00","12:00","2022-09-08"
"2016AR017-002",0,-8.58659,42.39357,"M2",-8.21145,43.19484,"08:00","12:00","2022-08-11"
"1918AR015-001",0,-8.17621,42.54966,"M3",-8.04117,42.41022,"08:00","12:00","2022-08-12"
"2117AR013-006",0,-8.53632,42.12827,"M2",-7.79058,43.63333,"08:00","12:00","2022-08-13"
"2108AR197-001",0,-8.01025,43.61348,"M3",-7.30697,43.44073,"08:00","12:00","2022-08-30"
"1902AR067-006",0,-5.99309,43.33154,"M2",-8.54191,42.10402,"08:00","12:00","2022-08-18"
"2104AR035-026",0,-7.0035,43.49721,"M3",-8.75914,42.43177,"08:00","12:00","2022-08-01"
"2107AR100-006",0,-7.68971,43.55309,"M3",-8.3993,43.24054,"08:00","12:00","2022-08-27"
"2116AR049-009",0,-8.79311,42.29475,"M3",-8.53113,42.1398,"08:00","12:00","2022-08-23"
"2203AR016-005",0,-6.14761,43.4942,"M1",-7.56842,42.09604,"08:00","12:00","2022-08-16"
"2105AP002-001",0,-7.19936,43.37593,"M1",-7.17513,42.87018,"08:00","12:00","2022-08-24"
"2107AR198-001",0,-7.5728,43.60994,"M3",-8.01409,43.63141,"08:00","12:00","2022-09-14"
"2208AR163-003",0,-7.81886,43.62827,"M1",-8.69838,42.32399,"08:00","12:00","2022-08-18"
"2112AR157-001",0,-8.8224,43.17382,"M3",-7.06064,43.00154,"08:00","12:00","2022-08-06"
"2200AR024-003",0,-3.2474,43.39215,"M2",-8.00905,43.62614,"08:00","12:00","2022-08-26"
"2211AR074-001",0,-8.56589,43.16894,"M1",-8.56684,42.98658,"08:00","12:00","2022-09-11"
"1806AR041-001",0,-7.39502,43.50919,"M2",-7.25599,43.05194,"08:00","12:00","2022-09-01"
"2104AR048-004",0,-7.10093,43.40216,"M3",-8.56323,42.98977,"08:00","12:00","2022-09-10"
"2017AR038-001",0,-8.33224,42.24906,"M3",-8.74439,42.11188,"08:00","12:00","2022-08-14"
"1905AR021-005",0,-7.05558,43.50188,"M2",-8.4504,42.40371,"08:00","12:00","2022-08-14"
"2108AR254-001",0,-7.80045,43.64795,"M3",-7.08791,43.40538,"08:00","12:00","2022-08-20"
"2003AP002-003",0,-6.16189,43.47454,"M2",-8.87544,42.9246,"08:00","12:00","2022-08-04"
"2107AR164-023",0,-7.71092,43.50583,"M3",-7.93175,43.58362,"08:00","12:00","2022-08-30"
"2212AP009-006",0,-8.93712,43.24733,"M1",-8.56519,42.96731,"08:00","12:00","2022-09-05"
"1905AR164-003",0,-7.05594,43.50216,"M2",-8.54265,42.42351,"08:00","12:00","2022-09-04"
"2107AR100-002",0,-7.68838,43.55258,"M3",-8.49399,43.22317,"08:00","12:00","2022-08-10"
"2212AP009-010",0,-8.93672,43.24814,"M1",-8.56365,42.9671,"08:00","12:00","2022-08-21"
