idCamion,idPedido,start_date,end_date,late
A103451C,1906AR154-001,2022-08-01 07:00:00,2022-08-01 10:39:27.239349,0
AA9001G,2108AR111-002,2022-08-01 07:00:00,2022-08-01 09:20:57.061539,0
A104403D,2014AP001-013,2022-08-02 07:00:00,2022-08-02 11:00:40.184093,0
A104403D,2211AP002-001,2022-08-02 11:00:40.184093,2022-08-02 12:59:50.645923,0
A104403D,2113AP007-003,2022-08-02 12:59:50.645923,2022-08-02 16:17:28.204048,0
A104403D,2210AR048-001,2022-08-02 16:17:28.204048,2022-08-04 08:00:00,0
A109742B,2009AR054-002,2022-08-01 07:00:00,2022-08-01 10:47:09.622128,0
A104403D,2212AR041-001,2022-08-04 08:00:00,2022-08-04 10:35:29.565527,0
A109742B,2115AP011-001,2022-08-01 10:47:09.622128,2022-08-01 14:46:06.184338,0
A104403D,2209AR040-005,2022-08-05 07:00:00.565527,2022-08-05 10:49:12.531975,0
A104403D,1913AP001-004,2022-08-05 10:49:12.531975,2022-08-05 13:03:06.818758,0
A104403D,2212AR050-002,2022-08-05 13:03:06.818758,2022-08-05 15:21:22.370816,0
A104403D,2014AP010-008,2022-08-05 15:21:22.370816,2022-08-07 08:00:00,0
A104403D,2211AR060-001,2022-08-07 08:00:00,2022-08-07 10:19:58.779003,0
A113734C,2110AR056-006,2022-08-01 07:00:00,2022-08-01 10:13:18.128668,0
A104403D,2113AP011-002,2022-08-07 10:19:58.779003,2022-08-07 13:20:22.953955,0
A104403D,1907AR341-003,2022-08-09 07:00:00.953955,2022-08-09 10:28:15.750364,0
A109742B,2209AR040-008,2022-08-01 14:46:06.184338,2022-08-01 18:20:30.285540,0
A121944A,2114AR090-003,2022-08-01 07:00:00,2022-08-01 09:34:17.676831,0
A121944A,2115AR117-012,2022-08-01 09:34:17.676831,2022-08-01 12:26:31.972192,0
A121944A,2115AR054-005,2022-08-01 12:26:31.972192,2022-08-01 15:08:52.733847,0
A121944A,2116AR059-007,2022-08-01 15:08:52.733847,2022-08-01 17:24:31.103790,0
A121944A,2116AR058-001,2022-08-01 17:24:31.103790,2022-08-03 14:00:00,0
A113734C,2115AP015-003,2022-08-01 10:13:18.128668,2022-08-01 14:13:39.937644,0
A103451C,2108AR115-002,2022-08-01 10:39:27.239349,2022-08-03 08:00:00,0
A103451C,2108AR089-008,2022-08-03 08:00:00,2022-08-03 09:37:41.048486,0
A121944A,2014AP001-013,2022-08-03 14:00:00,2022-08-03 16:58:40.592370,0
