"idCamion","descanso"
"A101602B","8/2/2022"
"A102879B","8/2/2022"
"A103451E","8/4/2022"
"A113734C","8/2/2022"
"A114833A","8/4/2022"
"A121837A","8/5/2022"
"A123070B","8/1/2022"
"A125990A","8/1/2022"
"A127898A","8/3/2022"
"AA9001F","8/5/2022"
"A101602B","8/9/2022"
"A102879B","8/7/2022"
"A103451E","8/7/2022"
"A113734C","8/9/2022"
"A114833A","8/7/2022"
"A121837A","8/7/2022"
"A123070B","8/7/2022"
"A125990A","8/7/2022"
"A127898A","8/7/2022"
"AA9001F","8/8/2022"
"A101602B","8/11/2022"
"A102879B","8/12/2022"
"A103451E","8/11/2022"
"A113734C","8/12/2022"
"A114833A","8/11/2022"
"A121837A","8/11/2022"
"A123070B","8/12/2022"
"A125990A","8/12/2022"
"A127898A","8/11/2022"
"AA9001F","8/12/2022"
"A101602B","8/14/2022"
"A102879B","8/14/2022"
"A103451E","8/15/2022"
"A113734C","8/14/2022"
"A114833A","8/15/2022"
"A121837A","8/15/2022"
"A123070B","8/14/2022"
"A125990A","8/14/2022"
"A127898A","8/14/2022"
"AA9001F","8/14/2022"
"A101602B","8/19/2022"
"A102879B","8/19/2022"
"A103451E","8/19/2022"
"A113734C","8/18/2022"
"A114833A","8/18/2022"
"A121837A","8/18/2022"
"A123070B","8/18/2022"
"A125990A","8/19/2022"
"A127898A","8/19/2022"
"AA9001F","8/18/2022"
"A101602B","8/22/2022"
"A102879B","8/23/2022"
"A103451E","8/22/2022"
"A113734C","8/23/2022"
"A114833A","8/21/2022"
"A121837A","8/21/2022"
"A123070B","8/22/2022"
"A125990A","8/23/2022"
"A127898A","8/22/2022"
"AA9001F","8/21/2022"
"A101602B","8/26/2022"
"A102879B","8/26/2022"
"A103451E","8/26/2022"
"A113734C","8/26/2022"
"A114833A","8/26/2022"
"A121837A","8/25/2022"
"A123070B","8/26/2022"
"A125990A","8/25/2022"
"A127898A","8/25/2022"
"AA9001F","8/25/2022"
"A101602B","8/28/2022"
"A102879B","8/28/2022"
"A103451E","8/28/2022"
"A113734C","8/28/2022"
"A114833A","8/29/2022"
"A121837A","8/28/2022"
"A123070B","8/30/2022"
"A125990A","8/28/2022"
"A127898A","8/29/2022"
"AA9001F","8/30/2022"
"A101602B","9/1/2022"
"A102879B","9/2/2022"
"A103451E","9/2/2022"
"A113734C","9/1/2022"
"A114833A","9/1/2022"
"A121837A","9/2/2022"
"A123070B","9/2/2022"
"A125990A","9/2/2022"
"A127898A","9/1/2022"
"AA9001F","9/2/2022"
"A101602B","9/6/2022"
"A102879B","9/4/2022"
"A103451E","9/5/2022"
"A113734C","9/5/2022"
"A114833A","9/5/2022"
"A121837A","9/5/2022"
"A123070B","9/6/2022"
"A125990A","9/4/2022"
"A127898A","9/6/2022"
"AA9001F","9/6/2022"
