"idCamion","lonBase","latBase"
"A103296A",-7.99496,43.62384
"A103304A",-8.77787,43.276
"A103451A",-7.48333,43.36666
"A103451C",-7.29789,43.4711
"A103451D",-7.29789,43.4711
"A103652A",-7.19459,43.44833
"A103761A",-9.0083,43.03159
"A103958A",-8.81381,42.51785
"A104096A",-8.56441,42.3221
"A104403D",-7.75942,43.65702
"A104715C",-7.44769,43.68209
"A104877C",-7.48777,43.61793
"A106022A",-6.86451,43.46003
"A106058E",-8.44685,42.85761
"A119269A",-5.46179,43.46028
"A120540A",-7.25444,43.35972
"A121944A",-8.78186,42.77534
"A123070A",-7.38961,43.10216
"A125695C",-7.93606,43.16627
"A140758A",-7.85194,43.68634
