"idPedido","idCamion"
"2116AR049-008","A103296A"
"2116AR049-008","A103958A"
"2116AR049-008","A104403D"
"2116AR049-008","A140758A"
"2114AR090-005","A103296A"
"2114AR090-005","A103958A"
"2114AR090-005","A104403D"
"2114AR090-005","A140758A"
"2114AR021-003","A103296A"
"2114AR021-003","A103958A"
"2114AR021-003","A104403D"
"2114AR021-003","A140758A"
"2007AR327-002","A103304A"
"2007AR327-002","A103451A"
"2007AR327-002","A103451C"
"2007AR327-002","A103451D"
"2007AR327-002","A103652A"
"2007AR327-002","A103761A"
"2007AR327-002","A104096A"
"2007AR327-002","A104715C"
"2007AR327-002","A104877C"
"2007AR327-002","A106022A"
"2007AR327-002","A106058E"
"2007AR327-002","A120540A"
"2007AR327-002","A121944A"
"2007AR327-002","A123070A"
"2208AR164-003","A103451A"
"2208AR164-003","A103451C"
"2208AR164-003","A103451D"
"2208AR164-003","A103761A"
"2208AR164-003","A104096A"
"2208AR164-003","A104715C"
"2208AR164-003","A104877C"
"2208AR164-003","A106058E"
"2208AR164-003","A119269A"
"2208AR164-003","A120540A"
"2208AR164-003","A121944A"
"2208AR164-003","A125695C"
"2208AR164-001","A103451A"
"2208AR164-001","A103451C"
"2208AR164-001","A103451D"
"2208AR164-001","A103761A"
"2208AR164-001","A104096A"
"2208AR164-001","A104715C"
"2208AR164-001","A104877C"
"2208AR164-001","A106058E"
"2208AR164-001","A119269A"
"2208AR164-001","A120540A"
"2208AR164-001","A121944A"
"2208AR164-001","A125695C"
"2121AP010-004","A103451A"
"2121AP010-004","A103451C"
"2121AP010-004","A103451D"
"2121AP010-004","A103761A"
"2121AP010-004","A104096A"
"2121AP010-004","A104715C"
"2121AP010-004","A104877C"
"2121AP010-004","A106058E"
"2121AP010-004","A119269A"
"2121AP010-004","A120540A"
"2121AP010-004","A121944A"
"2121AP010-004","A125695C"
"2117AR029-001","A103451A"
"2117AR029-001","A103451C"
"2117AR029-001","A103451D"
"2117AR029-001","A103761A"
"2117AR029-001","A104096A"
"2117AR029-001","A104715C"
"2117AR029-001","A104877C"
"2117AR029-001","A106058E"
"2117AR029-001","A119269A"
"2117AR029-001","A120540A"
"2117AR029-001","A121944A"
"2117AR029-001","A125695C"
"1905AR202-001","A103304A"
"1905AR202-001","A103451A"
"1905AR202-001","A103451C"
"1905AR202-001","A103451D"
"1905AR202-001","A103652A"
"1905AR202-001","A103761A"
"1905AR202-001","A104096A"
"1905AR202-001","A104715C"
"1905AR202-001","A104877C"
"1905AR202-001","A106022A"
"1905AR202-001","A106058E"
"1905AR202-001","A120540A"
"1905AR202-001","A121944A"
"1905AR202-001","A123070A"
"2108AR182-001","A103296A"
"2108AR182-001","A103958A"
"2108AR182-001","A104403D"
"2108AR182-001","A140758A"
"2115AP011-001","A103304A"
"2115AP011-001","A103451A"
"2115AP011-001","A103451C"
"2115AP011-001","A103451D"
"2115AP011-001","A103652A"
"2115AP011-001","A103761A"
"2115AP011-001","A104096A"
"2115AP011-001","A104715C"
"2115AP011-001","A104877C"
"2115AP011-001","A106022A"
"2115AP011-001","A106058E"
"2115AP011-001","A120540A"
"2115AP011-001","A121944A"
"2115AP011-001","A123070A"
"2203AR016-003","A103451A"
"2203AR016-003","A103451C"
"2203AR016-003","A103451D"
"2203AR016-003","A103761A"
"2203AR016-003","A104096A"
"2203AR016-003","A104715C"
"2203AR016-003","A104877C"
"2203AR016-003","A106058E"
"2203AR016-003","A119269A"
"2203AR016-003","A120540A"
"2203AR016-003","A121944A"
"2203AR016-003","A125695C"
"2108AR089-008","A103296A"
"2108AR089-008","A103958A"
"2108AR089-008","A104403D"
"2108AR089-008","A140758A"
"2003AR131-002","A103296A"
"2003AR131-002","A103958A"
"2104AR035-021","A103296A"
"2104AR035-021","A103958A"
"2104AR035-021","A104403D"
"2104AR035-021","A140758A"
"2211AP002-001","A103451A"
"2211AP002-001","A103451C"
"2211AP002-001","A103451D"
"2211AP002-001","A103761A"
"2211AP002-001","A104096A"
"2211AP002-001","A104715C"
"2211AP002-001","A104877C"
"2211AP002-001","A106058E"
"2211AP002-001","A119269A"
"2211AP002-001","A120540A"
"2211AP002-001","A121944A"
"2211AP002-001","A125695C"
"2002AR056-001","A103304A"
"2002AR056-001","A103451A"
"2002AR056-001","A103451C"
"2002AR056-001","A103451D"
"2002AR056-001","A103652A"
"2002AR056-001","A103761A"
"2002AR056-001","A104096A"
"2002AR056-001","A104715C"
"2002AR056-001","A104877C"
"2002AR056-001","A106022A"
"2002AR056-001","A106058E"
"2002AR056-001","A120540A"
"2002AR056-001","A121944A"
"2002AR056-001","A123070A"
"2117AP033-009","A103304A"
"2117AP033-009","A103451A"
"2117AP033-009","A103451C"
"2117AP033-009","A103451D"
"2117AP033-009","A103652A"
"2117AP033-009","A103761A"
"2117AP033-009","A104096A"
"2117AP033-009","A104715C"
"2117AP033-009","A104877C"
"2117AP033-009","A106022A"
"2117AP033-009","A106058E"
"2117AP033-009","A120540A"
"2117AP033-009","A121944A"
"2117AP033-009","A123070A"
"2014AP010-008","A103304A"
"2014AP010-008","A103451A"
"2014AP010-008","A103451C"
"2014AP010-008","A103451D"
"2014AP010-008","A103652A"
"2014AP010-008","A103761A"
"2014AP010-008","A104096A"
"2014AP010-008","A104715C"
"2014AP010-008","A104877C"
"2014AP010-008","A106022A"
"2014AP010-008","A106058E"
"2014AP010-008","A120540A"
"2014AP010-008","A121944A"
"2014AP010-008","A123070A"
"2116AR058-001","A103296A"
"2116AR058-001","A103958A"
"2107AR164-067","A103296A"
"2107AR164-067","A103958A"
"2107AR164-067","A104403D"
"2107AR164-067","A140758A"
"2212AR050-002","A103451A"
"2212AR050-002","A103451C"
"2212AR050-002","A103451D"
"2212AR050-002","A103761A"
"2212AR050-002","A104096A"
"2212AR050-002","A104715C"
"2212AR050-002","A104877C"
"2212AR050-002","A106058E"
"2212AR050-002","A119269A"
"2212AR050-002","A120540A"
"2212AR050-002","A121944A"
"2212AR050-002","A125695C"
"2107AR164-054","A103296A"
"2107AR164-054","A103958A"
"2107AR164-054","A104403D"
"2107AR164-054","A140758A"
"1902AR067-002","A103304A"
"1902AR067-002","A103451A"
"1902AR067-002","A103451C"
"1902AR067-002","A103451D"
"1902AR067-002","A103652A"
"1902AR067-002","A103761A"
"1902AR067-002","A104096A"
"1902AR067-002","A104715C"
"1902AR067-002","A104877C"
"1902AR067-002","A106022A"
"1902AR067-002","A106058E"
"1902AR067-002","A120540A"
"1902AR067-002","A121944A"
"1902AR067-002","A123070A"
"2209AR049-005","A103451A"
"2209AR049-005","A103451C"
"2209AR049-005","A103451D"
"2209AR049-005","A103761A"
"2209AR049-005","A104096A"
"2209AR049-005","A104715C"
"2209AR049-005","A104877C"
"2209AR049-005","A106058E"
"2209AR049-005","A119269A"
"2209AR049-005","A120540A"
"2209AR049-005","A121944A"
"2209AR049-005","A125695C"
"1903AR141-002","A103304A"
"1903AR141-002","A103451A"
"1903AR141-002","A103451C"
"1903AR141-002","A103451D"
"1903AR141-002","A103652A"
"1903AR141-002","A103761A"
"1903AR141-002","A104096A"
"1903AR141-002","A104715C"
"1903AR141-002","A104877C"
"1903AR141-002","A106022A"
"1903AR141-002","A106058E"
"1903AR141-002","A120540A"
"1903AR141-002","A121944A"
"1903AR141-002","A123070A"
"2202AP001-013","A103451A"
"2202AP001-013","A103451C"
"2202AP001-013","A103451D"
"2202AP001-013","A103761A"
"2202AP001-013","A104096A"
"2202AP001-013","A104715C"
"2202AP001-013","A104877C"
"2202AP001-013","A106058E"
"2202AP001-013","A119269A"
"2202AP001-013","A120540A"
"2202AP001-013","A121944A"
"2202AP001-013","A125695C"
"2107AR118-004","A103296A"
"2107AR118-004","A103958A"
"2107AR118-004","A104403D"
"2107AR118-004","A140758A"
"2115AR054-005","A103296A"
"2115AR054-005","A103958A"
"2115AR054-005","A104403D"
"2115AR054-005","A140758A"
"2116AR049-013","A103296A"
"2116AR049-013","A103958A"
"2116AR049-013","A104403D"
"2116AR049-013","A140758A"
"2118AP002-009","A103451A"
"2118AP002-009","A103451C"
"2118AP002-009","A103451D"
"2118AP002-009","A103761A"
"2118AP002-009","A104096A"
"2118AP002-009","A104715C"
"2118AP002-009","A104877C"
"2118AP002-009","A106058E"
"2118AP002-009","A119269A"
"2118AP002-009","A120540A"
"2118AP002-009","A121944A"
"2118AP002-009","A125695C"
"1905AP005-004","A103304A"
"1905AP005-004","A103451A"
"1905AP005-004","A103451C"
"1905AP005-004","A103451D"
"1905AP005-004","A103652A"
"1905AP005-004","A103761A"
"1905AP005-004","A104096A"
"1905AP005-004","A104715C"
"1905AP005-004","A104877C"
"1905AP005-004","A106022A"
"1905AP005-004","A106058E"
"1905AP005-004","A120540A"
"1905AP005-004","A121944A"
"1905AP005-004","A123070A"
"2116AR059-007","A103296A"
"2116AR059-007","A103958A"
"2116AR059-007","A104403D"
"2116AR059-007","A140758A"
"2114AR090-003","A103296A"
"2114AR090-003","A103958A"
"2114AR090-003","A104403D"
"2114AR090-003","A140758A"
"1905AR021-005","A103304A"
"1905AR021-005","A103451A"
"1905AR021-005","A103451C"
"1905AR021-005","A103451D"
"1905AR021-005","A103652A"
"1905AR021-005","A103761A"
"1905AR021-005","A104096A"
"1905AR021-005","A104715C"
"1905AR021-005","A104877C"
"1905AR021-005","A106022A"
"1905AR021-005","A106058E"
"1905AR021-005","A120540A"
"1905AR021-005","A121944A"
"1905AR021-005","A123070A"
"2003AP002-003","A103304A"
"2003AP002-003","A103451A"
"2003AP002-003","A103451C"
"2003AP002-003","A103451D"
"2003AP002-003","A103652A"
"2003AP002-003","A103761A"
"2003AP002-003","A104096A"
"2003AP002-003","A104715C"
"2003AP002-003","A104877C"
"2003AP002-003","A106022A"
"2003AP002-003","A106058E"
"2003AP002-003","A120540A"
"2003AP002-003","A121944A"
"2003AP002-003","A123070A"
"2003AP002-002","A103304A"
"2003AP002-002","A103451A"
"2003AP002-002","A103451C"
"2003AP002-002","A103451D"
"2003AP002-002","A103652A"
"2003AP002-002","A103761A"
"2003AP002-002","A104096A"
"2003AP002-002","A104715C"
"2003AP002-002","A104877C"
"2003AP002-002","A106022A"
"2003AP002-002","A106058E"
"2003AP002-002","A120540A"
"2003AP002-002","A121944A"
"2003AP002-002","A123070A"
"1902AR067-004","A103304A"
"1902AR067-004","A103451A"
"1902AR067-004","A103451C"
"1902AR067-004","A103451D"
"1902AR067-004","A103652A"
"1902AR067-004","A103761A"
"1902AR067-004","A104096A"
"1902AR067-004","A104715C"
"1902AR067-004","A104877C"
"1902AR067-004","A106022A"
"1902AR067-004","A106058E"
"1902AR067-004","A120540A"
"1902AR067-004","A121944A"
"1902AR067-004","A123070A"
"2113AP011-002","A103451A"
"2113AP011-002","A103451C"
"2113AP011-002","A103451D"
"2113AP011-002","A103761A"
"2113AP011-002","A104096A"
"2113AP011-002","A104715C"
"2113AP011-002","A104877C"
"2113AP011-002","A106058E"
"2113AP011-002","A119269A"
"2113AP011-002","A120540A"
"2113AP011-002","A121944A"
"2113AP011-002","A125695C"
"2005AR124-004","A103304A"
"2005AR124-004","A103451A"
"2005AR124-004","A103451C"
"2005AR124-004","A103451D"
"2005AR124-004","A103652A"
"2005AR124-004","A103761A"
"2005AR124-004","A104096A"
"2005AR124-004","A104715C"
"2005AR124-004","A104877C"
"2005AR124-004","A106022A"
"2005AR124-004","A106058E"
"2005AR124-004","A120540A"
"2005AR124-004","A121944A"
"2005AR124-004","A123070A"
"2203AZ013-003","A103304A"
"2203AZ013-003","A103451A"
"2203AZ013-003","A103451C"
"2203AZ013-003","A103451D"
"2203AZ013-003","A103652A"
"2203AZ013-003","A103761A"
"2203AZ013-003","A104096A"
"2203AZ013-003","A104715C"
"2203AZ013-003","A104877C"
"2203AZ013-003","A106022A"
"2203AZ013-003","A106058E"
"2203AZ013-003","A120540A"
"2203AZ013-003","A121944A"
"2203AZ013-003","A123070A"
"2208AR163-013","A103451A"
"2208AR163-013","A103451C"
"2208AR163-013","A103451D"
"2208AR163-013","A103761A"
"2208AR163-013","A104096A"
"2208AR163-013","A104715C"
"2208AR163-013","A104877C"
"2208AR163-013","A106058E"
"2208AR163-013","A119269A"
"2208AR163-013","A120540A"
"2208AR163-013","A121944A"
"2208AR163-013","A125695C"
"2209AR040-008","A103451A"
"2209AR040-008","A103451C"
"2209AR040-008","A103451D"
"2209AR040-008","A103761A"
"2209AR040-008","A104096A"
"2209AR040-008","A104715C"
"2209AR040-008","A104877C"
"2209AR040-008","A106058E"
"2209AR040-008","A119269A"
"2209AR040-008","A120540A"
"2209AR040-008","A121944A"
"2209AR040-008","A125695C"
"2209AR040-005","A103451A"
"2209AR040-005","A103451C"
"2209AR040-005","A103451D"
"2209AR040-005","A103761A"
"2209AR040-005","A104096A"
"2209AR040-005","A104715C"
"2209AR040-005","A104877C"
"2209AR040-005","A106058E"
"2209AR040-005","A119269A"
"2209AR040-005","A120540A"
"2209AR040-005","A121944A"
"2209AR040-005","A125695C"
"2006AP005-001","A103304A"
"2006AP005-001","A103451A"
"2006AP005-001","A103451C"
"2006AP005-001","A103451D"
"2006AP005-001","A103652A"
"2006AP005-001","A103761A"
"2006AP005-001","A104096A"
"2006AP005-001","A104715C"
"2006AP005-001","A104877C"
"2006AP005-001","A106022A"
"2006AP005-001","A106058E"
"2006AP005-001","A120540A"
"2006AP005-001","A121944A"
"2006AP005-001","A123070A"
"2210AR048-001","A103451A"
"2210AR048-001","A103451C"
"2210AR048-001","A103451D"
"2210AR048-001","A103761A"
"2210AR048-001","A104096A"
"2210AR048-001","A104715C"
"2210AR048-001","A104877C"
"2210AR048-001","A106058E"
"2210AR048-001","A119269A"
"2210AR048-001","A120540A"
"2210AR048-001","A121944A"
"2210AR048-001","A125695C"
"2104AR040-002","A103296A"
"2104AR040-002","A103958A"
"2104AR040-002","A104403D"
"2104AR040-002","A140758A"
"1901AR013-003","A103304A"
"1901AR013-003","A103451A"
"1901AR013-003","A103451C"
"1901AR013-003","A103451D"
"1901AR013-003","A103652A"
"1901AR013-003","A103761A"
"1901AR013-003","A104096A"
"1901AR013-003","A104715C"
"1901AR013-003","A104877C"
"1901AR013-003","A106022A"
"1901AR013-003","A106058E"
"1901AR013-003","A120540A"
"1901AR013-003","A121944A"
"1901AR013-003","A123070A"
"2006AP004-001","A103304A"
"2006AP004-001","A103451A"
"2006AP004-001","A103451C"
"2006AP004-001","A103451D"
"2006AP004-001","A103652A"
"2006AP004-001","A103761A"
"2006AP004-001","A104096A"
"2006AP004-001","A104715C"
"2006AP004-001","A104877C"
"2006AP004-001","A106022A"
"2006AP004-001","A106058E"
"2006AP004-001","A120540A"
"2006AP004-001","A121944A"
"2006AP004-001","A123070A"
"2108AR115-002","A103296A"
"2108AR115-002","A103958A"
"2108AR115-002","A104403D"
"2108AR115-002","A140758A"
"2102AR027-006","A103304A"
"2102AR027-006","A103451A"
"2102AR027-006","A103451C"
"2102AR027-006","A103451D"
"2102AR027-006","A103652A"
"2102AR027-006","A103761A"
"2102AR027-006","A104096A"
"2102AR027-006","A104715C"
"2102AR027-006","A104877C"
"2102AR027-006","A106022A"
"2102AR027-006","A106058E"
"2102AR027-006","A120540A"
"2102AR027-006","A121944A"
"2102AR027-006","A123070A"
"2108AR094-001","A103296A"
"2108AR094-001","A103958A"
"2108AR094-001","A104403D"
"2108AR094-001","A140758A"
"2107AR169-003","A103296A"
"2107AR169-003","A103958A"
"2107AR169-003","A104403D"
"2107AR169-003","A140758A"
"2200AR029-001","A103304A"
"2200AR029-001","A103451A"
"2200AR029-001","A103451C"
"2200AR029-001","A103451D"
"2200AR029-001","A103652A"
"2200AR029-001","A103761A"
"2200AR029-001","A104096A"
