idCamion,idPedido,start_date,end_date,late
A104403D,2208AR164-003,2022-08-02 07:00:00,2022-08-02 10:30:30.729935,0
A123070A,2113AP011-002,2022-08-02 07:00:00,2022-08-02 10:00:04.237972,0
A103296A,2209AR040-008,2022-08-01 07:00:00,2022-08-01 10:21:51.471396,0
A104403D,2009AR054-002,2022-08-02 10:30:30.729935,2022-08-02 15:04:43.598514,0
A140758A,2211AP002-001,2022-08-02 07:00:00,2022-08-02 09:53:34.988541,0
A140758A,2211AR060-001,2022-08-02 09:53:34.988541,2022-08-02 11:50:13.891983,0
A103958A,2115AP011-001,2022-08-01 07:00:00,2022-08-01 10:40:19.306119,0
A103761A,2212AR050-002,2022-08-01 07:00:00,2022-08-01 09:00:26.525254,0
A103958A,2210AR048-001,2022-08-01 10:40:19.306119,2022-08-03 08:00:00,0
A106058E,1913AP001-004,2022-08-01 07:00:00,2022-08-01 08:56:44.439823,0
A106058E,2114AR090-005,2022-08-01 08:56:44.439823,2022-08-01 11:52:36.871730,0
A123070A,2113AP007-003,2022-08-02 10:00:04.237972,2022-08-02 14:00:37.234571,0
A104877C,2021AR117-003,2022-08-01 07:00:00,2022-08-01 11:07:22.091566,0
A103652A,2121AP010-004,2022-08-01 07:00:00,2022-08-01 09:16:48.732118,0
A140758A,2118AP002-009,2022-08-02 11:50:13.891983,2022-08-02 15:25:29.932175,0
A104403D,1913AP001-001,2022-08-02 15:04:43.598514,2022-08-02 17:33:43.201119,0
A140758A,2212AR041-001,2022-08-02 15:25:29.932175,2022-08-02 18:11:58.137603,0
A106058E,2114AR090-003,2022-08-01 11:52:36.871730,2022-08-01 15:17:52.075582,0
A106058E,2014AP010-008,2022-08-01 15:17:52.075582,2022-08-03 08:00:00,0
A103304A,2110AR056-006,2022-08-02 07:00:00,2022-08-02 10:08:05.292198,0
A103451D,2209AR040-005,2022-08-01 07:00:00,2022-08-01 10:35:31.778384,0
A103761A,2114AR021-003,2022-08-01 09:00:26.525254,2022-08-01 11:52:23.121310,0
A103451C,2209AR049-005,2022-08-01 07:00:00,2022-08-01 10:33:23.885932,0
A106058E,2014AP001-013,2022-08-03 08:00:00,2022-08-03 11:18:31.509508,0
A106058E,2115AR117-012,2022-08-03 11:18:31.509508,2022-08-03 14:12:39.668991,0
A103451C,2208AR164-001,2022-08-01 10:33:23.885932,2022-08-01 15:47:23.887600,0
A104715C,2107AR164-034,2022-08-01 07:00:00,2022-08-01 09:27:52.991729,0
A103451C,2107AR164-068,2022-08-01 15:47:23.887600,2022-08-03 08:00:00,0
A104715C,2104AR049-005,2022-08-01 09:27:52.991729,2022-08-03 08:00:00,0
A120540A,2105AR089-011,2022-08-01 07:00:00,2022-08-01 10:10:06.595926,0
A106058E,2115AR054-005,2022-08-05 07:00:00.668991,2022-08-05 09:42:21.934476,0
A106058E,2116AR059-007,2022-08-05 09:42:21.934476,2022-08-05 11:58:00.653598,0
A104715C,2108AR115-002,2022-08-03 08:00:00,2022-08-03 10:44:39.759257,0
A104715C,2107AR118-004,2022-08-03 10:44:39.759257,2022-08-03 13:19:50.418520,0
A104715C,2107AR164-036,2022-08-03 13:19:50.418520,2022-08-03 15:58:39.211100,0
A103451C,1907AR341-003,2022-08-05 07:00:00,2022-08-05 10:26:34.528318,0
A104715C,2107AR164-053,2022-08-03 15:58:39.211100,2022-08-03 18:21:26.938878,0
A103652A,2107AR164-067,2022-08-01 09:16:48.732118,2022-08-01 11:29:38.480561,0
A104715C,2108AR253-001,2022-08-03 18:21:26.938878,2022-08-05 08:00:00,0
A104715C,2108AR153-001,2022-08-06 07:00:00,2022-08-06 09:30:36.613983,0
A103296A,2115AP015-003,2022-08-01 10:21:51.471396,2022-08-01 13:41:00.707199,0
A103958A,2021AR079-001,2022-08-03 08:00:00,2022-08-05 08:00:00,0
A104403D,1908AR260-001,2022-08-03 07:00:00.201119,2022-08-03 11:47:24.547466,0
A106058E,2116AR049-008,2022-08-05 11:58:00.653598,2022-08-05 14:02:07.633827,0
A140758A,2108AR111-002,2022-08-02 18:11:58.137603,2022-08-02 21:07:00.145723,0
A103451C,2107AR164-054,2022-08-05 10:26:34.528318,2022-08-05 13:55:47.933708,0
A104715C,2108AR094-001,2022-08-06 09:30:36.613983,2022-08-06 11:04:51.327325,0
A104715C,2108AR089-008,2022-08-06 11:04:51.327325,2022-08-06 12:47:09.694364,0
A106022A,2208AP009-002,2022-08-01 07:00:00,2022-08-01 11:22:07.762992,0
A106058E,2116AR058-001,2022-08-05 14:02:07.633827,2022-08-05 16:26:04.860153,0
A104715C,2007AR327-002,2022-08-06 12:47:09.694364,2022-08-06 15:31:52.477140,0
A103652A,2105AP003-001,2022-08-01 11:29:38.480561,2022-08-01 14:33:42.340714,0
A103652A,2105AR101-003,2022-08-01 14:33:42.340714,2022-08-01 18:37:47.163553,0
A103761A,2117AP033-009,2022-08-01 11:52:23.121310,2022-08-01 16:07:46.208069,0
A103652A,2204AR021-003,2022-08-01 18:37:47.163553,2022-08-01 23:12:15.761508,0
A104403D,2208AR163-013,2022-08-03 11:47:24.547466,2022-08-03 16:44:50.783613,0
A103451C,2107AR118-008,2022-08-05 13:55:47.933708,2022-08-05 16:30:38.090692,0
A125695C,2107AR169-003,2022-08-01 07:00:00,2022-08-01 09:43:56.043526,0
A103652A,2104AR040-002,2022-08-02 07:00:00.761508,2022-08-02 11:52:49.460557,0
A106058E,2117AR029-001,2022-08-05 16:26:04.860153,2022-08-08 14:00:00,0
A103451C,1905AR202-001,2022-08-05 16:30:38.090692,2022-08-08 08:00:00,0
A106022A,2104AR035-021,2022-08-01 11:22:07.762992,2022-08-01 17:28:33.528554,0
A103304A,2006AP005-001,2022-08-02 10:08:05.292198,2022-08-04 08:00:00,0
A103451A,2204AP004-003,2022-08-01 07:00:00,2022-08-01 11:32:36.412282,0
A103451D,2002AP003-001,2022-08-01 10:35:31.778384,2022-08-01 17:29:41.358400,0
A103958A,1905AR021-005,2022-08-06 07:00:00,2022-08-06 11:50:37.588444,0
A103451C,1902AR067-004,2022-08-09 07:00:00,2022-08-09 14:12:02.974364,0
A104715C,2005AR124-004,2022-08-06 15:31:52.477140,2022-08-09 08:00:00,0
