idCamion,idPedido,start_date,end_date,late
A120540A,2105AR089-011,2022-08-01 07:00:00,2022-08-01 10:10:06.595926,0
A104715C,2104AR049-005,2022-08-01 07:00:00,2022-08-01 10:41:27.796430,0
A103296A,2113AP011-002,2022-08-01 07:00:00,2022-08-01 10:07:26.230324,0
A103296A,2211AR060-001,2022-08-01 10:07:26.230324,2022-08-01 12:39:59.584277,0
A121944A,2114AR021-003,2022-08-01 07:00:00,2022-08-01 09:26:58.273209,0
A121944A,2115AR054-005,2022-08-01 09:26:58.273209,2022-08-01 12:26:56.917132,0
A121944A,2115AR117-012,2022-08-01 12:26:56.917132,2022-08-01 15:18:28.305858,0
A103304A,2212AR050-002,2022-08-02 07:00:00,2022-08-02 09:08:22.332449,0
A103304A,2118AP002-009,2022-08-02 09:08:22.332449,2022-08-02 12:47:27.368539,0
A103958A,2014AP010-008,2022-08-01 07:00:00,2022-08-01 09:57:23.666812,0
A104877C,2107AR169-003,2022-08-01 07:00:00,2022-08-01 09:08:27.756934,0
A121944A,2116AR049-008,2022-08-01 15:18:28.305858,2022-08-01 17:35:38.097963,0
A121944A,2116AR059-007,2022-08-01 17:35:38.097963,2022-08-01 19:36:38.041819,0
A103761A,2114AR090-005,2022-08-01 07:00:00,2022-08-01 09:51:45.480161,0
A106058E,2113AP007-003,2022-08-01 07:00:00,2022-08-01 10:05:41.286075,0
A103296A,2209AR040-008,2022-08-01 12:39:59.584277,2022-08-01 16:17:54.248792,0
A120540A,2209AR040-008,2022-08-01 10:10:06.595926,2022-08-01 13:49:44.631897,0
A103451D,2009AR054-002,2022-08-01 07:00:00,2022-08-01 10:57:32.526243,0
A104096A,2115AP011-001,2022-08-02 07:00:00,2022-08-02 10:43:07.353639,0
A103296A,2211AP002-001,2022-08-01 16:17:54.248792,2022-08-01 19:11:03.625654,0
A121944A,2114AR090-003,2022-08-01 19:36:38.041819,2022-08-03 20:00:00,0
A103958A,2212AR041-001,2022-08-01 09:57:23.666812,2022-08-01 12:19:11.779042,0
A104403D,2110AR056-006,2022-08-02 07:00:00,2022-08-02 10:07:42.652105,0
A121944A,1913AP001-004,2022-08-03 20:00:00,2022-08-05 20:00:00,0
A103652A,2210AR048-001,2022-08-01 07:00:00,2022-08-01 10:30:32.798662,0
A123070A,2209AR040-005,2022-08-02 07:00:00,2022-08-02 10:30:19.310387,0
A119269A,2021AR079-001,2022-08-01 07:00:00,2022-08-01 11:06:50.921527,0
A103451A,2107AR164-053,2022-08-01 07:00:00,2022-08-01 09:16:59.356629,0
A104715C,2107AR164-034,2022-08-01 10:41:27.796430,2022-08-01 13:48:22.775993,0
A104715C,2108AR153-001,2022-08-01 13:48:22.775993,2022-08-01 15:44:51.494670,0
A104715C,2108AR111-002,2022-08-01 15:44:51.494670,2022-08-01 17:42:09.214591,0
A103451D,2117AP033-009,2022-08-01 10:57:32.526243,2022-08-01 14:48:50.972501,0
A125695C,2007AR327-002,2022-08-01 07:00:00,2022-08-01 09:58:03.969458,0
A104715C,2108AR089-008,2022-08-01 17:42:09.214591,2022-08-03 14:00:00,0
A104715C,2107AR164-068,2022-08-03 14:00:00,2022-08-05 08:00:00,0
A104715C,2107AR164-036,2022-08-05 08:00:00,2022-08-05 10:19:28.684505,0
A104715C,1908AR260-001,2022-08-05 10:19:28.684505,2022-08-05 13:39:54.245637,0
A123070A,2209AR049-005,2022-08-02 10:30:19.310387,2022-08-02 14:51:13.195591,0
A103652A,2107AR164-054,2022-08-01 10:30:32.798662,2022-08-01 14:11:22.647896,0
A104877C,1907AR341-003,2022-08-01 09:08:27.756934,2022-08-01 12:35:19.351963,0
A120540A,2021AR117-003,2022-08-01 13:49:44.631897,2022-08-01 18:56:55.111869,0
A121944A,2116AR058-001,2022-08-05 20:00:00,2022-08-07 14:00:00,0
A140758A,2014AP001-013,2022-08-02 07:00:00,2022-08-02 10:59:27.306142,0
A125695C,2115AP015-003,2022-08-01 09:58:03.969458,2022-08-01 14:12:11.382868,0
A104403D,2121AP010-004,2022-08-02 10:07:42.652105,2022-08-02 13:17:39.598156,0
A106022A,2208AR163-013,2022-08-01 07:00:00,2022-08-01 11:12:04.678518,0
A104715C,2108AR094-001,2022-08-06 07:00:00.245637,2022-08-06 10:01:22.451488,0
A125695C,2005AR124-004,2022-08-01 14:12:11.382868,2022-08-04 08:00:00,0
A104096A,2107AR118-004,2022-08-02 10:43:07.353639,2022-08-02 13:19:43.321448,0
A103451C,2104AR040-002,2022-08-01 07:00:00,2022-08-01 10:56:44.894234,0
A103652A,2108AR115-002,2022-08-01 14:11:22.647896,2022-08-04 08:00:00,0
A104715C,2108AR253-001,2022-08-06 10:01:22.451488,2022-08-09 08:00:00,0
A104715C,2107AR118-008,2022-08-09 08:00:00,2022-08-09 10:53:23.450418,0
A104715C,2105AR101-003,2022-08-09 10:53:23.450418,2022-08-09 15:15:37.534802,0
A140758A,2117AR029-001,2022-08-02 10:59:27.306142,2022-08-02 15:54:31.414612,0
A103451A,2211AR060-001,2022-08-01 09:16:59.356629,2022-08-01 11:57:35.845609,0
A104403D,2208AR164-001,2022-08-02 13:17:39.598156,2022-08-02 17:13:18.320288,0
A140758A,2208AP009-002,2022-08-02 15:54:31.414612,2022-08-02 19:48:03.231084,0
A103451A,2107AR164-067,2022-08-01 11:57:35.845609,2022-08-01 15:03:57.452036,0
A104715C,2204AR021-003,2022-08-10 07:00:00.534802,2022-08-10 11:34:29.132757,0
A103296A,2105AP003-001,2022-08-01 19:11:03.625654,2022-08-03 14:00:00,0
A123070A,2005AR125-001,2022-08-03 07:00:00.195591,2022-08-03 12:56:36.931526,0
A104403D,2208AR164-003,2022-08-03 07:00:00.320288,2022-08-05 08:00:00,0
A103451C,1913AP001-001,2022-08-01 10:56:44.894234,2022-08-01 13:23:23.471561,0
A103451A,2104AR035-021,2022-08-01 15:03:57.452036,2022-08-03 14:00:00,0
A103958A,1905AR021-005,2022-08-01 12:19:11.779042,2022-08-03 08:00:00,0
A103958A,2108AR115-002,2022-08-03 08:00:00,2022-08-03 11:24:18.309370,0
A103958A,1905AR202-001,2022-08-05 07:00:00.309370,2022-08-05 11:10:56.408237,0
A119269A,2006AP005-001,2022-08-01 11:06:50.921527,2022-08-03 08:00:00,0
A140758A,1902AR067-004,2022-08-03 07:00:00.231084,2022-08-03 14:33:42.031809,0
A103296A,2204AP004-003,2022-08-04 07:00:00,2022-08-04 11:52:40.287333,0
A103652A,1902AR067-002,2022-08-05 07:00:00,2022-08-05 13:31:55.605161,0
A120540A,2003AP002-002,2022-08-03 07:00:00.111869,2022-08-03 14:03:26.832969,0
A103958A,1903AR141-002,2022-08-05 11:10:56.408237,2022-08-05 18:31:28.191914,0
A104096A,2202AP001-013,2022-08-02 13:19:43.321448,2022-08-02 19:14:48.821381,0
A106022A,2002AP003-001,2022-08-01 11:12:04.678518,2022-08-01 18:08:14.766150,0
A106022A,2003AR131-002,2022-08-03 07:00:00.766150,2022-08-05 08:00:00,0
A103958A,2102AR037-001,2022-08-06 07:00:00.191914,2022-08-06 13:44:48.721229,0
A120540A,2103AR035-001,2022-08-04 07:00:00.832969,2022-08-04 14:06:36.167650,0
A103958A,1803AR007-012,2022-08-06 13:44:48.721229,2022-08-08 08:00:00,0
A103451C,2203AZ013-003,2022-08-01 13:23:23.471561,2022-08-01 18:50:01.604433,0
A104096A,2201AP003-005,2022-08-03 07:00:00.821381,2022-08-05 08:00:00,0
A103958A,2202AR007-006,2022-08-10 07:00:00,2022-08-10 12:37:01.379224,0
A104096A,2201AP002-004,2022-08-05 08:00:00,2022-08-05 13:33:20.481217,0
A106022A,2102AR027-006,2022-08-06 07:00:00,2022-08-06 14:26:49.544702,0
A104715C,1901AR032-003,2022-08-11 07:00:00.132757,2022-08-13 08:00:00,0
A120540A,2200AR035-001,2022-08-05 07:00:00.167650,2022-08-05 17:14:10.191035,0
A103761A,1912AP008-005,2022-08-01 09:51:45.480161,2022-08-03 08:00:00,0
A121944A,2200AR029-001,2022-08-08 07:00:00,2022-08-08 16:47:53.608644,0
A103451C,1901AR013-003,2022-08-02 07:00:00.604433,2022-08-02 13:18:34.867378,0
A120540A,2201AP002-001,2022-08-06 07:00:00.191035,2022-08-08 08:00:00,0
A103761A,1906AR154-001,2022-08-03 08:00:00,2022-08-05 08:00:00,0
A106058E,2008AR015-002,2022-08-01 10:05:41.286075,2022-08-01 14:16:30.723953,0
A104096A,2006AP004-001,2022-08-06 07:00:00.481217,2022-08-06 10:29:40.741806,0
A104877C,2102AR027-002,2022-08-01 12:35:19.351963,2022-08-01 19:31:40.536144,0
A104877C,2203AR016-003,2022-08-02 07:00:00.536144,2022-08-02 12:50:08.263972,0
A119269A,2002AR056-001,2022-08-05 07:00:00,2022-08-07 08:00:00,1
A104877C,2105AR100-003,2022-08-02 12:50:08.263972,2022-08-02 18:11:31.781567,0
A103451C,2108AR182-001,2022-08-02 13:18:34.867378,2022-08-02 16:58:38.555399,1
A104403D,1905AP005-004,2022-08-05 08:00:00,2022-08-07 08:00:00,1
