"idCamion","descanso"
"A103296A","8/5/2022"
"A103304A","8/1/2022"
"A103451A","8/5/2022"
"A103451C","8/4/2022"
"A103451D","8/4/2022"
"A103652A","8/3/2022"
"A103761A","8/4/2022"
"A103958A","8/4/2022"
"A104096A","8/1/2022"
"A104403D","8/1/2022"
"A104715C","8/2/2022"
"A104877C","8/5/2022"
"A106022A","8/2/2022"
"A106058E","8/4/2022"
"A119269A","8/4/2022"
"A120540A","8/2/2022"
"A121944A","8/4/2022"
"A123070A","8/1/2022"
"A125695C","8/3/2022"
"A140758A","8/1/2022"
"A103296A","8/7/2022"
"A103304A","8/9/2022"
"A103451A","8/8/2022"
"A103451C","8/7/2022"
"A103451D","8/7/2022"
"A103652A","8/9/2022"
"A103761A","8/9/2022"
"A103958A","8/9/2022"
"A104096A","8/8/2022"
"A104403D","8/8/2022"
"A104715C","8/8/2022"
"A104877C","8/7/2022"
"A106022A","8/7/2022"
"A106058E","8/7/2022"
"A119269A","8/9/2022"
"A120540A","8/9/2022"
"A121944A","8/9/2022"
"A123070A","8/7/2022"
"A125695C","8/8/2022"
"A140758A","8/8/2022"
"A103296A","8/12/2022"
"A103304A","8/11/2022"
"A103451A","8/12/2022"
"A103451C","8/12/2022"
"A103451D","8/11/2022"
"A103652A","8/12/2022"
"A103761A","8/12/2022"
"A103958A","8/11/2022"
"A104096A","8/11/2022"
"A104403D","8/12/2022"
"A104715C","8/12/2022"
"A104877C","8/12/2022"
"A106022A","8/11/2022"
"A106058E","8/12/2022"
"A119269A","8/12/2022"
"A120540A","8/12/2022"
"A121944A","8/11/2022"
"A123070A","8/12/2022"
"A125695C","8/11/2022"
"A140758A","8/12/2022"
"A103296A","8/16/2022"
"A103304A","8/15/2022"
"A103451A","8/16/2022"
"A103451C","8/15/2022"
"A103451D","8/14/2022"
"A103652A","8/16/2022"
"A103761A","8/14/2022"
"A103958A","8/16/2022"
"A104096A","8/16/2022"
"A104403D","8/15/2022"
"A104715C","8/16/2022"
"A104877C","8/14/2022"
"A106022A","8/15/2022"
"A106058E","8/14/2022"
"A119269A","8/16/2022"
"A120540A","8/16/2022"
"A121944A","8/14/2022"
"A123070A","8/16/2022"
"A125695C","8/14/2022"
"A140758A","8/15/2022"
"A103296A","8/18/2022"
"A103304A","8/18/2022"
"A103451A","8/19/2022"
"A103451C","8/19/2022"
"A103451D","8/19/2022"
"A103652A","8/18/2022"
"A103761A","8/19/2022"
"A103958A","8/18/2022"
"A104096A","8/18/2022"
"A104403D","8/19/2022"
"A104715C","8/19/2022"
"A104877C","8/19/2022"
"A106022A","8/18/2022"
"A106058E","8/19/2022"
"A119269A","8/18/2022"
"A120540A","8/19/2022"
"A121944A","8/18/2022"
"A123070A","8/18/2022"
"A125695C","8/18/2022"
"A140758A","8/19/2022"
"A103296A","8/23/2022"
"A103304A","8/21/2022"
"A103451A","8/23/2022"
"A103451C","8/22/2022"
"A103451D","8/22/2022"
"A103652A","8/22/2022"
"A103761A","8/23/2022"
"A103958A","8/22/2022"
"A104096A","8/21/2022"
"A104403D","8/23/2022"
"A104715C","8/22/2022"
"A104877C","8/23/2022"
"A106022A","8/22/2022"
"A106058E","8/23/2022"
"A119269A","8/22/2022"
"A120540A","8/22/2022"
"A121944A","8/21/2022"
"A123070A","8/21/2022"
"A125695C","8/23/2022"
"A140758A","8/22/2022"
"A103296A","8/26/2022"
"A103304A","8/25/2022"
"A103451A","8/26/2022"
"A103451C","8/26/2022"
"A103451D","8/25/2022"
"A103652A","8/25/2022"
"A103761A","8/26/2022"
"A103958A","8/26/2022"
"A104096A","8/25/2022"
"A104403D","8/26/2022"
"A104715C","8/26/2022"
"A104877C","8/25/2022"
"A106022A","8/26/2022"
"A106058E","8/25/2022"
"A119269A","8/26/2022"
"A120540A","8/26/2022"
"A121944A","8/25/2022"
"A123070A","8/26/2022"
"A125695C","8/26/2022"
"A140758A","8/26/2022"
"A103296A","8/30/2022"
"A103304A","8/30/2022"
"A103451A","8/29/2022"
"A103451C","8/28/2022"
"A103451D","8/30/2022"
"A103652A","8/30/2022"
"A103761A","8/30/2022"
"A103958A","8/28/2022"
"A104096A","8/28/2022"
"A104403D","8/29/2022"
"A104715C","8/28/2022"
"A104877C","8/30/2022"
"A106022A","8/30/2022"
"A106058E","8/30/2022"
"A119269A","8/29/2022"
"A120540A","8/28/2022"
"A121944A","8/29/2022"
"A123070A","8/28/2022"
"A125695C","8/29/2022"
"A140758A","8/28/2022"
"A103296A","9/1/2022"
"A103304A","9/2/2022"
"A103451A","9/2/2022"
"A103451C","9/2/2022"
"A103451D","9/2/2022"
"A103652A","9/2/2022"
"A103761A","9/1/2022"
"A103958A","9/2/2022"
"A104096A","9/2/2022"
"A104403D","9/1/2022"
"A104715C","9/2/2022"
"A104877C","9/2/2022"
"A106022A","9/1/2022"
"A106058E","9/2/2022"
"A119269A","9/2/2022"
"A120540A","9/1/2022"
"A121944A","9/2/2022"
"A123070A","9/2/2022"
"A125695C","9/1/2022"
"A140758A","9/1/2022"
"A103296A","9/5/2022"
"A103304A","9/6/2022"
"A103451A","9/5/2022"
"A103451C","9/5/2022"
"A103451D","9/5/2022"
"A103652A","9/6/2022"
"A103761A","9/6/2022"
"A103958A","9/6/2022"
"A104096A","9/5/2022"
"A104403D","9/6/2022"
"A104715C","9/4/2022"
"A104877C","9/4/2022"
"A106022A","9/5/2022"
"A106058E","9/4/2022"
"A119269A","9/6/2022"
"A120540A","9/4/2022"
"A121944A","9/6/2022"
"A123070A","9/6/2022"
"A125695C","9/6/2022"
"A140758A","9/4/2022"
