"idPedido","prioridad","lonCarga","latCarga","categoria","lonDescarga","latDescarga","startSlot","endSlot","lastDate"
"2208AR164-003",0,-7.82928,43.64426,"M1",-8.54485,42.40647,"08:00","12:00","2022-08-28"
"1905AR202-001",0,-7.05566,43.50248,"M2",-8.51738,42.63927,"08:00","12:00","2022-08-27"
"2003AR131-002",0,-6.096,43.47516,"M3",-8.60799,42.20409,"08:00","12:00","2022-09-05"
"2002AR056-001",0,-5.79491,43.60241,"M2",-8.87518,42.92576,"08:00","12:00","2022-08-06"
"2014AP010-008",0,-8.68164,42.79204,"M2",-8.18435,43.27538,"08:00","12:00","2022-08-24"
"1905AP005-004",0,-7.21423,43.35565,"M2",-8.41502,42.34068,"08:00","12:00","2022-08-06"
"1905AR021-005",0,-7.05558,43.50188,"M2",-8.4504,42.40371,"08:00","12:00","2022-08-14"
"2003AP002-003",0,-6.16189,43.47454,"M2",-8.87544,42.9246,"08:00","12:00","2022-08-04"
"2005AR124-004",0,-7.05346,43.50562,"M2",-8.99661,42.63677,"08:00","12:00","2022-08-13"
"2006AP005-001",0,-7.38911,43.61098,"M2",-8.3564,42.86035,"08:00","12:00","2022-08-11"
"2210AR048-001",0,-8.1128,43.08649,"M1",-8.5752,42.50364,"08:00","12:00","2022-09-06"
"2006AP004-001",0,-7.38799,43.60314,"M2",-8.35804,42.86118,"08:00","12:00","2022-08-06"
"2108AR115-002",0,-8.00791,43.63782,"M3",-7.92098,43.64893,"08:00","12:00","2022-09-02"
"2108AR094-001",0,-8.00738,43.63791,"M3",-8.00821,43.62604,"08:00","12:00","2022-09-10"
"1906AR154-001",0,-7.37442,43.50259,"M2",-8.72167,42.44972,"08:00","12:00","2022-08-06"
"1803AR007-012",0,-6.08522,43.44158,"M2",-7.1621,42.94496,"08:00","12:00","2022-08-21"
"2021AR079-001",0,-7.13087,43.07985,"M2",-8.19355,43.15643,"08:00","12:00","2022-08-07"
"2104AR049-005",0,-7.08546,43.40796,"M3",-8.58891,42.97613,"08:00","12:00","2022-08-26"
"2001AP001-005",0,-4.94599,43.43598,"M2",-8.90017,42.70495,"08:00","12:00","2022-08-01"
"2201AP002-001",0,-5.48995,43.39954,"M2",-7.81969,43.64573,"08:00","12:00","2022-08-12"
"2108AR253-001",0,-7.80144,43.64829,"M3",-7.06995,43.41517,"08:00","12:00","2022-09-12"
"2107AR164-068",0,-7.70656,43.50694,"M3",-8.00158,43.61475,"08:00","12:00","2022-09-06"
"1901AR032-003",0,-5.25187,43.39076,"M2",-8.5926,42.15119,"08:00","12:00","2022-08-31"
"1912AP008-005",0,-9.06351,42.99608,"M2",-8.5954,42.67887,"08:00","12:00","2022-08-04"
"2201AP003-005",0,-5.51826,43.47971,"M2",-7.81969,43.64573,"08:00","12:00","2022-08-20"
"2116AR049-008",0,-8.79416,42.29547,"M3",-8.54701,42.14471,"14:00","18:00","2022-08-31"
"2114AR021-003",0,-8.8449,42.76842,"M3",-7.92732,42.38919,"14:00","18:00","2022-08-11"
"2121AP010-004",0,-7.46638,43.34159,"M1",-7.73993,43.37094,"14:00","18:00","2022-08-31"
"2117AR029-001",0,-8.60085,42.13609,"M1",-7.70455,43.36176,"14:00","18:00","2022-09-02"
"2108AR182-001",0,-7.96358,43.61562,"M3",-7.39044,43.4277,"14:00","18:00","2022-08-01"
"2108AR089-008",0,-7.93823,43.64418,"M3",-7.9981,43.61632,"14:00","18:00","2022-08-21"
"2104AR035-021",0,-7.01359,43.49117,"M3",-8.66157,42.49797,"14:00","18:00","2022-09-05"
"2116AR058-001",0,-8.65156,42.37776,"M3",-8.52491,42.13145,"14:00","18:00","2022-08-20"
"2212AR050-002",0,-8.73466,43.02239,"M1",-8.86376,43.03158,"14:00","18:00","2022-09-10"
"2107AR164-054",0,-7.70835,43.50638,"M3",-8.02287,43.70351,"14:00","18:00","2022-09-03"
"1902AR067-002",0,-5.99554,43.33028,"M2",-8.82187,42.05808,"14:00","18:00","2022-09-04"
"2209AR049-005",0,-7.96534,43.38439,"M1",-8.56878,42.48961,"14:00","18:00","2022-08-06"
"2003AP002-002",0,-6.16189,43.47446,"M2",-8.87539,42.92483,"14:00","18:00","2022-08-25"
"2208AR163-013",0,-7.81791,43.62447,"M1",-8.53328,42.41471,"14:00","18:00","2022-08-30"
"1901AR013-003",0,-5.26253,43.46231,"M2",-7.97594,42.54612,"14:00","18:00","2022-08-02"
"2105AP003-001",0,-7.19782,43.36593,"M1",-7.76131,43.23003,"14:00","18:00","2022-08-31"
"2008AR015-002",0,-7.72994,43.70996,"M3",-8.30703,42.15693,"14:00","18:00","2022-08-01"
"2110AR056-006",0,-8.00731,43.22291,"M0",-8.03784,42.51018,"14:00","18:00","2022-09-02"
"2211AR060-001",0,-8.55212,43.10921,"M1",-8.67289,43.05282,"14:00","18:00","2022-09-11"
"2202AR007-006",0,-5.88458,43.51084,"M1",-8.05174,42.49002,"14:00","18:00","2022-08-28"
"2107AR118-008",0,-7.68856,43.54612,"M3",-8.16176,43.27075,"14:00","18:00","2022-08-21"
"2102AR037-001",0,-5.91187,43.58767,"M2",-7.97356,43.3907,"14:00","18:00","2022-08-26"
"2114AR090-005",0,-8.83819,42.86354,"M3",-8.7158,42.09206,"20:00","00:00","2022-09-13"
"2007AR327-002",0,-7.68695,43.55248,"M2",-8.14235,43.05237,"20:00","00:00","2022-08-22"
"2203AR016-003",0,-6.16009,43.50226,"M1",-7.56775,42.08634,"20:00","00:00","2022-08-03"
"2211AP002-001",0,-8.50536,43.19816,"M1",-8.67548,43.03459,"20:00","00:00","2022-09-13"
"2117AP033-009",0,-8.48059,42.19846,"M2",-7.79451,43.63114,"20:00","00:00","2022-08-06"
"2107AR164-067",0,-7.70682,43.50686,"M3",-8.023,43.66326,"20:00","00:00","2022-08-11"
"1903AR141-002",0,-6.02463,43.46772,"M2",-8.56477,42.19957,"20:00","00:00","2022-09-14"
"2202AP001-013",0,-5.94873,43.33801,"M1",-8.03888,42.51464,"20:00","00:00","2022-09-13"
"2107AR118-004",0,-7.68574,43.55524,"M3",-8.13551,43.12374,"20:00","00:00","2022-08-10"
"2115AR054-005",0,-8.54933,42.53052,"M3",-8.78397,42.05647,"20:00","00:00","2022-08-21"
"2116AR049-013",0,-8.79034,42.29603,"M3",-8.52991,42.13797,"20:00","00:00","2022-08-01"
"2118AP002-009",0,-8.11801,42.48618,"M1",-7.76988,43.36241,"20:00","00:00","2022-09-12"
"2116AR059-007",0,-8.64513,42.37352,"M3",-8.6712,42.33447,"20:00","00:00","2022-08-21"
"2114AR090-003",0,-8.83915,42.86234,"M3",-8.583,42.17021,"20:00","00:00","2022-09-02"
"2203AZ013-003",0,-6.02547,43.4959,"M2",-7.38595,43.65567,"20:00","00:00","2022-08-12"
"2102AR027-006",0,-5.59119,43.47322,"M2",-8.24068,43.269,"20:00","00:00","2022-09-10"
"2212AR041-001",0,-8.88853,43.18549,"M1",-8.93534,43.095,"20:00","00:00","2022-09-05"
"2204AP004-003",0,-6.89026,43.51024,"M1",-8.32161,42.16009,"20:00","00:00","2022-09-05"
"2014AP001-013",0,-8.76995,42.68115,"M2",-8.55465,43.1941,"20:00","00:00","2022-09-01"
"2107AR164-034",0,-7.70795,43.50546,"M3",-8.00865,43.67582,"20:00","00:00","2022-08-26"
"2021AR117-003",0,-7.22185,43.23276,"M3",-8.3072,42.17728,"20:00","00:00","2022-09-10"
"2200AR035-001",0,-3.97387,43.37166,"M1",-8.14635,42.42181,"20:00","00:00","2022-09-12"
"2115AP015-003",0,-8.56653,42.49065,"M2",-7.81159,43.63771,"20:00","00:00","2022-08-06"
"2115AR117-012",0,-8.52095,42.57369,"M3",-8.47127,42.26751,"20:00","00:00","2022-09-14"
"2208AP009-002",0,-7.8458,43.55797,"M1",-8.5522,42.23444,"20:00","00:00","2022-09-05"
"2005AR125-001",0,-7.05311,43.50705,"M3",-8.48929,42.27443,"20:00","00:00","2022-08-09"
"1913AP001-001",0,-8.5708,42.77094,"M2",-8.59592,42.67868,"20:00","00:00","2022-08-04"
"1913AP001-004",0,-8.57508,42.77388,"M2",-8.59644,42.67866,"20:00","00:00","2022-08-14"
"2208AR164-001",0,-7.83393,43.64748,"M1",-8.54667,42.40712,"00:00","23:59","2022-08-29"
"2115AP011-001",0,-8.50074,42.55432,"M2",-7.88909,43.70203,"00:00","23:59","2022-09-02"
"1902AR067-004",0,-5.99692,43.32991,"M2",-8.53632,42.12827,"00:00","23:59","2022-09-12"
"2113AP011-002",0,-8.13199,43.04966,"M1",-7.77031,43.35092,"00:00","23:59","2022-09-02"
"2209AR040-008",0,-8.07538,43.38098,"M1",-8.56863,42.49072,"00:00","23:59","2022-08-09"
"2209AR040-005",0,-8.06318,43.38338,"M1",-8.5688,42.4909,"00:00","23:59","2022-08-14"
"2104AR040-002",0,-7.08444,43.41408,"M3",-8.66051,42.39448,"00:00","23:59","2022-08-09"
"2107AR169-003",0,-7.61688,43.63852,"M3",-7.9979,43.64277,"00:00","23:59","2022-08-26"
"2200AR029-001",0,-3.95092,43.38362,"M2",-7.96296,43.61604,"00:00","23:59","2022-08-11"
"2108AR111-002",0,-7.9477,43.51436,"M3",-7.92066,43.64863,"00:00","23:59","2022-08-09"
"2108AR153-001",0,-7.89124,43.71032,"M3",-8.01015,43.61347,"00:00","23:59","2022-09-06"
"1907AR341-003",0,-7.69463,43.54757,"M2",-8.59186,42.67625,"00:00","23:59","2022-08-15"
"2204AR021-003",0,-7.06847,43.41902,"M0",-8.08222,42.94454,"00:00","23:59","2022-09-13"
"2107AR164-036",0,-7.70756,43.50557,"M3",-8.00959,43.67591,"00:00","23:59","2022-08-30"
"2009AR054-002",0,-8.15033,43.3681,"M3",-8.31505,42.16197,"00:00","23:59","2022-08-10"
"2103AR035-001",0,-6.08633,43.48365,"M3",-8.47387,42.39524,"00:00","23:59","2022-08-27"
"2107AR164-053",0,-7.70851,43.50632,"M3",-8.02277,43.66333,"00:00","23:59","2022-08-06"
"2113AP007-003",0,-8.59814,42.79182,"M2",-8.01211,43.62544,"00:00","23:59","2022-09-14"
"2105AR100-003",0,-7.13102,43.48629,"M3",-8.95139,43.02767,"00:00","23:59","2022-08-02"
"2105AR101-003",0,-7.12973,43.48494,"M3",-8.95084,43.05467,"00:00","23:59","2022-08-19"
"2002AP003-001",0,-5.98369,43.35103,"M2",-8.64798,42.89887,"00:00","23:59","2022-08-25"
"2105AR089-011",0,-7.22444,43.41627,"M3",-8.82426,43.15496,"00:00","23:59","2022-09-12"
"2102AR027-002",0,-5.58748,43.46707,"M2",-8.12216,43.28006,"00:00","23:59","2022-08-04"
"1908AR260-001",0,-7.86702,43.69792,"M2",-8.59285,42.67666,"00:00","23:59","2022-09-13"
