"idPedido","idCamion"
"2115AR052-002","A105422A"
"2118AP002-002","A103811D"
"2118AP002-002","A104877C"
"2118AP002-002","A104967B"
"2115AP012-001","A102978A"
"2115AP012-001","A104877C"
"2115AP012-001","A104967B"
"2014AP001-001","A102978A"
"2014AP001-001","A104877C"
"2014AP001-001","A104967B"
"2208AR102-001","A103811D"
"2208AR102-001","A104877C"
"2208AR102-001","A104967B"
"2212AP008-002","A103811D"
"2212AP008-002","A104877C"
"2212AP008-002","A104967B"
"2115AP015-002","A102978A"
"2115AP015-002","A104877C"
"2115AP015-002","A104967B"
"2108AP002-001","A102978A"
"2108AP002-001","A104877C"
"2108AP002-001","A104967B"
"2201AR004-002","A102978A"
"2201AR004-002","A104877C"
"2201AR004-002","A104967B"
"2212AP008-004","A103811D"
"2212AP008-004","A104877C"
"2212AP008-004","A104967B"
"2111AR091-001","A105422A"
"2108AR208-001","A105422A"
"2108AR174-001","A105422A"
"2202AP001-005","A103811D"
"2202AP001-005","A104877C"
"2202AP001-005","A104967B"
"2204AR043-006","A102978A"
"2204AR043-006","A104877C"
"2204AR043-006","A104967B"
"2102AR065-001","A105422A"
"2202AR002-001","A102978A"
"2202AR002-001","A104877C"
"2202AR002-001","A104967B"
"2114AR067-001","A105422A"
"2210AR046-004","A103811D"
"2210AR046-004","A104877C"
"2210AR046-004","A104967B"
"2210AR046-003","A103811D"
"2210AR046-003","A104877C"
"2210AR046-003","A104967B"
"2113AR062-002","A105422A"
"2113AR036-009","A105422A"
"2108AR094-001","A105422A"
"1803AR007-002","A102978A"
"1803AR007-002","A104877C"
"1803AR007-002","A104967B"
"1908AR078-003","A102978A"
"1908AR078-003","A104877C"
"1908AR078-003","A104967B"
"2205AR010-005","A102978A"
"2205AR010-005","A104877C"
"2205AR010-005","A104967B"
"2015AP002-002","A102978A"
"2015AP002-002","A104877C"
"2015AP002-002","A104967B"
"2104AR027-002","A102978A"
"2104AR027-002","A104877C"
"2104AR027-002","A104967B"
"2108AR110-011","A105422A"
"1808AR293-001","A105422A"
"1902AR031-001","A102978A"
"1902AR031-001","A104877C"
"1902AR031-001","A104967B"
"2208AR180-007","A103811D"
"2208AR180-007","A104877C"
"2208AR180-007","A104967B"
"2204AP003-003","A102978A"
"2204AP003-003","A104877C"
"2204AP003-003","A104967B"
"2102AR066-001","A105422A"
"2005AR130-004","A102978A"
"2005AR130-004","A104877C"
"2005AR130-004","A104967B"
"2104AR050-007","A102978A"
"2104AR050-007","A104877C"
"2104AR050-007","A104967B"
"2107AR164-101","A105422A"
"2002AP005-009","A102978A"
"2002AP005-009","A104877C"
"2002AP005-009","A104967B"
"2109AR033-001","A105422A"
"2109AR032-005","A105422A"
"2104AR042-011","A105422A"
"2207AP005-004","A103811D"
"2207AP005-004","A104877C"
"2207AP005-004","A104967B"
"2201AP003-003","A102978A"
"2201AP003-003","A104877C"
"2201AP003-003","A104967B"
"2017AR080-001","A103811D"
"2017AR080-001","A104877C"
"2017AR080-001","A104967B"
"2117AP011-001","A102978A"
"2117AP011-001","A104877C"
"2117AP011-001","A104967B"
"2014AP002-001","A102978A"
"2014AP002-001","A104877C"
"2014AP002-001","A104967B"
"2107AR164-047","A105422A"
"2208AR187-001","A103811D"
"2208AR187-001","A104877C"
"2208AR187-001","A104967B"
"2108AR060-001","A105422A"
"2005AR131-004","A105422A"
