idCamion,idPedido,start_date,end_date,late
A105422A,2207AP005-004,2022-08-02 07:00:00,2022-08-02 10:47:03.754412,0
A104967B,2111AR091-001,2022-08-01 07:00:00,2022-08-01 10:58:22.301275,0
A103811D,2212AP008-004,2022-08-01 07:00:00,2022-08-01 10:48:29.420252,0
A103811D,2114AR067-001,2022-08-01 10:48:29.420252,2022-08-01 13:33:45.626749,0
A103811D,2015AP002-002,2022-08-01 13:33:45.626749,2022-08-01 16:49:07.525404,0
A103811D,2113AR062-002,2022-08-01 16:49:07.525404,2022-08-03 08:00:00,0
A103811D,2115AR052-002,2022-08-03 08:00:00,2022-08-03 10:49:04.111558,0
A102978A,2212AP008-002,2022-08-02 07:00:00,2022-08-02 10:11:57.576177,0
A102978A,2108AR174-001,2022-08-02 10:11:57.576177,2022-08-02 13:13:16.156941,0
A104877C,2107AR164-101,2022-08-01 07:00:00,2022-08-01 09:12:31.429416,0
A104877C,2109AR032-005,2022-08-01 09:12:31.429416,2022-08-01 12:27:08.315036,0
A105422A,2210AR046-003,2022-08-02 10:47:03.754412,2022-08-02 14:57:35.592544,0
A105422A,2117AP011-001,2022-08-02 14:57:35.592544,2022-08-04 08:00:00,0
A105422A,2107AR164-047,2022-08-04 08:00:00,2022-08-04 10:18:05.969537,0
A105422A,2118AP002-002,2022-08-05 07:00:00.969537,2022-08-05 11:12:35.752279,0
A105422A,2208AR187-001,2022-08-05 11:12:35.752279,2022-08-05 14:38:25.011655,0
A105422A,2113AR036-009,2022-08-05 14:38:25.011655,2022-08-05 17:16:09.230375,0
A103811D,2014AP001-001,2022-08-04 07:00:00.111558,2022-08-04 09:47:49.531368,0
A105422A,2111AR091-001,2022-08-05 17:16:09.230375,2022-08-07 20:00:00,0
A104967B,2108AR208-001,2022-08-01 10:58:22.301275,2022-08-01 14:54:14.431492,0
A104877C,2005AR131-004,2022-08-01 12:27:08.315036,2022-08-03 08:00:00,0
A104967B,2104AR027-002,2022-08-01 14:54:14.431492,2022-08-01 17:54:40.435064,0
A105422A,2205AR010-005,2022-08-08 07:00:00,2022-08-08 09:36:58.316507,0
A105422A,2204AR043-006,2022-08-08 09:36:58.316507,2022-08-08 11:22:04.551644,0
A105422A,2210AR046-004,2022-08-08 11:22:04.551644,2022-08-08 15:02:33.879202,0
A105422A,2115AP012-001,2022-08-08 15:02:33.879202,2022-08-10 14:00:00,0
A103811D,2115AP015-002,2022-08-04 09:47:49.531368,2022-08-04 13:56:48.348517,0
A105422A,2005AR131-004,2022-08-10 14:00:00,2022-08-12 08:00:00,0
A102978A,2108AP002-001,2022-08-02 13:13:16.156941,2022-08-02 15:21:05.669908,0
A103811D,2108AR110-011,2022-08-04 13:56:48.348517,2022-08-04 15:53:31.066014,0
A104967B,1902AR031-001,2022-08-02 07:00:00.435064,2022-08-02 13:52:44.343074,0
A104877C,2109AR033-001,2022-08-03 08:00:00,2022-08-03 11:51:00.640566,0
A102978A,1808AR293-001,2022-08-02 15:21:05.669908,2022-08-02 17:49:28.482024,0
A102978A,2108AR094-001,2022-08-02 17:49:28.482024,2022-08-04 08:00:00,0
A102978A,2208AR180-007,2022-08-04 08:00:00,2022-08-04 11:27:41.830138,0
A103811D,2204AP003-003,2022-08-04 15:53:31.066014,2022-08-06 08:00:00,0
A105422A,2107AR164-101,2022-08-13 07:00:00,2022-08-13 10:47:54.541447,0
A105422A,2202AP001-005,2022-08-13 10:47:54.541447,2022-08-13 16:20:09.130167,0
A105422A,1803AR007-002,2022-08-15 07:00:00.130167,2022-08-17 08:00:00,0
A105422A,2002AP005-009,2022-08-17 08:00:00,2022-08-17 13:22:50.395020,0
A105422A,2017AR080-001,2022-08-19 07:00:00.395020,2022-08-19 11:46:16.796146,0
A105422A,2202AR002-001,2022-08-19 11:46:16.796146,2022-08-19 16:36:06.818035,0
A105422A,2014AP002-001,2022-08-20 07:00:00.818035,2022-08-20 11:10:17.828478,0
A104877C,2104AR042-011,2022-08-04 07:00:00.640566,2022-08-04 10:29:01.020368,0
A102978A,2005AR130-004,2022-08-05 07:00:00.830138,2022-08-05 12:56:51.833535,1
A104877C,2104AR050-007,2022-08-04 10:29:01.020368,2022-08-06 08:00:00,0
A104967B,2208AR102-001,2022-08-04 07:00:00.343074,2022-08-04 12:43:16.444023,0
A103811D,2201AR004-002,2022-08-07 07:00:00,2022-08-10 08:00:00,0
A102978A,2102AR065-001,2022-08-06 07:00:00.833535,2022-08-06 14:58:40.582063,0
A104877C,2108AR060-001,2022-08-06 08:00:00,2022-08-06 09:44:20.038018,1
