"idCamion","descanso"
"A102978A","8/1/2022"
"A103811D","8/5/2022"
"A104877C","8/5/2022"
"A104967B","8/3/2022"
"A105422A","8/1/2022"
"A102978A","8/7/2022"
"A103811D","8/9/2022"
"A104877C","8/7/2022"
"A104967B","8/7/2022"
"A105422A","8/9/2022"
"A102978A","8/11/2022"
"A103811D","8/11/2022"
"A104877C","8/12/2022"
"A104967B","8/11/2022"
"A105422A","8/11/2022"
"A102978A","8/16/2022"
"A103811D","8/14/2022"
"A104877C","8/14/2022"
"A104967B","8/14/2022"
"A105422A","8/14/2022"
"A102978A","8/18/2022"
"A103811D","8/19/2022"
"A104877C","8/19/2022"
"A104967B","8/19/2022"
"A105422A","8/18/2022"
"A102978A","8/21/2022"
"A103811D","8/21/2022"
"A104877C","8/23/2022"
"A104967B","8/22/2022"
"A105422A","8/22/2022"
"A102978A","8/25/2022"
"A103811D","8/25/2022"
"A104877C","8/25/2022"
"A104967B","8/25/2022"
"A105422A","8/26/2022"
"A102978A","8/28/2022"
"A103811D","8/29/2022"
"A104877C","8/30/2022"
"A104967B","8/28/2022"
"A105422A","8/29/2022"
"A102978A","9/1/2022"
"A103811D","9/1/2022"
"A104877C","9/2/2022"
"A104967B","9/1/2022"
"A105422A","9/1/2022"
"A102978A","9/6/2022"
"A103811D","9/6/2022"
"A104877C","9/4/2022"
"A104967B","9/5/2022"
"A105422A","9/4/2022"
