"idPedido","idCamion"
"2115AR052-002","A102966A"
"2115AR052-002","A103958A"
"2118AP002-002","A104715A"
"2118AP002-002","A104967C"
"2118AP002-002","A121944A"
"2118AP002-002","A127898A"
"2118AP002-002","A139955A"
"2118AP002-002","AA9001B"
"2115AP012-001","A104715A"
"2115AP012-001","A104967C"
"2115AP012-001","A106022A"
"2115AP012-001","A112522A"
"2115AP012-001","A121944A"
"2115AP012-001","A127898A"
"2115AP012-001","AA9001B"
"2014AP001-001","A104715A"
"2014AP001-001","A104967C"
"2014AP001-001","A106022A"
"2014AP001-001","A112522A"
"2014AP001-001","A121944A"
"2014AP001-001","A127898A"
"2014AP001-001","AA9001B"
"2208AR102-001","A104715A"
"2208AR102-001","A104967C"
"2208AR102-001","A121944A"
"2208AR102-001","A127898A"
"2208AR102-001","A139955A"
"2208AR102-001","AA9001B"
"2212AP008-002","A104715A"
"2212AP008-002","A104967C"
"2212AP008-002","A121944A"
"2212AP008-002","A127898A"
"2212AP008-002","A139955A"
"2212AP008-002","AA9001B"
"2115AP015-002","A104715A"
"2115AP015-002","A104967C"
"2115AP015-002","A106022A"
"2115AP015-002","A112522A"
"2115AP015-002","A121944A"
"2115AP015-002","A127898A"
"2115AP015-002","AA9001B"
"2108AP002-001","A104715A"
"2108AP002-001","A104967C"
"2108AP002-001","A106022A"
"2108AP002-001","A112522A"
"2108AP002-001","A121944A"
"2108AP002-001","A127898A"
"2108AP002-001","AA9001B"
"2201AR004-002","A104715A"
"2201AR004-002","A104967C"
"2201AR004-002","A106022A"
"2201AR004-002","A112522A"
"2201AR004-002","A121944A"
"2201AR004-002","A127898A"
"2201AR004-002","AA9001B"
"2212AP008-004","A104715A"
"2212AP008-004","A104967C"
"2212AP008-004","A121944A"
"2212AP008-004","A127898A"
"2212AP008-004","A139955A"
"2212AP008-004","AA9001B"
"2111AR091-001","A102966A"
"2111AR091-001","A103958A"
"2108AR208-001","A102966A"
"2108AR208-001","A103958A"
"2108AR174-001","A102966A"
"2108AR174-001","A103958A"
"2202AP001-005","A104715A"
"2202AP001-005","A104967C"
