idCamion,idPedido,start_date,end_date,late
A106022A,2104AR027-002,2022-08-01 07:00:00,2022-08-01 09:26:13.133407,0
A102966A,2014AP001-001,2022-08-01 07:00:00,2022-08-01 09:28:29.938482,0
A102966A,2114AR067-001,2022-08-01 09:28:29.938482,2022-08-01 12:29:37.009315,0
A103958A,2014AP002-001,2022-08-01 07:00:00,2022-08-01 09:53:40.523467,0
A102966A,2015AP002-002,2022-08-01 12:29:37.009315,2022-08-01 15:45:00.485968,0
A104967C,2107AR164-101,2022-08-01 07:00:00,2022-08-01 09:30:14.889848,0
A127898A,2111AR091-001,2022-08-01 07:00:00,2022-08-01 11:02:48.658450,0
A106022A,2109AR032-005,2022-08-01 09:26:13.133407,2022-08-01 12:43:50.803721,0
A103958A,2212AP008-002,2022-08-01 09:53:40.523467,2022-08-01 12:42:20.688686,0
A103958A,2118AP002-002,2022-08-01 12:42:20.688686,2022-08-01 16:13:55.326602,0
A103958A,2212AP008-004,2022-08-01 16:13:55.326602,2022-08-01 19:31:44.268758,0
A102966A,2111AR091-001,2022-08-01 15:45:00.485968,2022-08-01 19:41:30.511969,0
A106022A,2109AR033-001,2022-08-01 12:43:50.803721,2022-08-01 16:04:59.930201,0
A104967C,1808AR293-001,2022-08-01 09:30:14.889848,2022-08-01 12:05:08.909781,0
A104967C,2108AR110-011,2022-08-01 12:05:08.909781,2022-08-01 14:30:35.362539,0
A106022A,2210AR046-004,2022-08-01 16:04:59.930201,2022-08-01 19:45:16.356878,0
A103958A,2210AR046-003,2022-08-01 19:31:44.268758,2022-08-03 14:00:00,0
A106022A,2113AR036-009,2022-08-01 19:45:16.356878,2022-08-01 22:48:23.180877,0
A104715A,2108AR094-001,2022-08-01 07:00:00,2022-08-01 09:10:42.361918,0
AA9001B,2108AP002-001,2022-08-01 07:00:00,2022-08-01 09:07:16.562597,0
AA9001B,2005AR131-004,2022-08-01 09:07:16.562597,2022-08-03 08:00:00,0
A103958A,2115AP015-002,2022-08-05 07:00:00,2022-08-05 10:20:47.258067,0
A103958A,2208AR187-001,2022-08-05 10:20:47.258067,2022-08-05 13:21:33.125235,0
A106022A,2113AR062-002,2022-08-03 07:00:00.180877,2022-08-03 09:54:53.581867,0
AA9001B,2014AP001-001,2022-08-03 08:00:00,2022-08-03 10:55:28.756880,0
A106022A,2207AP005-004,2022-08-03 09:54:53.581867,2022-08-05 08:00:00,0
A127898A,2005AR130-004,2022-08-01 11:02:48.658450,2022-08-01 15:43:30.619028,0
A106022A,2115AR052-002,2022-08-05 08:00:00,2022-08-05 10:42:54.469380,0
A139955A,2108AR174-001,2022-08-01 07:00:00,2022-08-01 10:03:05.238260,0
A104967C,2107AR164-047,2022-08-01 14:30:35.362539,2022-08-01 16:57:59.853796,0
A103958A,2115AP012-001,2022-08-05 13:21:33.125235,2022-08-05 17:20:44.362152,0
A102966A,2208AR180-007,2022-08-02 07:00:00.511969,2022-08-04 08:00:00,0
A139955A,2104AR050-007,2022-08-01 10:03:05.238260,2022-08-03 08:00:00,0
A103958A,2104AR042-011,2022-08-05 17:20:44.362152,2022-08-07 14:00:00,0
A139955A,2108AR208-001,2022-08-03 08:00:00,2022-08-03 10:24:30.069099,0
A139955A,2204AP003-003,2022-08-03 10:24:30.069099,2022-08-06 08:00:00,0
A139955A,2205AR010-005,2022-08-06 08:00:00,2022-08-06 10:09:34.777918,0
A139955A,2204AR043-006,2022-08-06 10:09:34.777918,2022-08-06 11:54:41.167424,0
A103958A,2117AP011-001,2022-08-08 07:00:00,2022-08-08 11:23:33.698550,0
A139955A,2201AR004-002,2022-08-07 07:00:00.167424,2022-08-07 11:52:55.079979,0
A103958A,1803AR007-002,2022-08-08 11:23:33.698550,2022-08-10 08:00:00,0
A103958A,2002AP005-009,2022-08-12 07:00:00,2022-08-12 12:22:51.926628,0
A103958A,2017AR080-001,2022-08-12 12:22:51.926628,2022-08-12 17:09:11.073469,0
A103958A,2202AR002-001,2022-08-13 07:00:00.073469,2022-08-13 11:49:51.128134,0
A112522A,2208AR102-001,2022-08-02 07:00:00,2022-08-02 10:53:25.085756,0
A139955A,2202AP001-005,2022-08-07 11:52:55.079979,2022-08-07 17:18:47.766809,0
A104967C,2102AR065-001,2022-08-02 07:00:00.853796,2022-08-02 13:45:18.065777,0
A104715A,1902AR031-001,2022-08-01 09:10:42.361918,2022-08-01 16:08:39.050395,0
A127898A,2201AP003-003,2022-08-02 07:00:00.619028,2022-08-04 08:00:00,0
A121944A,2102AR066-001,2022-08-01 07:00:00,2022-08-01 14:48:56.047609,0
