idCamion,idPedido,start_date,end_date,late
A102966A,2014AP001-001,2022-08-01 07:00:00,2022-08-01 09:28:29.938482,0
A102966A,2115AP012-001,2022-08-01 09:28:29.938482,2022-08-01 13:28:00.818189,0
A104967C,2109AR032-005,2022-08-01 07:00:00,2022-08-01 09:40:26.060534,0
A127898A,2111AR091-001,2022-08-01 07:00:00,2022-08-01 11:02:48.658450,0
A121944A,2015AP002-002,2022-08-01 07:00:00,2022-08-01 09:55:02.574455,0
A112522A,2208AR180-007,2022-08-02 07:00:00,2022-08-02 10:50:46.839557,0
AA9001B,2108AP002-001,2022-08-01 07:00:00,2022-08-01 09:07:16.562597,0
AA9001B,2005AR131-004,2022-08-01 09:07:16.562597,2022-08-03 08:00:00,0
A121944A,2109AR033-001,2022-08-01 09:55:02.574455,2022-08-01 12:35:22.340617,0
A106022A,2210AR046-003,2022-08-01 07:00:00,2022-08-01 10:53:46.589116,0
A104967C,2107AR164-047,2022-08-01 09:40:26.060534,2022-08-01 12:30:52.414036,0
A104967C,1808AR293-001,2022-08-01 12:30:52.414036,2022-08-01 14:45:06.655229,0
A104967C,2108AR110-011,2022-08-01 14:45:06.655229,2022-08-01 17:10:33.107987,0
A104967C,2108AR208-001,2022-08-01 17:10:33.107987,2022-08-01 19:29:05.250791,0
A139955A,2108AR174-001,2022-08-01 07:00:00,2022-08-01 10:03:05.238260,0
A106022A,2113AR036-009,2022-08-01 10:53:46.589116,2022-08-01 13:56:53.785022,0
A106022A,2210AR046-004,2022-08-01 13:56:53.785022,2022-08-01 17:19:05.910614,0
A106022A,2118AP002-002,2022-08-01 17:19:05.910614,2022-08-01 20:42:13.287618,0
A106022A,2212AP008-004,2022-08-03 07:00:00.287618,2022-08-03 10:17:49.229774,0
A103958A,2114AR067-001,2022-08-01 07:00:00,2022-08-01 09:45:26.932566,0
A127898A,2104AR042-011,2022-08-01 11:02:48.658450,2022-08-01 15:27:46.567775,0
A104967C,2107AR164-101,2022-08-01 19:29:05.250791,2022-08-03 08:00:00,0
A106022A,2115AR052-002,2022-08-03 10:17:49.229774,2022-08-03 12:54:20.017880,0
A106022A,2017AR080-001,2022-08-03 12:54:20.017880,2022-08-03 17:20:28.964101,0
A112522A,2212AP008-002,2022-08-02 10:50:46.839557,2022-08-02 13:55:03.436802,0
A106022A,2208AR187-001,2022-08-03 17:20:28.964101,2022-08-05 14:00:00,0
A102966A,2207AP005-004,2022-08-01 13:28:00.818189,2022-08-03 08:00:00,0
A106022A,2014AP002-001,2022-08-06 07:00:00,2022-08-06 10:08:15.065256,0
A103958A,2115AP015-002,2022-08-01 09:45:26.932566,2022-08-01 13:41:22.118533,0
A104967C,2108AR094-001,2022-08-03 08:00:00,2022-08-03 09:36:11.372984,0
A139955A,2205AR010-005,2022-08-01 10:03:05.238260,2022-08-03 08:00:00,0
A139955A,2202AP001-005,2022-08-03 08:00:00,2022-08-03 12:46:28.652292,0
A102966A,2117AP011-001,2022-08-03 08:00:00,2022-08-03 11:55:33.539083,0
A104967C,2104AR027-002,2022-08-03 09:36:11.372984,2022-08-03 12:55:22.762593,0
A106022A,2113AR062-002,2022-08-06 10:08:15.065256,2022-08-08 08:00:00,0
A102966A,2104AR050-007,2022-08-04 07:00:00.539083,2022-08-04 09:52:35.909820,0
A139955A,2204AR043-006,2022-08-03 12:46:28.652292,2022-08-03 16:08:05.160305,0
A139955A,2202AR002-001,2022-08-04 07:00:00.160305,2022-08-04 11:24:24.988805,0
A139955A,2201AR004-002,2022-08-04 11:24:24.988805,2022-08-06 08:00:00,0
A139955A,1803AR007-002,2022-08-07 07:00:00,2022-08-07 11:14:17.871181,0
A112522A,2208AR102-001,2022-08-02 13:55:03.436802,2022-08-04 14:00:00,0
A102966A,2204AP003-003,2022-08-04 09:52:35.909820,2022-08-06 08:00:00,0
A139955A,2002AP005-009,2022-08-07 11:14:17.871181,2022-08-07 16:37:09.797809,0
A104715A,1902AR031-001,2022-08-01 07:00:00,2022-08-01 13:31:18.043291,0
A103958A,2108AR094-001,2022-08-01 13:41:22.118533,2022-08-03 08:00:00,0
A121944A,2108AR060-001,2022-08-01 12:35:22.340617,2022-08-03 08:00:00,0
A121944A,2102AR065-001,2022-08-03 08:00:00,2022-08-03 14:35:28.142279,0
A121944A,2014AP001-001,2022-08-05 07:00:00.142279,2022-08-05 09:57:03.778014,0
A104715A,2005AR130-004,2022-08-02 07:00:00.043291,2022-08-02 13:33:40.932719,0
A121944A,2201AP003-003,2022-08-05 09:57:03.778014,2022-08-07 08:00:00,0
