"idCamion","descanso"
"A102966A","8/5/2022"
"A103958A","8/4/2022"
"A104715A","8/3/2022"
"A104967C","8/4/2022"
"A106022A","8/2/2022"
"A112522A","8/1/2022"
"A121944A","8/4/2022"
"A127898A","8/3/2022"
"A139955A","8/5/2022"
"AA9001B","8/2/2022"
"A102966A","8/9/2022"
"A103958A","8/9/2022"
"A104715A","8/8/2022"
"A104967C","8/8/2022"
"A106022A","8/7/2022"
"A112522A","8/9/2022"
"A121944A","8/9/2022"
"A127898A","8/7/2022"
"A139955A","8/8/2022"
"AA9001B","8/7/2022"
"A102966A","8/12/2022"
"A103958A","8/11/2022"
"A104715A","8/11/2022"
"A104967C","8/12/2022"
"A106022A","8/11/2022"
"A112522A","8/11/2022"
"A121944A","8/11/2022"
"A127898A","8/11/2022"
"A139955A","8/11/2022"
"AA9001B","8/11/2022"
"A102966A","8/15/2022"
"A103958A","8/16/2022"
"A104715A","8/15/2022"
"A104967C","8/14/2022"
"A106022A","8/15/2022"
"A112522A","8/14/2022"
"A121944A","8/14/2022"
"A127898A","8/14/2022"
"A139955A","8/14/2022"
"AA9001B","8/14/2022"
"A102966A","8/18/2022"
"A103958A","8/18/2022"
"A104715A","8/18/2022"
"A104967C","8/19/2022"
"A106022A","8/18/2022"
"A112522A","8/18/2022"
"A121944A","8/18/2022"
"A127898A","8/19/2022"
"A139955A","8/18/2022"
"AA9001B","8/18/2022"
"A102966A","8/21/2022"
"A103958A","8/22/2022"
"A104715A","8/21/2022"
"A104967C","8/21/2022"
"A106022A","8/22/2022"
"A112522A","8/23/2022"
"A121944A","8/21/2022"
"A127898A","8/22/2022"
"A139955A","8/23/2022"
"AA9001B","8/23/2022"
"A102966A","8/26/2022"
"A103958A","8/26/2022"
"A104715A","8/26/2022"
"A104967C","8/26/2022"
"A106022A","8/26/2022"
"A112522A","8/25/2022"
"A121944A","8/25/2022"
"A127898A","8/25/2022"
"A139955A","8/25/2022"
"AA9001B","8/26/2022"
"A102966A","8/30/2022"
"A103958A","8/28/2022"
"A104715A","8/29/2022"
"A104967C","8/28/2022"
"A106022A","8/30/2022"
"A112522A","8/30/2022"
"A121944A","8/29/2022"
"A127898A","8/29/2022"
"A139955A","8/29/2022"
"AA9001B","8/28/2022"
"A102966A","9/2/2022"
"A103958A","9/2/2022"
"A104715A","9/1/2022"
"A104967C","9/1/2022"
"A106022A","9/1/2022"
"A112522A","9/1/2022"
"A121944A","9/2/2022"
"A127898A","9/1/2022"
"A139955A","9/2/2022"
"AA9001B","9/1/2022"
"A102966A","9/6/2022"
"A103958A","9/6/2022"
"A104715A","9/4/2022"
"A104967C","9/5/2022"
"A106022A","9/5/2022"
"A112522A","9/6/2022"
"A121944A","9/6/2022"
"A127898A","9/6/2022"
"A139955A","9/5/2022"
"AA9001B","9/4/2022"
