"idPedido","prioridad","lonCarga","latCarga","categoria","lonDescarga","latDescarga","startSlot","endSlot","lastDate"
"2014AP001-001",0,-8.75236,42.69136,"M2",-8.53311,43.10235,"08:00","12:00","2022-08-16"
"2201AR004-002",0,-5.56355,43.49166,"M2",-7.82051,43.64743,"08:00","12:00","2022-08-23"
"2113AR062-002",0,-8.59517,42.89886,"M3",-7.74992,42.80691,"08:00","12:00","2022-09-03"
"2108AR094-001",0,-8.00738,43.63791,"M3",-8.00821,43.62604,"08:00","12:00","2022-09-10"
"1803AR007-002",0,-6.08023,43.44165,"M2",-7.36961,43.2645,"08:00","12:00","2022-09-07"
"1908AR078-003",0,-8.11732,43.54402,"M2",-8.5905,42.67702,"08:00","12:00","2022-08-01"
"2205AR010-005",0,-7.16825,43.51212,"M2",-7.06027,43.48061,"08:00","12:00","2022-08-31"
"2208AR180-007",0,-8.02315,43.70409,"M1",-8.59033,42.49001,"08:00","12:00","2022-08-10"
"2204AP003-003",0,-6.76476,43.52781,"M2",-7.59105,43.58335,"08:00","12:00","2022-08-14"
"2104AR050-007",0,-7.08185,43.40816,"M2",-7.91677,43.65496,"08:00","12:00","2022-08-13"
"2107AR164-101",0,-7.69535,43.51483,"M3",-7.9435,43.63562,"08:00","12:00","2022-09-08"
"2207AP005-004",0,-7.78472,43.4394,"M1",-8.49459,42.08256,"08:00","12:00","2022-09-04"
"2201AP003-003",0,-5.52019,43.47666,"M2",-7.82066,43.64711,"08:00","12:00","2022-08-08"
"2117AP011-001",0,-8.4987,42.27537,"M2",-7.79619,43.6323,"08:00","12:00","2022-09-12"
"2108AR060-001",0,-8.04451,43.63165,"M3",-7.99682,43.61583,"08:00","12:00","2022-08-05"
"2005AR131-004",0,-7.05387,43.51087,"M3",-8.48828,42.27307,"08:00","12:00","2022-09-01"
"2115AP012-001",0,-8.51249,42.55424,"M2",-7.89081,43.70623,"14:00","18:00","2022-08-31"
"2208AR102-001",0,-8.00787,43.62601,"M1",-8.55366,42.38116,"14:00","18:00","2022-08-04"
"2212AP008-002",0,-8.93749,43.24653,"M1",-8.57654,43.00099,"14:00","18:00","2022-08-14"
"2115AP015-002",0,-8.56578,42.48925,"M2",-7.81149,43.63766,"14:00","18:00","2022-08-22"
"2202AP001-005",0,-5.946,43.33946,"M1",-7.99702,42.56631,"14:00","18:00","2022-08-19"
"2204AR043-006",0,-7.01987,43.50733,"M2",-7.13712,43.4776,"14:00","18:00","2022-08-20"
"2102AR065-001",0,-5.90339,43.49192,"M3",-8.63566,42.25158,"14:00","18:00","2022-08-06"
"2210AR046-003",0,-8.21252,43.21562,"M1",-8.57537,42.50347,"14:00","18:00","2022-08-19"
"2015AP002-002",0,-8.51752,42.57312,"M2",-8.2124,43.2166,"14:00","18:00","2022-08-26"
"1902AR031-001",0,-5.85552,43.47591,"M2",-8.78571,42.04961,"14:00","18:00","2022-08-05"
"2102AR066-001",0,-5.90424,43.49112,"M3",-8.80788,42.27703,"14:00","18:00","2022-08-04"
"2005AR130-004",0,-7.05407,43.5093,"M2",-8.98756,42.63901,"14:00","18:00","2022-08-04"
"2109AR033-001",0,-8.01139,43.22828,"M3",-7.09926,43.422,"14:00","18:00","2022-08-31"
"2104AR042-011",0,-7.08855,43.40841,"M3",-8.78589,42.71217,"14:00","18:00","2022-08-25"
"2208AR187-001",0,-8.02241,43.7054,"M1",-8.16361,42.80402,"14:00","18:00","2022-09-10"
"2111AR091-001",0,-8.38696,43.20173,"M3",-6.08638,43.55614,"20:00","00:00","2022-08-15"
"2108AR208-001",0,-7.9844,43.59716,"M3",-7.38635,43.42976,"20:00","00:00","2022-09-12"
"2202AR002-001",0,-5.82274,43.45945,"M2",-7.82066,43.64711,"20:00","00:00","2022-08-25"
"2210AR046-004",0,-8.21826,43.21428,"M1",-8.57542,42.50354,"20:00","00:00","2022-09-05"
"2108AR110-011",0,-7.88183,43.53374,"M3",-8.00917,43.62532,"20:00","00:00","2022-08-27"
"1808AR293-001",0,-8.17086,43.54717,"M3",-7.89734,43.00229,"20:00","00:00","2022-08-25"
"2002AP005-009",0,-5.97235,43.35725,"M2",-8.64373,42.90409,"20:00","00:00","2022-08-25"
"2017AR080-001",0,-8.82187,42.05808,"M1",-7.38696,43.08126,"20:00","00:00","2022-08-25"
"2014AP002-001",0,-8.88431,42.74563,"M2",-8.39578,43.31695,"20:00","00:00","2022-08-20"
"2115AR052-002",0,-8.45022,42.46806,"M3",-8.27217,42.22997,"00:00","23:59","2022-09-06"
"2118AP002-002",0,-8.12306,42.48626,"M1",-7.70515,43.36176,"00:00","23:59","2022-08-27"
"2108AP002-001",0,-7.74842,43.6749,"M2",-7.96278,43.53085,"00:00","23:59","2022-08-15"
"2212AP008-004",0,-8.93788,43.2466,"M1",-8.54558,42.9607,"00:00","23:59","2022-08-30"
"2108AR174-001",0,-7.92532,43.59213,"M3",-7.59424,43.61852,"00:00","23:59","2022-08-19"
"2114AR067-001",0,-8.71167,42.75234,"M3",-8.58773,42.17344,"00:00","23:59","2022-09-12"
"2113AR036-009",0,-8.443,42.87853,"M3",-7.82464,42.82581,"00:00","23:59","2022-08-18"
"2104AR027-002",0,-6.91146,43.48496,"M2",-7.91631,43.65554,"00:00","23:59","2022-09-10"
"2109AR032-005",0,-8.01103,43.22948,"M3",-7.08267,43.45037,"00:00","23:59","2022-08-25"
"2107AR164-047",0,-7.70918,43.50626,"M3",-8.15899,43.53611,"00:00","23:59","2022-08-31"
