,idCamion,idPedido,start_date,end_date,tipo
0,A116776A,2108AR126-001,2022-08-01 07:00:00,2022-08-01 10:22:54.201089,Entrega
1,A104967B,2212AR050-003,2022-08-01 07:00:00,2022-08-01 09:16:16.474444,Entrega
2,A116776A,2014AP001-006,2022-08-01 10:22:54.201089,2022-08-04 08:00:00,Entrega
3,AA9001F,2014AR107-001,2022-08-01 07:00:00,2022-08-01 11:23:20.327994,Entrega
4,A106058E,2108AR132-003,2022-08-01 07:00:00,2022-08-01 10:42:19.957926,Entrega
5,A103811A,2108AP001-006,2022-08-02 07:00:00,2022-08-02 11:28:39.260121,Entrega
6,A109742A,2104AR042-012,2022-08-01 07:00:00,2022-08-01 11:18:22.573898,Entrega
7,A127898A,2107AR164-045,2022-08-01 07:00:00,2022-08-01 09:51:20.116414,Entrega
8,A121837B,2212AR044-002,2022-08-01 07:00:00,2022-08-01 09:24:40.879272,Entrega
9,A114833A,2116AR014-001,2022-08-01 07:00:00,2022-08-01 11:16:39.098844,Entrega
10,A104967C,2204AR044-001,2022-08-01 07:00:00,2022-08-01 09:51:45.558956,Entrega
11,A121152B,2018AZ078-002,2022-08-02 07:00:00,2022-08-02 09:58:49.609219,Entrega
12,A106022A,1803AR007-008,2022-08-01 07:00:00,2022-08-01 10:31:41.285198,Entrega
13,A104967B,2202AR006-001,2022-08-01 09:16:16.474444,2022-08-01 15:20:17.192790,Entrega
14,A113290A,2109AR032-006,2022-08-01 07:00:00,2022-08-01 10:24:27.689599,Entrega
15,A121485A,2212AR063-006,2022-08-01 07:00:00,2022-08-01 10:21:01.388238,Entrega
16,A113290A,2115AR117-008,2022-08-01 10:24:27.689599,2022-08-01 14:24:54.005478,Entrega
17,AA9001E,2107AR164-070,2022-08-01 07:00:00,2022-08-01 09:10:46.432942,Entrega
18,A114833A,2107AR169-003,2022-08-01 11:16:39.098844,2022-08-01 15:23:37.395185,Entrega
19,AA9001D,1908AR107-005,2022-08-01 07:00:00,2022-08-01 10:25:24.011327,Entrega
20,A103652A,2102AR072-002,2022-08-01 07:00:00,2022-08-01 13:27:07.988761,Entrega
21,A103296A,2114AR089-001,2022-08-01 07:00:00,2022-08-01 10:48:41.984076,Entrega
22,A104096A,1908AR129-002,2022-08-02 07:00:00,2022-08-02 11:36:09.635933,Entrega
23,A108122A,2117AP024-001,2022-08-01 07:00:00,2022-08-01 14:09:51.568721,Entrega
24,A102966A,2208AR163-011,2022-08-01 07:00:00,2022-08-01 12:12:04.487329,Entrega
25,A103304A,2108AR252-003,2022-08-02 07:00:00,2022-08-02 10:08:44.972178,Entrega
26,A123070A,2106AR039-002,2022-08-02 07:00:00,2022-08-02 10:38:56.191004,Entrega
27,A104877C,2200AR024-001,2022-08-01 07:00:00,2022-08-01 16:23:14.266556,Entrega
28,AA9001C,2202AP001-006,2022-08-01 07:00:00,2022-08-01 12:12:59.929890,Entrega
29,A103628A,2210AR049-007,2022-08-01 07:00:00,2022-08-01 10:44:40.076186,Entrega
30,A130974A,2203AR016-013,2022-08-01 07:00:00,2022-08-01 12:42:05.239678,Entrega
31,A104967C,2210AR049-003,2022-08-01 09:51:45.558956,2022-08-03 08:00:00,Entrega
32,A104096A,2204AR004-001,2022-08-02 11:36:09.635933,2022-08-02 15:18:56.255050,Entrega
33,A115901A,2005AR130-003,2022-08-01 07:00:00,2022-08-01 13:33:31.275416,Entrega
34,A103761A,2212AP008-006,2022-08-01 07:00:00,2022-08-01 09:34:12.126810,Entrega
35,A106058E,2207AP006-001,2022-08-01 10:42:19.957926,2022-08-01 14:42:31.143868,Entrega
36,A103451F,2002AP005-008,2022-08-02 07:00:00,2022-08-02 12:15:49.532480,Entrega
37,AA9001E,2105AP003-003,2022-08-01 09:10:46.432942,2022-08-03 08:00:00,Entrega
38,A102966A,2110AR005-003,2022-08-01 12:12:04.487329,2022-08-01 15:56:31.065999,Entrega
39,A128208A,2009AR054-003,2022-08-01 07:00:00,2022-08-01 10:51:25.376528,Entrega
40,A104877C,2107AR164-015,2022-08-01 16:23:14.266556,2022-08-01 18:25:16.936225,Entrega
41,A103811A,2209AR028-013,2022-08-02 11:28:39.260121,2022-08-02 14:48:20.508124,Entrega
42,A104967C,2205AR010-004,2022-08-03 08:00:00,2022-08-03 11:40:37.789042,Entrega
43,A115901A,2112AR048-002,2022-08-02 07:00:00.275416,2022-08-02 14:46:47.274122,Entrega
44,A104715D,2205AR068-001,2022-08-02 07:00:00,2022-08-02 09:54:36.200355,Entrega
45,A127810A,2200AZ019-001,2022-08-02 07:00:00,2022-08-04 08:00:00,Entrega
46,A104877A,2120AP006-001,2022-08-01 07:00:00,2022-08-01 08:58:41.889402,Entrega
47,A104877A,2107AR164-101,2022-08-01 08:58:41.889402,2022-08-01 11:09:16.689964,Entrega
48,A104715B,2108AR060-002,2022-08-02 07:00:00,2022-08-02 09:15:47.715236,Entrega
49,A103451F,2107AR100-009,2022-08-02 12:15:49.532480,2022-08-04 08:00:00,Entrega
50,A106022A,2117AP011-003,2022-08-01 10:31:41.285198,2022-08-01 15:42:31.612775,Entrega
51,AA9001C,2014AP010-003,2022-08-01 12:12:59.929890,2022-08-01 15:07:42.709045,Entrega
52,A127810A,1901AR002-013,2022-08-06 07:00:00,2022-08-08 08:00:00,Entrega
53,A103304A,2208AP008-005,2022-08-02 10:08:44.972178,2022-08-02 14:22:34.401345,Entrega
54,A104096A,2021AR022-002,2022-08-02 15:18:56.255050,2022-08-04 14:00:00,Entrega
55,A115901A,2121AP007-001,2022-08-04 07:00:00.274122,2022-08-04 12:36:57.642865,Entrega
56,A104877C,1917AR144-010,2022-08-02 07:00:00.936225,2022-08-02 11:05:09.322692,Entrega
57,AA9001C,2110AR056-002,2022-08-01 15:07:42.709045,2022-08-03 08:00:00,Entrega
58,A115178C,1901AR002-012,2022-08-02 07:00:00,2022-08-02 11:33:35.122642,Entrega
59,A129921A,2104AR050-003,2022-08-01 07:00:00,2022-08-01 10:51:51.776877,Entrega
60,A127810A,2212AP008-014,2022-08-08 08:00:00,2022-08-08 11:13:47.637878,Entrega
61,A104403D,2121AP014-002,2022-08-02 07:00:00,2022-08-02 10:00:29.814115,Entrega
62,A102966A,2202AP001-011,2022-08-02 07:00:00.065999,2022-08-04 08:00:00,Entrega
63,A103652A,2103AR034-001,2022-08-02 07:00:00.988761,2022-08-02 14:35:20.295962,Entrega
64,A113290A,2115AR054-002,2022-08-01 14:24:54.005478,2022-08-01 17:07:18.027271,Entrega
65,A113290A,2014AR077-005,2022-08-01 17:07:18.027271,2022-08-01 20:30:29.955853,Entrega
66,A123070B,2021AR079-001,2022-08-02 07:00:00,2022-08-02 09:45:22.765670,Entrega
67,A104715B,1906AR145-010,2022-08-02 09:15:47.715236,2022-08-02 13:05:40.298820,Entrega
68,A116776A,2212AR063-008,2022-08-04 08:00:00,2022-08-04 10:04:14.501777,Entrega
69,A130974A,2116AR049-013,2022-08-01 12:42:05.239678,2022-08-01 16:54:18.648299,Entrega
70,A104967C,2013AP004-006,2022-08-03 11:40:37.789042,2022-08-05 08:00:00,Entrega
71,A108122A,1806AR024-009,2022-08-01 14:09:51.568721,2022-08-01 16:48:18.369556,Entrega
72,A104403D,2107AR111-002,2022-08-02 10:00:29.814115,2022-08-02 13:26:32.744494,Entrega
73,A103628A,1906AR145-011,2022-08-01 10:44:40.076186,2022-08-01 15:44:27.585319,Entrega
74,A102966A,2014AR096-004,2022-08-04 08:00:00,2022-08-04 11:02:39.898861,Entrega
75,A127810A,2104AR050-002,2022-08-08 11:13:47.637878,2022-08-08 15:02:16.017107,Entrega
76,A115178C,2107AR164-058,2022-08-02 11:33:35.122642,2022-08-02 14:54:37.518625,Entrega
77,A121837B,2114AR090-005,2022-08-01 09:24:40.879272,2022-08-01 12:26:10.070044,Entrega
78,A104715B,1905AR021-005,2022-08-02 13:05:40.298820,2022-08-04 08:00:00,Entrega
79,A103628A,2107AR169-004,2022-08-01 15:44:27.585319,2022-08-01 19:32:26.310045,Entrega
80,A104877A,2202AR010-003,2022-08-01 11:09:16.689964,2022-08-01 16:13:57.467807,Entrega
81,A109742A,2116AR049-004,2022-08-01 11:18:22.573898,2022-08-01 14:16:27.142829,Entrega
82,A104887A,2108AR198-001,2022-08-01 07:00:00,2022-08-01 09:52:13.445788,Entrega
83,A103698A,2208AR146-001,2022-08-01 07:00:00,2022-08-01 11:18:23.440792,Entrega
84,A103811A,2115AR117-014,2022-08-02 14:48:20.508124,2022-08-02 17:03:29.863195,Entrega
85,A101602A,2200AR037-002,2022-08-02 07:00:00,2022-08-04 08:00:00,Entrega
86,A121152B,1906AR067-009,2022-08-02 09:58:49.609219,2022-08-02 15:25:14.831537,Entrega
87,A101602A,2015AR093-007,2022-08-06 07:00:00,2022-08-06 10:03:14.335748,Entrega
88,A127898A,1907AR256-013,2022-08-01 09:51:20.116414,2022-08-01 13:35:49.524986,Entrega
89,A115901A,2006AP002-005,2022-08-04 12:36:57.642865,2022-08-04 16:40:15.881223,Entrega
90,A127810A,2116AR014-002,2022-08-10 07:00:00.017107,2022-08-10 11:05:49.486066,Entrega
91,A109742A,2114AR093-004,2022-08-01 14:16:27.142829,2022-08-01 17:52:21.222933,Entrega
92,A102966A,2204AR007-002,2022-08-04 11:02:39.898861,2022-08-04 15:42:52.335292,Entrega
93,A103761A,2116AR053-003,2022-08-01 09:34:12.126810,2022-08-01 12:18:19.506534,Entrega
94,A128208A,2118AP002-006,2022-08-01 10:51:25.376528,2022-08-04 08:00:00,Entrega
95,A113290A,2104AR035-008,2022-08-02 07:00:00.955853,2022-08-04 08:00:00,Entrega
96,A121837B,2109AR032-011,2022-08-01 12:26:10.070044,2022-08-04 08:00:00,Entrega
97,A114833A,2105AP002-019,2022-08-01 15:23:37.395185,2022-08-01 17:53:42.960583,Entrega
98,A104715B,2106AR008-009,2022-08-05 07:00:00,2022-08-05 11:02:56.248354,Entrega
99,A108122A,2108AR008-001,2022-08-01 16:48:18.369556,2022-08-04 08:00:00,Entrega
