,idCamion,idPedido,start_date,end_date,tipo
0,A120540A,2105AR089-011,2022-08-01 07:00:00,2022-08-01 10:10:06.595926,Entrega
1,A104715C,2104AR049-005,2022-08-01 07:00:00,2022-08-01 10:41:27.796430,Entrega
2,A103296A,2113AP011-002,2022-08-01 07:00:00,2022-08-01 10:07:26.230324,Entrega
3,A103296A,2211AR060-001,2022-08-01 10:07:26.230324,2022-08-01 12:39:59.584277,Entrega
4,A121944A,2114AR021-003,2022-08-01 07:00:00,2022-08-01 09:26:58.273209,Entrega
5,A121944A,2115AR054-005,2022-08-01 09:26:58.273209,2022-08-01 12:26:56.917132,Entrega
6,A121944A,2115AR117-012,2022-08-01 12:26:56.917132,2022-08-01 15:18:28.305858,Entrega
7,A103304A,2212AR050-002,2022-08-02 07:00:00,2022-08-02 09:08:22.332449,Entrega
8,A103304A,2118AP002-009,2022-08-02 09:08:22.332449,2022-08-02 12:47:27.368539,Entrega
9,A103958A,2014AP010-008,2022-08-01 07:00:00,2022-08-01 09:57:23.666812,Entrega
10,A104877C,2107AR169-003,2022-08-01 07:00:00,2022-08-01 09:08:27.756934,Entrega
11,A121944A,2116AR049-008,2022-08-01 15:18:28.305858,2022-08-01 17:35:38.097963,Entrega
12,A121944A,2116AR059-007,2022-08-01 17:35:38.097963,2022-08-01 19:36:38.041819,Entrega
13,A103761A,2114AR090-005,2022-08-01 07:00:00,2022-08-01 09:51:45.480161,Entrega
14,A106058E,2113AP007-003,2022-08-01 07:00:00,2022-08-01 10:05:41.286075,Entrega
15,A103296A,2209AR040-008,2022-08-01 12:39:59.584277,2022-08-01 16:17:54.248792,Entrega
16,A120540A,2209AR040-008,2022-08-01 10:10:06.595926,2022-08-01 13:49:44.631897,Entrega
17,A103451D,2009AR054-002,2022-08-01 07:00:00,2022-08-01 10:57:32.526243,Entrega
18,A104096A,2115AP011-001,2022-08-02 07:00:00,2022-08-02 10:43:07.353639,Entrega
19,A103296A,2211AP002-001,2022-08-01 16:17:54.248792,2022-08-01 19:11:03.625654,Entrega
20,A121944A,2114AR090-003,2022-08-01 19:36:38.041819,2022-08-03 20:00:00,Entrega
21,A103958A,2212AR041-001,2022-08-01 09:57:23.666812,2022-08-01 12:19:11.779042,Entrega
22,A104403D,2110AR056-006,2022-08-02 07:00:00,2022-08-02 10:07:42.652105,Entrega
23,A121944A,1913AP001-004,2022-08-03 20:00:00,2022-08-05 20:00:00,Entrega
24,A103652A,2210AR048-001,2022-08-01 07:00:00,2022-08-01 10:30:32.798662,Entrega
25,A123070A,2209AR040-005,2022-08-02 07:00:00,2022-08-02 10:30:19.310387,Entrega
26,A119269A,2021AR079-001,2022-08-01 07:00:00,2022-08-01 11:06:50.921527,Entrega
27,A103451A,2107AR164-053,2022-08-01 07:00:00,2022-08-01 09:16:59.356629,Entrega
28,A104715C,2107AR164-034,2022-08-01 10:41:27.796430,2022-08-01 13:48:22.775993,Entrega
29,A104715C,2108AR153-001,2022-08-01 13:48:22.775993,2022-08-01 15:44:51.494670,Entrega
30,A104715C,2108AR111-002,2022-08-01 15:44:51.494670,2022-08-01 17:42:09.214591,Entrega
31,A103451D,2117AP033-009,2022-08-01 10:57:32.526243,2022-08-01 14:48:50.972501,Entrega
32,A125695C,2007AR327-002,2022-08-01 07:00:00,2022-08-01 09:58:03.969458,Entrega
33,A104715C,2108AR089-008,2022-08-01 17:42:09.214591,2022-08-03 14:00:00,Entrega
34,A104715C,2107AR164-068,2022-08-03 14:00:00,2022-08-05 08:00:00,Entrega
35,A104715C,2107AR164-036,2022-08-05 08:00:00,2022-08-05 10:19:28.684505,Entrega
36,A104715C,1908AR260-001,2022-08-05 10:19:28.684505,2022-08-05 13:39:54.245637,Entrega
37,A123070A,2209AR049-005,2022-08-02 10:30:19.310387,2022-08-02 14:51:13.195591,Entrega
38,A103652A,2107AR164-054,2022-08-01 10:30:32.798662,2022-08-01 14:11:22.647896,Entrega
39,A104877C,1907AR341-003,2022-08-01 09:08:27.756934,2022-08-01 12:35:19.351963,Entrega
40,A120540A,2021AR117-003,2022-08-01 13:49:44.631897,2022-08-01 18:56:55.111869,Entrega
41,A121944A,2116AR058-001,2022-08-05 20:00:00,2022-08-07 14:00:00,Entrega
42,A140758A,2014AP001-013,2022-08-02 07:00:00,2022-08-02 10:59:27.306142,Entrega
43,A125695C,2115AP015-003,2022-08-01 09:58:03.969458,2022-08-01 14:12:11.382868,Entrega
44,A104403D,2121AP010-004,2022-08-02 10:07:42.652105,2022-08-02 13:17:39.598156,Entrega
45,A106022A,2208AR163-013,2022-08-01 07:00:00,2022-08-01 11:12:04.678518,Entrega
46,A104715C,2108AR094-001,2022-08-06 07:00:00.245637,2022-08-06 10:01:22.451488,Entrega
47,A125695C,2005AR124-004,2022-08-01 14:12:11.382868,2022-08-04 08:00:00,Entrega
48,A104096A,2107AR118-004,2022-08-02 10:43:07.353639,2022-08-02 13:19:43.321448,Entrega
49,A103451C,2104AR040-002,2022-08-01 07:00:00,2022-08-01 10:56:44.894234,Entrega
50,A103652A,2108AR115-002,2022-08-01 14:11:22.647896,2022-08-04 08:00:00,Entrega
51,A104715C,2108AR253-001,2022-08-06 10:01:22.451488,2022-08-09 08:00:00,Entrega
52,A104715C,2107AR118-008,2022-08-09 08:00:00,2022-08-09 10:53:23.450418,Entrega
53,A104715C,2105AR101-003,2022-08-09 10:53:23.450418,2022-08-09 15:15:37.534802,Entrega
54,A140758A,2117AR029-001,2022-08-02 10:59:27.306142,2022-08-02 15:54:31.414612,Entrega
55,A103451A,2211AR060-001,2022-08-01 09:16:59.356629,2022-08-01 11:57:35.845609,Entrega
56,A104403D,2208AR164-001,2022-08-02 13:17:39.598156,2022-08-02 17:13:18.320288,Entrega
57,A140758A,2208AP009-002,2022-08-02 15:54:31.414612,2022-08-02 19:48:03.231084,Entrega
58,A103451A,2107AR164-067,2022-08-01 11:57:35.845609,2022-08-01 15:03:57.452036,Entrega
59,A104715C,2204AR021-003,2022-08-10 07:00:00.534802,2022-08-10 11:34:29.132757,Entrega
60,A103296A,2105AP003-001,2022-08-01 19:11:03.625654,2022-08-03 14:00:00,Entrega
61,A123070A,2005AR125-001,2022-08-03 07:00:00.195591,2022-08-03 12:56:36.931526,Entrega
62,A104403D,2208AR164-003,2022-08-03 07:00:00.320288,2022-08-05 08:00:00,Entrega
63,A103451C,1913AP001-001,2022-08-01 10:56:44.894234,2022-08-01 13:23:23.471561,Entrega
64,A103451A,2104AR035-021,2022-08-01 15:03:57.452036,2022-08-03 14:00:00,Entrega
65,A103958A,1905AR021-005,2022-08-01 12:19:11.779042,2022-08-03 08:00:00,Entrega
66,A103958A,2108AR115-002,2022-08-03 08:00:00,2022-08-03 11:24:18.309370,Entrega
67,A103958A,1905AR202-001,2022-08-05 07:00:00.309370,2022-08-05 11:10:56.408237,Entrega
