,idCamion,idPedido,start_date,end_date,tipo
0,A104967C,2109AR032-005,2022-08-01 07:00:00,2022-08-01 09:40:26.060534,Entrega
1,A127898A,2111AR091-001,2022-08-01 07:00:00,2022-08-01 11:02:48.658450,Entrega
2,A139955A,1808AR293-001,2022-08-01 07:00:00,2022-08-01 10:05:51.977520,Entrega
3,A102966A,2115AP012-001,2022-08-01 07:00:00,2022-08-01 10:54:15.076733,Entrega
4,A139955A,2107AR164-047,2022-08-01 10:05:51.977520,2022-08-01 12:53:26.938827,Entrega
5,A139955A,2108AP002-001,2022-08-01 12:53:26.938827,2022-08-01 15:27:33.286447,Entrega
6,A139955A,2108AR174-001,2022-08-01 15:27:33.286447,2022-08-01 17:31:50.907434,Entrega
7,A139955A,2107AR164-101,2022-08-01 17:31:50.907434,2022-08-03 08:00:00,Entrega
8,A104715A,2204AR043-006,2022-08-01 07:00:00,2022-08-01 09:18:38.088466,Entrega
9,A139955A,2108AR094-001,2022-08-03 08:00:00,2022-08-03 09:36:11.372984,Entrega
10,A139955A,2108AR110-011,2022-08-03 09:36:11.372984,2022-08-03 11:31:16.525744,Entrega
11,A139955A,2005AR131-004,2022-08-03 11:31:16.525744,2022-08-06 08:00:00,Entrega
12,A102966A,2207AP005-004,2022-08-01 10:54:15.076733,2022-08-03 08:00:00,Entrega
13,A103958A,2115AP015-002,2022-08-01 07:00:00,2022-08-01 10:37:48.832581,Entrega
14,A103958A,2208AR187-001,2022-08-01 10:37:48.832581,2022-08-01 13:38:34.699749,Entrega
15,A102966A,2014AP001-001,2022-08-03 08:00:00,2022-08-03 10:55:30.816756,Entrega
16,A103958A,2015AP002-002,2022-08-01 13:38:34.699749,2022-08-01 16:48:38.841648,Entrega
17,A103958A,2210AR046-003,2022-08-01 16:48:38.841648,2022-08-03 14:00:00,Entrega
18,A106022A,2109AR033-001,2022-08-01 07:00:00,2022-08-01 10:32:44.023367,Entrega
19,A104967C,2108AR208-001,2022-08-01 09:40:26.060534,2022-08-01 12:42:28.192465,Entrega
20,A139955A,2205AR010-005,2022-08-07 07:00:00,2022-08-07 10:53:03.776903,Entrega
21,A139955A,2104AR027-002,2022-08-07 10:53:03.776903,2022-08-07 13:26:44.906318,Entrega
22,A112522A,2208AR180-007,2022-08-02 07:00:00,2022-08-02 10:50:46.839557,Entrega
23,A112522A,2113AR036-009,2022-08-02 10:50:46.839557,2022-08-02 13:55:55.160736,Entrega
24,A106022A,2113AR062-002,2022-08-01 10:32:44.023367,2022-08-03 08:00:00,Entrega
25,A106022A,2115AR052-002,2022-08-03 08:00:00,2022-08-03 10:49:04.909074,Entrega
26,A106022A,2114AR067-001,2022-08-03 10:49:04.909074,2022-08-03 13:47:59.372436,Entrega
27,A121944A,2108AR060-001,2022-08-01 07:00:00,2022-08-01 10:00:48.644771,Entrega
28,A104967C,2104AR042-011,2022-08-01 12:42:28.192465,2022-08-01 16:32:14.792696,Entrega
29,A106022A,2210AR046-004,2022-08-04 07:00:00.372436,2022-08-04 11:04:57.939998,Entrega
30,A106022A,2118AP002-002,2022-08-04 11:04:57.939998,2022-08-04 14:28:05.317002,Entrega
31,A102966A,2212AP008-002,2022-08-03 10:55:30.816756,2022-08-03 13:31:42.746400,Entrega
32,A139955A,2104AR050-007,2022-08-07 13:26:44.906318,2022-08-09 08:00:00,Entrega
33,A106022A,2014AP002-001,2022-08-04 14:28:05.317002,2022-08-04 18:25:11.823230,Entrega
34,AA9001B,1908AR078-003,2022-08-01 07:00:00,2022-08-01 10:34:36.342781,Entrega
35,A102966A,2212AP008-004,2022-08-03 13:31:42.746400,2022-08-03 16:15:31.223714,Entrega
36,A139955A,2204AP003-003,2022-08-09 08:00:00,2022-08-09 11:13:16.585093,Entrega
37,A139955A,1803AR007-002,2022-08-10 07:00:00.585093,2022-08-10 11:02:38.082734,Entrega
38,A139955A,2201AR004-002,2022-08-10 11:02:38.082734,2022-08-12 08:00:00,Entrega
39,A139955A,2002AP005-009,2022-08-13 07:00:00,2022-08-13 12:42:02.317960,Entrega
40,A139955A,2117AP011-001,2022-08-13 12:42:02.317960,2022-08-15 08:00:00,Entrega
41,A139955A,2202AR002-001,2022-08-16 07:00:00,2022-08-16 11:57:32.282180,Entrega
42,A104715A,2102AR065-001,2022-08-01 09:18:38.088466,2022-08-01 15:10:24.773923,Entrega
43,A104715A,2017AR080-001,2022-08-01 15:10:24.773923,2022-08-01 19:14:50.189187,Entrega
